model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
lstm_attention,456,fold_1,2022,20,31.811063051973765,25.59562259323369,2.604197459142383,-1.0428919315530982,0.47717842323651455,7.005113500000107,40.098976159485126,29.583102922014213,3.0045607938469012,-2.2460529232516024,0.49377593360995853,7.353606200000058,8.287913107511361,3.9874803287805243,0.40036333470451835,-1.2031609916985042,0.3484926999999516,1.659751037344398
lstm_attention,456,fold_2,2023,20,33.84545732350313,28.922213212109376,3.15014440411958,0.42138387163553137,0.49794238683127573,8.193763900000022,27.922657384989815,23.606445494105284,2.5475581766752557,0.6061750227355185,0.48148148148148145,8.312301400000024,-5.922799938513318,-5.315767718004093,-0.6025862274443243,0.18479115109998712,0.11853750000000218,-1.6460905349794275
lstm_attention,789,fold_1,2022,20,35.14120110955922,29.973323372181994,3.0534153346090775,-1.4929997274897597,0.4854771784232365,6.778120199999876,32.77241582751414,24.75747660212003,2.510003799107769,-1.1682329582951336,0.48132780082987553,7.307552499999929,-2.3687852820450814,-5.215846770061965,-0.5434115355013085,0.3247667691946261,0.5294323000000531,-0.4149377593360981
lstm_attention,789,fold_2,2023,20,23.94803209636318,19.23396181565743,2.0805330743597668,0.710312720883727,0.48148148148148145,8.366805000000113,26.358209002256203,21.945093949866372,2.386793526405427,0.6490691435970692,0.48559670781893005,8.26974580000001,2.4101769058930245,2.711132134208942,0.30626045204566044,-0.06124357728665775,-0.09705920000010337,0.41152263374485964
lstm_attention,2025,fold_1,2022,20,30.80737389982259,25.862133158781717,2.630659972446718,-0.9160127170329508,0.45643153526970953,6.817014800000152,33.57865249163744,27.640284528371218,2.808712500076784,-1.2762269246806723,0.4605809128630705,7.982483600000023,2.771278591814852,1.7781513695895015,0.17805252763006596,-0.3602142076477215,1.1654687999998714,0.4149377593360981
lstm_attention,2025,fold_2,2023,20,29.002687834319087,23.697581730227395,2.576860393689098,0.5751200298290389,0.4691358024691358,8.196315900000172,30.83171129382693,25.467851800074776,2.7607702919621233,0.5198410561066109,0.49794238683127573,8.575477899999896,1.8290234595078445,1.7702700698473812,0.18390989827302517,-0.05527897372242796,0.3791619999997238,2.880658436213995
lstm_cnn,42,fold_1,2022,20,21.927255267410338,17.10991818164888,1.7410817209987606,0.029361366351810636,0.5020746887966805,5.702745900000082,31.221761647259353,25.81646324575192,2.632126731808952,-0.9679036719458891,0.49377593360995853,6.044188399999939,9.294506379849015,8.70654506410304,0.8910450108101915,-0.9972650382976997,0.3414424999998573,-0.8298755186721962
lstm_cnn,42,fold_2,2023,20,20.982796478970805,16.87980064960665,1.8091913058272884,0.7776093633639993,0.5349794238683128,6.5622669999997925,20.60318430702657,16.368861449382912,1.7806073088718728,0.785583374529519,0.5432098765432098,6.5937108000000535,-0.3796121719442347,-0.5109392002237385,-0.02858399695541558,0.007974011165519657,0.031443800000261035,0.8230452674897082
lstm_cnn,123,fold_1,2022,20,30.900976841659308,24.14646341646856,2.4630400092325138,-0.9276733591372779,0.4979253112033195,5.827471999999943,40.05537840582269,34.70381927539695,3.5304012779809386,-2.2389981954318405,0.4730290456431535,5.871046299999989,9.15440156416338,10.557355858928393,1.0673612687484249,-1.3113248362945626,0.043574300000045696,-2.4896265560165998
lstm_cnn,123,fold_2,2023,20,22.193192199326358,18.64058043597166,2.0137653760652636,0.7512120679756376,0.5267489711934157,6.962366900000006,23.412442450690538,18.137966829911193,1.9465870334222808,0.7231253418690331,0.5349794238683128,6.456663400000025,1.2192502513641799,-0.5026136060604678,-0.06717834264298284,-0.028086726106604454,-0.5057034999999814,0.8230452674897082
