model,seed,fold,test_year,sequence_window,rmse_full_ta,mae_full_ta,mape_full_ta,r2_full_ta,direction_accuracy_full_ta,runtime_seconds_full_ta,rmse_full_ta_vmd,mae_full_ta_vmd,mape_full_ta_vmd,r2_full_ta_vmd,direction_accuracy_full_ta_vmd,runtime_seconds_full_ta_vmd,rmse_delta_vmd_minus_full_ta,mae_delta_vmd_minus_full_ta,mape_delta_vmd_minus_full_ta,r2_delta_vmd_minus_full_ta,runtime_seconds_delta_vmd_minus_full_ta,direction_accuracy_delta_pp
cnn,123,fold_2,2023,5,13.657994068313974,10.95903971114768,1.1852592284429813,0.9057755521603612,0.5185185185185185,5.761443399998825,14.881316263791692,11.957463377768132,1.301816278216528,0.8881406079116531,0.5102880658436214,5.940127499983646,1.223322195477719,0.998423666620452,0.11655704977354664,-0.01763494424870815,0.17868409998482093,-0.8230452674897082
cnn,123,fold_3,2024,5,16.72876314449258,13.763237318504077,1.6105181107380744,0.8556894452073784,0.5081967213114754,6.220908000017516,14.928874824072768,11.701206820362918,1.3684223334378525,0.8850723345100786,0.5122950819672131,6.302018099988345,-1.7998883204198108,-2.0620304981411586,-0.24209577730022191,0.029382889302700166,0.08111009997082874,0.4098360655737654
cnn,123,fold_4,2025,5,30.10562213319336,24.6414735861314,3.1936488032711075,0.6501241869433648,0.5341880341880342,7.0570128000108525,23.89585951310387,19.125754273167058,2.4778546924210483,0.7795733904476029,0.5256410256410257,6.880930099985562,-6.209762620089492,-5.515719312964343,-0.7157941108500592,0.12944920350423805,-0.17608270002529025,-0.8547008547008517
cnn,456,fold_1,2022,5,27.47771282151421,25.018479624309,2.547905473617881,-0.5242288895180054,0.5518672199170125,5.4663736000075005,24.15257191181567,21.604551504301348,2.19491202292656,-0.1776488056145662,0.5518672199170125,5.756365999986883,-3.32514090969854,-3.4139281200076503,-0.3529934506913208,0.3465800839034392,0.28999239997938275,0.0
cnn,456,fold_2,2023,5,13.19676863685264,10.76411979431968,1.1539330844675912,0.912031949556574,0.5473251028806584,5.764788599975873,22.09026372357761,18.95209423912898,2.057746406005161,0.75351439392969,0.4938271604938271,5.837612200004514,8.89349508672497,8.1879744448093,0.9038133215375697,-0.15851755562688397,0.07282360002864152,-5.349794238683131
cnn,456,fold_3,2024,5,14.462233109876962,11.79490656223456,1.37855028899025,0.8921447855280206,0.5,6.13435720000416,13.36341606471303,10.737603849973851,1.2567106289303138,0.9079114971688076,0.5081967213114754,6.183054699969944,-1.0988170451639316,-1.057302712260709,-0.12183966005993607,0.015766711640787023,0.04869749996578321,0.8196721311475419
cnn,456,fold_4,2025,5,30.047728822439574,24.138461746425747,3.147560380873278,0.6514685201300573,0.5384615384615384,6.539997400017455,22.227159710475565,17.43424091332491,2.2357384276156997,0.8092842113338174,0.5512820512820513,6.532388999999967,-7.820569111964009,-6.7042208331008375,-0.9118219532575784,0.15781569120376016,-0.00760840001748786,1.2820512820512886
cnn,789,fold_1,2022,5,30.749386179605008,26.952896361370808,2.733669230430492,-0.908806608205602,0.5518672199170125,5.480129999981728,19.99121130581381,17.989428015665375,1.82258547719382,0.1931974771911737,0.4522821576763485,5.545104500022717,-10.758174873791198,-8.963468345705433,-0.911083753236672,1.1020040853967756,0.06497450004098848,-9.958506224066399
cnn,789,fold_2,2023,5,11.586434539947488,9.737718098467768,1.0488154303014563,0.9321906804632256,0.51440329218107,5.848377700021956,12.40041102708947,9.9147614124675,1.0714757229827052,0.9223284587769836,0.5061728395061729,6.000118599971756,0.8139764871419821,0.17704331399973228,0.022660292681248917,-0.009862221686242068,0.15174089994980022,-0.8230452674897082
cnn,789,fold_3,2024,5,14.980148274576685,12.035634368462668,1.4153289037717642,0.8842815371610162,0.5450819672131147,6.103106299997307,11.670619948435975,8.940973744783248,1.038322872026234,0.929764240182426,0.5245901639344263,6.188904100039508,-3.3095283261407094,-3.0946606236794203,-0.37700603174553016,0.045482703021409776,0.08579780004220083,-2.049180327868849
