stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
window_selection,cnn,full_ta,10,42,fold_1,2012,2017,2018,1386,245,21.87026230987285,18.467929304974422,1.626664975243273,0.7415174831638763,0.5020408163265306,5.056628200050909
window_selection,cnn,full_ta,10,42,fold_2,2012,2018,2019,1631,244,49.01131998607296,45.7423775084462,4.183104656577187,-2.9294484878428464,0.4795081967213114,5.676550399977714
window_selection,cnn,full_ta,10,42,fold_3,2012,2019,2020,1875,243,63.389315631380256,50.85705099969204,5.97855829716871,0.4981037941917403,0.4897119341563786,6.108541499997955
window_selection,cnn,full_ta,10,42,fold_4,2012,2020,2021,2118,241,28.899156989422163,25.289860184123384,2.626161171432316,-0.8021182561421456,0.4813278008298755,6.440918100008275
window_selection,cnn,full_ta,20,42,fold_1,2012,2017,2018,1386,245,24.09769861995455,20.056349840173908,1.7656143963441169,0.6861845459492731,0.5469387755102041,5.505285200022627
window_selection,cnn,full_ta,20,42,fold_2,2012,2018,2019,1631,244,23.08169185149264,18.997928926402377,1.7398734690701734,0.1284865800564013,0.4754098360655737,5.782043099985458
window_selection,cnn,full_ta,20,42,fold_3,2012,2019,2020,1875,243,71.18403082606554,48.390017011816646,5.698492125962237,0.3670827397826834,0.4938271604938271,5.767726999998558
window_selection,cnn,full_ta,20,42,fold_4,2012,2020,2021,2118,241,65.88562127834156,63.725765720007296,6.626660838082256,-8.366864306646583,0.4688796680497925,6.593946400040295
window_selection,cnn,full_ta_vmd,1,42,fold_1,2012,2017,2018,1386,245,12.721043891621848,10.177750135592056,0.8971569779634703,0.9125482122653172,0.5142857142857142,4.99185980000766
window_selection,cnn,full_ta_vmd,1,42,fold_2,2012,2018,2019,1631,244,17.121042155139495,14.852477171809328,1.360772158773765,0.520488315152143,0.4836065573770491,5.185676500026602
window_selection,cnn,full_ta_vmd,1,42,fold_3,2012,2019,2020,1875,243,27.87485356515814,20.887378091602404,2.4645187637315606,0.9029474444260204,0.4444444444444444,5.6251819000463
window_selection,cnn,full_ta_vmd,1,42,fold_4,2012,2020,2021,2118,241,14.200246520286829,9.688107744371248,1.0107746194988,0.5648843484077715,0.4937759336099585,6.183463900000788
window_selection,cnn,full_ta_vmd,3,42,fold_1,2012,2017,2018,1386,245,14.790213955769774,11.687735603585534,1.0254590591265855,0.8817851316380066,0.5387755102040817,4.924534099991433
window_selection,cnn,full_ta_vmd,3,42,fold_2,2012,2018,2019,1631,244,22.825649041219204,20.777718353068583,1.9033387847930232,0.1477145539779331,0.4795081967213114,5.322453300002962
window_selection,cnn,full_ta_vmd,3,42,fold_3,2012,2019,2020,1875,243,39.554637380496985,26.262119815544253,3.1817789850762868,0.8045765835954651,0.4609053497942387,5.845525900018401
window_selection,cnn,full_ta_vmd,3,42,fold_4,2012,2020,2021,2118,241,15.818356759323114,13.117406551828005,1.3673776060091103,0.4600722236536344,0.4605809128630705,6.402346800023224
window_selection,cnn,full_ta_vmd,5,42,fold_1,2012,2017,2018,1386,245,19.7038109993829,16.109702590772077,1.4354952799446827,0.7901912211976738,0.5061224489795918,4.961600400041789
window_selection,cnn,full_ta_vmd,5,42,fold_2,2012,2018,2019,1631,244,20.56911224052324,17.56331560091882,1.6079737844472863,0.3078983294746453,0.4877049180327868,5.447678399970755
window_selection,cnn,full_ta_vmd,5,42,fold_3,2012,2019,2020,1875,243,52.992482235257214,32.705840488097905,3.9685667821501,0.6492397973810324,0.448559670781893,5.793225399975199
window_selection,cnn,full_ta_vmd,5,42,fold_4,2012,2020,2021,2118,241,13.574320579030484,10.842519081578711,1.1312478234946113,0.6023974685122788,0.5518672199170125,6.212641699996311
window_selection,cnn,full_ta_vmd,10,42,fold_1,2012,2017,2018,1386,245,18.65495351391017,15.145315401583296,1.3392518982308086,0.8119334610547009,0.5102040816326531,5.089710099971853
window_selection,cnn,full_ta_vmd,10,42,fold_2,2012,2018,2019,1631,244,37.81606985020476,33.7647859701977,3.088934647068143,-1.3393305068216406,0.4836065573770491,5.477479299996048
window_selection,cnn,full_ta_vmd,10,42,fold_3,2012,2019,2020,1875,243,59.62216923609903,38.24516246802455,4.6442016142435465,0.5559853165424113,0.4650205761316872,5.816212100035045
window_selection,cnn,full_ta_vmd,10,42,fold_4,2012,2020,2021,2118,241,20.812094044039423,16.275465106766248,1.6941744964437122,0.065359712775101,0.4647302904564315,6.304140400025062
window_selection,cnn,full_ta_vmd,20,42,fold_1,2012,2017,2018,1386,245,66.16098261286882,62.2107422547535,5.535897481630276,-1.3655224995018358,0.4979591836734693,5.196346000011545
window_selection,cnn,full_ta_vmd,20,42,fold_2,2012,2018,2019,1631,244,50.33822523090952,45.323998415929225,4.152107307792996,-3.145096071193416,0.4795081967213114,5.952959400019608
window_selection,cnn,full_ta_vmd,20,42,fold_3,2012,2019,2020,1875,243,80.84161689451014,58.40085979795,6.830392476741716,0.1836962928689607,0.4609053497942387,5.648804700002074
window_selection,cnn,full_ta_vmd,20,42,fold_4,2012,2020,2021,2118,241,27.41350433225696,22.557792212695976,2.3427635637859208,-0.621593704806817,0.4771784232365145,6.8080938999773934
window_selection,lstm_cnn,full_ta,1,42,fold_1,2012,2017,2018,1386,245,25.02971533650105,20.39365834124235,1.7667380814860023,0.6614404953325959,0.5551020408163265,6.762357499974314
window_selection,lstm_cnn,full_ta,1,42,fold_2,2012,2018,2019,1631,244,42.76249552967705,41.694111851507365,3.826173411782768,-1.991333846912834,0.4795081967213114,7.275807800004259
window_selection,lstm_cnn,full_ta,1,42,fold_3,2012,2019,2020,1875,243,34.500772310240315,23.33495149007194,2.794626143026365,0.8513244956325725,0.4650205761316872,7.58536330005154
window_selection,lstm_cnn,full_ta,1,42,fold_4,2012,2020,2021,2118,241,19.550006423187494,15.16096034869117,1.585215688695937,0.1752795822133976,0.4564315352697095,7.975360300042666
window_selection,lstm_cnn,full_ta,3,42,fold_1,2012,2017,2018,1386,245,30.97932702882549,26.451869711175267,2.295197318345764,0.4813586389245052,0.5306122448979592,7.365052300039679
window_selection,lstm_cnn,full_ta,3,42,fold_2,2012,2018,2019,1631,244,29.92871096109226,27.53521266778703,2.527483108923956,-0.4652604437981422,0.4795081967213114,8.173728100024164
window_selection,lstm_cnn,full_ta,3,42,fold_3,2012,2019,2020,1875,243,39.660348018876974,28.67950039548981,3.3765371201899708,0.803530641051249,0.4279835390946502,8.866549200029112
window_selection,lstm_cnn,full_ta,3,42,fold_4,2012,2020,2021,2118,241,24.098754503143155,19.214645541574928,2.0069007179412206,-0.253147328999274,0.4605809128630705,9.867290299967864
