model,fold,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
lstm_cnn,fold_3,Bear,30,20,10,0.3333333333333333,0.7267138806400161,0.6541558313971026,0.7690021212106355,0.3118289874132991,0.2620307249001226,0.36546207963095745,0.25,0.1764705882352941,0.3333333333333333,0.6311475409836066,3.0700438999629105
lstm_cnn,fold_4,Bull,30,25,5,0.16666666666666666,0.7498780797749562,0.7350278103979173,0.819667705993242,0.36147194014956,0.3285330495900813,0.4312489880081026,0.3333333333333333,0.25,0.4285714285714285,0.6639344262295082,2.9293873000278827
lstm_cnn,fold_4,Sideway,30,25,5,0.16666666666666666,0.7446358550968302,0.7264439922102668,0.8529795217845381,0.3478046797809802,0.2831429411706391,0.3751061558847535,0.3333333333333333,0.1764705882352941,0.3333333333333333,0.6311475409836066,3.0509448999800943
lstm_cnn,fold_4,Bear,30,20,10,0.3333333333333333,0.7910254346518004,0.5774242461607176,0.8602186046164272,0.32959378232178194,0.28971221428783855,0.38071548240208053,0.3333333333333333,0.23161764705882354,0.3333333333333333,0.6475409836065574,2.926091000001178
lstm_cnn_attention,fold_1,Bull,30,0,30,1.0,0.1538757699354445,0.1453972364515477,0.1740969512340679,,,,,,,,5.048211800036369
lstm_cnn_attention,fold_1,Sideway,30,0,30,1.0,0.14239241655302495,0.130973009720049,0.1998492525448715,,,,,,,,4.77175340001122
lstm_cnn_attention,fold_1,Bear,30,0,30,1.0,0.17086220247180528,0.13048681130680886,0.21496076542037457,,,,,,,,3.8644027000264027
lstm_cnn_attention,fold_2,Bull,30,0,30,1.0,0.19241577786288666,0.13860790474002482,0.217534468127821,,,,,,,,3.6625309000082766
lstm_cnn_attention,fold_2,Sideway,30,0,30,1.0,0.19486618820072682,0.17226652498931305,0.23207358073705997,,,,,,,,3.5748058999597543
lstm_cnn_attention,fold_2,Bear,30,0,30,1.0,0.2789156281439587,0.1910088551720822,0.5923887464627081,,,,,,,,3.5180814000050296
lstm_cnn_attention,fold_3,Bull,30,3,27,0.9,0.39761433890668507,0.27492415800939574,0.5076391963030288,0.3032406871961958,0.25619834710743794,0.3775448498286635,0.4285714285714285,0.38095238095238093,0.48351648351648346,0.6557377049180327,3.4838136000034856
lstm_cnn_attention,fold_3,Sideway,30,6,24,0.8,0.6515238644934973,0.5602691708842302,0.6858670741964723,0.2673509108753193,0.23715802935024333,0.28714464627372194,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6434426229508197,3.6386793999990905
lstm_cnn_attention,fold_3,Bear,30,16,14,0.4666666666666667,0.7058846411311586,0.6265287315088086,0.7548928171545305,0.25569276421662734,0.22153617891686297,0.2994603811368014,0.3333333333333333,0.25,0.3333333333333333,0.6270491803278688,3.9845083999534827
