inference_type,model,contrast,metric,point_estimate,ci95_lower,ci95_upper,raw_pvalue,holm_adjusted_pvalue
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_specificity,mae_delta,-2.0702304905519204,-4.962358223239366,0.8218972421355248,0.125,0.625
four_fold_exact_sign_flip,cnn,regime_routing,balanced_accuracy_delta_pp,0.6331641933507438,-6.55274065353001,7.819069040231498,1.0,1.0
four_fold_exact_sign_flip,cnn,regime_routing,direction_accuracy_delta_pp,0.302472304148907,-5.68280343277506,6.287748041072874,1.0,1.0
four_fold_exact_sign_flip,cnn,regime_routing,mcc_delta,0.005491923718827256,-0.14753560690794337,0.1585194543455979,1.0,1.0
four_fold_exact_sign_flip,cnn,regime_routing,rmse_delta,-2.4255984195388773,-7.457802279671735,2.60660544059398,0.25,0.625
four_fold_exact_sign_flip,cnn,regime_routing,mae_delta,-2.6439744555456937,-6.650600835509228,1.3626519244178406,0.125,0.625
four_fold_exact_sign_flip,lstm,regime_routing,balanced_accuracy_delta_pp,-1.9411384574856831,-6.4173437137813885,2.5350667988100217,0.25,1.0
four_fold_exact_sign_flip,lstm,regime_routing,direction_accuracy_delta_pp,-0.8439287984742527,-3.9515953025366555,2.2637377055881505,0.5,1.0
four_fold_exact_sign_flip,lstm,regime_routing,mcc_delta,-0.03959793682042857,-0.12992079039767956,0.05072491675682243,0.25,1.0
four_fold_exact_sign_flip,lstm,regime_routing,rmse_delta,0.5523719463391901,-2.1519848849740075,3.2567287776523877,0.75,0.75
four_fold_exact_sign_flip,lstm,regime_routing,mae_delta,0.4006452433180312,-2.3165150136534693,3.1178055002895313,0.875,0.875
four_fold_exact_sign_flip,lstm_attention,regime_routing,balanced_accuracy_delta_pp,-1.5042202772594035,-6.3075890610439345,3.299148506525127,0.375,1.0
four_fold_exact_sign_flip,lstm_attention,regime_routing,direction_accuracy_delta_pp,-0.32528693156487765,-6.651890383631808,6.001316520502052,0.875,1.0
four_fold_exact_sign_flip,lstm_attention,regime_routing,mcc_delta,-0.03785303384620314,-0.1424134743053834,0.06670740661297711,0.375,1.0
four_fold_exact_sign_flip,lstm_attention,regime_routing,rmse_delta,-8.584822425556416,-17.832554678785755,0.6629098276729213,0.125,0.625
four_fold_exact_sign_flip,lstm_attention,regime_routing,mae_delta,-6.594740470695029,-14.251437575432794,1.061956634042735,0.125,0.625
four_fold_exact_sign_flip,lstm_cnn,regime_routing,balanced_accuracy_delta_pp,0.5213726085819714,-2.5681464088541346,3.6108916260180774,0.625,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_routing,direction_accuracy_delta_pp,1.0214813647190721,-3.487271927897673,5.530234657335818,0.75,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_routing,mcc_delta,0.008081499239648422,-0.051622547638838556,0.06778554611813539,0.625,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_routing,rmse_delta,-12.066329149802264,-37.42939320270712,13.296734903102593,0.125,0.625
four_fold_exact_sign_flip,lstm_cnn,regime_routing,mae_delta,-9.263747836907834,-26.819124025814972,8.291628351999305,0.125,0.625
four_fold_exact_sign_flip,lstm_cnn_attention,regime_routing,balanced_accuracy_delta_pp,2.760034629770537,-5.230265861384821,10.750335120925897,0.5,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_routing,direction_accuracy_delta_pp,3.4455728904313103,-3.9310775430222114,10.822223323884831,0.25,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_routing,mcc_delta,0.021653726736023823,-0.20129123072915417,0.2445986842012018,0.75,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_routing,rmse_delta,-24.278819671897192,-62.32571046641185,13.768071122617467,0.125,0.625
four_fold_exact_sign_flip,lstm_cnn_attention,regime_routing,mae_delta,-19.39933376646081,-48.886670341510225,10.088002808588605,0.125,0.625
daily_circular_moving_block_bootstrap,lstm,global_shap_reduction,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm,global_shap_specificity,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm,regime_shap_reduction,squared_error_loss_delta,23.848780512594175,8.10641269323951,40.02190393118617,0.0018,0.009
daily_circular_moving_block_bootstrap,lstm,regime_shap_reduction,balanced_accuracy_delta_pp,-0.10131896903259069,-1.7399328288433205,1.5299190701649372,0.9054,1.0
daily_circular_moving_block_bootstrap,lstm,regime_shap_specificity,squared_error_loss_delta,45.36100510629221,21.664671261195377,71.84368093180277,0.0,0.0
daily_circular_moving_block_bootstrap,lstm,regime_shap_specificity,balanced_accuracy_delta_pp,-0.6039857045502605,-3.7236041965169484,2.6348089480030303,0.7026,1.0
daily_circular_moving_block_bootstrap,lstm,regime_routing,squared_error_loss_delta,15.228718901348916,-10.675092467181608,42.53594990551688,0.2652,0.2652
daily_circular_moving_block_bootstrap,lstm,regime_routing,balanced_accuracy_delta_pp,-1.941138457485685,-5.504853883401326,1.4922707380819513,0.2738,1.0
daily_circular_moving_block_bootstrap,cnn,global_shap_reduction,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,cnn,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,cnn,global_shap_specificity,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,cnn,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,cnn,regime_shap_reduction,squared_error_loss_delta,37.10946798845531,-21.03887593831699,104.19123733299223,0.2402,0.9608
daily_circular_moving_block_bootstrap,cnn,regime_shap_reduction,balanced_accuracy_delta_pp,1.457658676310971,-0.04093233282940063,3.0101717343452106,0.0576,0.288
daily_circular_moving_block_bootstrap,cnn,regime_shap_specificity,squared_error_loss_delta,68.5941059762755,15.52494098232297,127.18621478136107,0.0096,0.0288
daily_circular_moving_block_bootstrap,cnn,regime_shap_specificity,balanced_accuracy_delta_pp,1.1960006908401306,-0.3308136052052821,2.8114368152985776,0.131,0.524
daily_circular_moving_block_bootstrap,cnn,regime_routing,squared_error_loss_delta,-102.05607221968098,-196.19952058257547,-3.7287415676388647,0.042,0.084
daily_circular_moving_block_bootstrap,cnn,regime_routing,balanced_accuracy_delta_pp,0.633164193350741,-3.104966752925695,4.305083276751363,0.7356,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,global_shap_reduction,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,global_shap_specificity,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,regime_shap_reduction,squared_error_loss_delta,-24.438113029846697,-89.39356671164792,51.23501882736437,0.477,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,regime_shap_reduction,balanced_accuracy_delta_pp,0.0534541136245032,-1.715254226733168,1.753114206459778,0.93,1.0
daily_circular_moving_block_bootstrap,lstm_cnn,regime_shap_specificity,squared_error_loss_delta,7.9945877399203695,-50.539757237091045,69.60990767647334,0.8154,0.8154
daily_circular_moving_block_bootstrap,lstm_cnn,regime_shap_specificity,balanced_accuracy_delta_pp,-1.101352134738029,-2.376001870127867,0.11712782888167549,0.0804,0.402
daily_circular_moving_block_bootstrap,lstm_cnn,regime_routing,squared_error_loss_delta,-860.9087823219537,-1306.8386995359303,-458.55882580365454,0.0,0.0
daily_circular_moving_block_bootstrap,lstm_cnn,regime_routing,balanced_accuracy_delta_pp,0.5213726085819681,-3.0949114175395214,4.3203253359301526,0.8,1.0
daily_circular_moving_block_bootstrap,lstm_attention,global_shap_reduction,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_attention,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_attention,global_shap_specificity,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_attention,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_attention,regime_shap_reduction,squared_error_loss_delta,5.376329009948769,-22.24356916819928,32.058480063145886,0.6852,1.0
daily_circular_moving_block_bootstrap,lstm_attention,regime_shap_reduction,balanced_accuracy_delta_pp,-1.0347683501754914,-2.659603521235284,0.4567027952247981,0.1784,0.7136
daily_circular_moving_block_bootstrap,lstm_attention,regime_shap_specificity,squared_error_loss_delta,19.975972186019945,-8.617936429516387,50.65116248951637,0.175,0.35
daily_circular_moving_block_bootstrap,lstm_attention,regime_shap_specificity,balanced_accuracy_delta_pp,-1.1325978768828127,-2.766195114754388,0.43243409229265595,0.1682,0.524
daily_circular_moving_block_bootstrap,lstm_attention,regime_routing,squared_error_loss_delta,-393.1643598703291,-567.7557915828124,-234.03574894739532,0.0,0.0
daily_circular_moving_block_bootstrap,lstm_attention,regime_routing,balanced_accuracy_delta_pp,-1.5042202772594075,-5.558287957129571,2.5550193492441062,0.4556,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,global_shap_reduction,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,global_shap_reduction,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,global_shap_specificity,squared_error_loss_delta,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,global_shap_specificity,balanced_accuracy_delta_pp,0.0,0.0,0.0,1.0,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_shap_reduction,squared_error_loss_delta,-5.826401118888025,-58.82848894157256,50.29625017552954,0.8446,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_shap_reduction,balanced_accuracy_delta_pp,-0.739835990780604,-2.9032445048757376,1.2294759050373847,0.4804,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_shap_specificity,squared_error_loss_delta,-142.3612245934151,-233.6887901353084,-55.13605533875898,0.001,0.004
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_shap_specificity,balanced_accuracy_delta_pp,-0.35859502643661445,-2.1043692905535987,1.158086206705451,0.676,1.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_routing,squared_error_loss_delta,-2202.1410170295794,-3058.0567854371156,-1416.3184372044473,0.0,0.0
daily_circular_moving_block_bootstrap,lstm_cnn_attention,regime_routing,balanced_accuracy_delta_pp,2.76003462977054,-1.1324142578002452,6.810998478269364,0.1656,0.828
