model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm_attention,fold_4,2025,regime_shap_reduction,Regime-SHAP,Regime-All,0.48289473684210527,0.47863247863247865,-0.03627381250550058,18.19674739235782,14.505660243854573,0.4969298245614035,0.49145299145299143,-0.006789543895458469,19.377957983667248,15.037453290039165,-1.4035087719298234,-1.2820512820512775,-0.02948426861004211,-1.1812105913094264,-0.5317930461845926
lstm_cnn,fold_1,2022,regime_shap_reduction,Regime-SHAP,Regime-All,0.5363291406085307,0.5458333333333333,0.07347601927194523,15.42777850467446,12.197112545306265,0.5195699529196823,0.5333333333333333,0.0402767119345622,18.153446923512952,14.26353209050761,1.675918768884832,1.2499999999999956,0.033199307337383036,-2.7256684188384916,-2.066419545201345
lstm_cnn,fold_2,2023,regime_shap_reduction,Regime-SHAP,Regime-All,0.567845394736842,0.5702479338842975,0.1360267968956272,17.39413420496734,13.264318349139664,0.5566063596491229,0.5578512396694215,0.11316232241349534,18.352174311096768,14.15339587720627,1.1239035087719174,1.2396694214875992,0.022864474482131844,-0.9580401061294275,-0.8890775280666059
lstm_cnn,fold_3,2024,regime_shap_reduction,Regime-SHAP,Regime-All,0.5137627027390808,0.5081967213114754,0.028567199272434254,16.985609012562414,13.419906819200916,0.5266841644794401,0.5163934426229508,0.061572662501882446,20.171688038274013,15.198461200591012,-1.2921461740359352,-0.8196721311475419,-0.033005463229448195,-3.1860790257115994,-1.7785543813900961
lstm_cnn,fold_4,2025,regime_shap_reduction,Regime-SHAP,Regime-All,0.5114035087719299,0.5042735042735043,0.02742042485535409,25.755290182332473,19.71606935266503,0.5243421052631578,0.5170940170940171,0.05894141362458967,22.735955156750304,18.242465324382014,-1.2938596491227972,-1.2820512820512886,-0.03152098876923558,3.019335025582169,1.4736040282830167
lstm_cnn_attention,fold_1,2022,regime_shap_reduction,Regime-SHAP,Regime-All,0.5520694259012016,0.5541666666666667,0.10365560626310455,17.34115957140395,14.305858299655041,0.5573396107090155,0.5458333333333333,0.11635514253862707,21.283205204693108,16.933705451379666,-0.5270184807813938,0.8333333333333415,-0.012699536275522519,-3.9420456332891582,-2.627847151724625
lstm_cnn_attention,fold_2,2023,regime_shap_reduction,Regime-SHAP,Regime-All,0.5435169956140351,0.5495867768595041,0.088966363766439,21.19658934381657,15.625209030594823,0.5361156798245614,0.5371900826446281,0.07217203203365144,19.28487072394282,14.92131404367297,0.7401315789473673,1.2396694214875992,0.016794331732787562,1.9117186198737492,0.7038949869218527
lstm_cnn_attention,fold_3,2024,regime_shap_reduction,Regime-SHAP,Regime-All,0.5012786863180564,0.4959016393442623,0.0026479342076392333,20.006143870048767,15.991909631580606,0.5292751867555017,0.5204918032786885,0.0646696956580147,21.25213790980945,16.291840050511688,-2.799650043744528,-2.45901639344262,-0.06202176145037547,-1.2459940397606815,-0.29993041893108163
lstm_cnn_attention,fold_4,2025,regime_shap_reduction,Regime-SHAP,Regime-All,0.5234649122807018,0.5170940170940171,0.05401905086639038,28.52476716760799,23.26376529282308,0.5271929824561403,0.5213675213675214,0.06098393434075911,26.65877952420851,21.805542868080323,-0.3728070175438525,-0.42735042735042583,-0.00696488347436873,1.8659876433994818,1.4582224247427575
cnn,fold_1,2022,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5746258168786451,0.5791666666666667,0.14912070894941487,17.031842638409685,12.869813664515469,0.5830581125711475,0.5875,0.16597050657081766,14.863987848999974,11.233598461451868,-0.8432295692502367,-0.8333333333333304,-0.01684979762140279,2.167854789409711,1.6362152030636015
cnn,fold_2,2023,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.540501644736842,0.5413223140495868,0.08091184953646534,16.418645062341575,12.659014276218015,0.5356359649122807,0.5371900826446281,0.0712719298245614,20.63133082071677,15.899606258396243,0.486567982456132,0.4132231404958664,0.009639919711903935,-4.212685758375194,-3.2405919821782287
cnn,fold_3,2024,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.532875698230029,0.5245901639344263,0.07173651706931837,18.617520480898403,14.79990802029509,0.5161181775355004,0.5081967213114754,0.03490331992710259,16.217787203165067,12.889142112984043,1.6757520694528627,1.6393442622950838,0.03683319714221578,2.3997332777333362,1.9107659073110472
cnn,fold_4,2025,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5331140350877193,0.5256410256410257,0.08135818374793703,26.60766750468149,21.081601454013533,0.4984649122807017,0.49145299145299143,-0.0036663086163222962,20.742531580251608,16.896207287072404,3.4649122807017543,3.4188034188034235,0.08502449236425932,5.865135924429882,4.18539416694113
lstm,fold_1,2022,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.496205466938374,0.5125,-0.007908681828760145,14.385907755807017,11.753507151101147,0.4819408333918909,0.45416666666666666,-0.041936841567629356,11.057202398941834,9.056357828888157,1.4264633546483052,5.8333333333333295,0.03402815973886921,3.328705356865182,2.69714932221299
lstm,fold_2,2023,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5385827850877193,0.5413223140495868,0.0774179933886195,10.80452089886203,8.494918886467257,0.5668859649122807,0.5702479338842975,0.1345860403704382,10.396155808626284,8.113150837851158,-2.830317982456143,-2.892561983471076,-0.057168046981818696,0.40836509023574585,0.3817680486160988
lstm,fold_3,2024,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.4788007268322229,0.47950819672131145,-0.04238571190319248,10.92706281688707,8.376047193341563,0.5110707315431725,0.5081967213114754,0.02234081729780528,10.444659835615061,8.16469513003942,-3.22700047109496,-2.868852459016397,-0.06472652920099775,0.4824029812720081,0.21135206330214373
lstm,fold_4,2025,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5333333333333333,0.5299145299145299,0.06911490355306128,17.392459017923983,13.00351325956829,0.5111842105263158,0.5042735042735043,0.026536597994814663,14.990451171049445,11.751754044078886,2.214912280701753,2.564102564102566,0.04257830555824662,2.402007846874538,1.251759215489404
lstm_attention,fold_1,2022,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5052350502424285,0.5083333333333333,0.010426234219117444,17.965357699070058,14.831181056307555,0.5070620476424706,0.5083333333333333,0.014045359557418187,16.79007238281414,13.720463639445327,-0.18269974000421074,0.0,-0.0036191253383007424,1.1752853162559163,1.1107174168622276
lstm_attention,fold_2,2023,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5000685307017544,0.5041322314049587,0.00013820265054722812,19.44688229111867,15.251706991643074,0.4888294956140351,0.49173553719008267,-0.02241409044821488,18.481155958211716,14.897406802228433,1.1239035087719285,1.2396694214875992,0.022552293098762107,0.9657263329069536,0.3543001894146407
lstm_attention,fold_3,2024,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.49633218924557504,0.4918032786885246,-0.0075158269104589155,15.111670997101921,11.96262374309048,0.5183727034120735,0.5122950819672131,0.038425549098478666,15.394001864258614,12.186045506061113,-2.2040514166498495,-2.049180327868849,-0.04594137600893758,-0.2823308671566931,-0.22342176297063254
lstm_attention,fold_4,2025,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.48289473684210527,0.47863247863247865,-0.03627381250550058,18.19674739235782,14.505660243854573,0.5155701754385965,0.5128205128205128,0.031866066971879235,17.89079891378061,14.236498929167158,-3.2675438596491246,-3.418803418803412,-0.06813987947737982,0.30594847857721064,0.26916131468741433
lstm_cnn,fold_1,2022,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5363291406085307,0.5458333333333333,0.07347601927194523,15.42777850467446,12.197112545306265,0.548310027404961,0.55,0.09613489629768397,13.424911926197254,10.591065699937438,-1.198088679643039,-0.4166666666666763,-0.02265887702573874,2.0028665784772066,1.6060468453688266
lstm_cnn,fold_2,2023,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.567845394736842,0.5702479338842975,0.1360267968956272,17.39413420496734,13.264318349139664,0.5722313596491229,0.5743801652892562,0.1447158363414063,16.431936101905926,12.865458455819642,-0.43859649122808264,-0.4132231404958664,-0.008689039445779118,0.9621981030614144,0.39885989332002225
lstm_cnn,fold_3,2024,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5137627027390808,0.5081967213114754,0.028567199272434254,16.985609012562414,13.419906819200916,0.5118446732619961,0.5040983606557377,0.025555620786712873,19.27621134307393,14.758198397122452,0.19180294770846373,0.4098360655737765,0.0030115784857213806,-2.290602330511515,-1.3382915779215363
lstm_cnn,fold_4,2025,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5114035087719299,0.5042735042735043,0.02742042485535409,25.755290182332473,19.71606935266503,0.5410087719298246,0.5341880341880342,0.0966811812535703,25.271143251695143,20.29875899920863,-2.960526315789469,-2.991452991452992,-0.0692607563982162,0.48414693063732983,-0.5826896465435993
lstm_cnn_attention,fold_1,2022,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5520694259012016,0.5541666666666667,0.10365560626310455,17.34115957140395,14.305858299655041,0.581617595390345,0.5666666666666667,0.16797630489046317,18.34722263298743,14.645342988572173,-2.9548169489143405,-1.2499999999999956,-0.06432069862735862,-1.0060630615834825,-0.3394846889171319
lstm_cnn_attention,fold_2,2023,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5435169956140351,0.5495867768595041,0.088966363766439,21.19658934381657,15.625209030594823,0.5128152412280702,0.5206611570247934,0.02659576551084344,24.78756323082572,18.711652564776763,3.0701754385964897,2.8925619834710647,0.06237059825559556,-3.5909738870091523,-3.0864435341819405
lstm_cnn_attention,fold_3,2024,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5012786863180564,0.4959016393442623,0.0026479342076392333,20.006143870048767,15.991909631580606,0.5161181775355004,0.5081967213114754,0.03490331992710259,21.91028241815889,16.74205499887858,-1.483949121744399,-1.2295081967213128,-0.03225538571946336,-1.9041385481101223,-0.7501453672979732
lstm_cnn_attention,fold_4,2025,regime_shap_specificity,Regime-SHAP,Regime-Spearman,0.5234649122807018,0.5170940170940171,0.05401905086639038,28.52476716760799,23.26376529282308,0.5241228070175439,0.5170940170940171,0.057613421113636085,33.2002997436803,27.368613664633717,-0.06578947368420796,0.0,-0.0035943702472457026,-4.675532576072307,-4.104848371810636
cnn,fold_1,2022,regime_routing,Regime-All,Global3-All,0.5652800224861219,0.5708333333333333,0.13068407509061197,19.44416759123157,14.716846971238798,0.49163797343826854,0.5125,-0.01800069792096472,21.166004001313436,16.951409944358883,7.364204904785332,5.833333333333335,0.1486847730115767,-1.7218364100818668,-2.2345629731200845
cnn,fold_2,2023,regime_routing,Regime-All,Global3-All,0.53515625,0.5371900826446281,0.07038972407599355,19.174713682782354,14.773251695342509,0.548314144736842,0.5495867768595041,0.09658527518343125,17.95656859878021,14.835829988664075,-1.3157894736842035,-1.2396694214875992,-0.02619555110743771,1.2181450840021455,-0.06257829332156639
cnn,fold_3,2024,regime_routing,Regime-All,Global3-All,0.516892119254324,0.5040983606557377,0.04315165081786701,17.11227001005811,13.399135991114106,0.5288040917962178,0.5122950819672131,0.09664113281676172,23.55297932788508,19.502767929798292,-1.19119725418938,-0.8196721311475419,-0.05348948199889471,-6.440709317826968,-6.103631938684186
cnn,fold_4,2025,regime_routing,Regime-All,Global3-All,0.5054824561403509,0.5,0.012124185527604409,20.66936509076953,16.404205493244884,0.5287280701754387,0.5256410256410257,0.05915623055753967,23.42735812501835,18.57933011030182,-2.3245614035087736,-2.564102564102566,-0.047032045029935264,-2.7579930342488197,-2.1751246170569374
