model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
lstm_cnn,regime_shap_specificity,direction_accuracy_delta_pp,4,-0.8528766832604395,1.4777828582342671,-3.20435898186006,1.498605615339181,1,3,0,0.25,1.0,0.125
lstm_cnn,regime_shap_specificity,mcc_delta,4,-0.02439927359600317,0.03169515151321041,-0.07483333251031507,0.026034785318308724,1,3,0,0.25,1.0,0.125
lstm_cnn,regime_shap_specificity,rmse_delta,4,0.289652320416109,1.8332996791592806,-2.627536574793021,3.206841215625239,3,1,0,0.75,1.0,0.125
lstm_cnn,regime_shap_specificity,mae_delta,4,0.0209813785559283,1.2737433523227002,-2.0058285341836024,2.047791291295459,2,2,0,1.0,1.0,0.125
lstm_cnn_attention,regime_shap_specificity,balanced_accuracy_delta_pp,4,-0.35859502643661445,2.5722229105183136,-4.45157567540917,3.734385622535942,1,3,0,0.875,1.0,0.125
lstm_cnn_attention,regime_shap_specificity,direction_accuracy_delta_pp,4,0.10326344668743909,1.9492265026876572,-2.9983908941322697,3.204917787507148,1,2,1,1.0,1.0,0.125
lstm_cnn_attention,regime_shap_specificity,mcc_delta,4,-0.009449964084618031,0.05392391528581653,-0.09525494656850726,0.07635501839927121,1,3,0,0.625,1.0,0.125
lstm_cnn_attention,regime_shap_specificity,rmse_delta,4,-2.794177018193766,1.6496367262085103,-5.419117170385059,-0.16923686600247345,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,regime_shap_specificity,mae_delta,4,-2.0702304905519204,1.8175500575678174,-4.962358223239366,0.8218972421355248,0,4,0,0.125,0.625,0.125
cnn,regime_routing,balanced_accuracy_delta_pp,4,0.6331641933507438,4.51596297788292,-6.55274065353001,7.819069040231498,1,3,0,1.0,1.0,0.125
cnn,regime_routing,direction_accuracy_delta_pp,4,0.302472304148907,3.7614307754300937,-5.68280343277506,6.287748041072874,1,3,0,1.0,1.0,0.125
cnn,regime_routing,mcc_delta,4,0.005491923718827256,0.09616974864443381,-0.14753560690794337,0.1585194543455979,1,3,0,1.0,1.0,0.125
cnn,regime_routing,rmse_delta,4,-2.4255984195388773,3.1624752642506864,-7.457802279671735,2.60660544059398,1,3,0,0.25,0.625,0.125
cnn,regime_routing,mae_delta,4,-2.6439744555456937,2.5179537975622517,-6.650600835509228,1.3626519244178406,0,4,0,0.125,0.625,0.125
lstm,regime_routing,balanced_accuracy_delta_pp,4,-1.9411384574856831,2.8130594058187333,-6.4173437137813885,2.5350667988100217,1,3,0,0.25,1.0,0.125
lstm,regime_routing,direction_accuracy_delta_pp,4,-0.8439287984742527,1.9530048308452836,-3.9515953025366555,2.2637377055881505,1,2,1,0.5,1.0,0.125
lstm,regime_routing,mcc_delta,4,-0.03959793682042857,0.05676315947721791,-0.12992079039767956,0.05072491675682243,1,3,0,0.25,1.0,0.125
lstm,regime_routing,rmse_delta,4,0.5523719463391901,1.699545929069248,-2.1519848849740075,3.2567287776523877,2,2,0,0.75,0.75,0.125
lstm,regime_routing,mae_delta,4,0.4006452433180312,1.707592208208064,-2.3165150136534693,3.1178055002895313,2,2,0,0.875,0.875,0.125
lstm_attention,regime_routing,balanced_accuracy_delta_pp,4,-1.5042202772594035,3.018664463126784,-6.3075890610439345,3.299148506525127,1,3,0,0.375,1.0,0.125
lstm_attention,regime_routing,direction_accuracy_delta_pp,4,-0.32528693156487765,3.9759372791698544,-6.651890383631808,6.001316520502052,1,3,0,0.875,1.0,0.125
lstm_attention,regime_routing,mcc_delta,4,-0.03785303384620314,0.06571073346034596,-0.1424134743053834,0.06670740661297711,1,3,0,0.375,1.0,0.125
lstm_attention,regime_routing,rmse_delta,4,-8.584822425556416,5.8117129818502455,-17.832554678785755,0.6629098276729213,0,4,0,0.125,0.625,0.125
lstm_attention,regime_routing,mae_delta,4,-6.594740470695029,4.811831132563405,-14.251437575432794,1.061956634042735,0,4,0,0.125,0.625,0.125
lstm_cnn,regime_routing,balanced_accuracy_delta_pp,4,0.5213726085819714,1.9416000906640167,-2.5681464088541346,3.6108916260180774,3,1,0,0.625,1.0,0.125
lstm_cnn,regime_routing,direction_accuracy_delta_pp,4,1.0214813647190721,2.8335141335337,-3.487271927897673,5.530234657335818,2,1,1,0.75,1.0,0.125
lstm_cnn,regime_routing,mcc_delta,4,0.008081499239648422,0.03752085103799701,-0.051622547638838556,0.06778554611813539,3,1,0,0.625,1.0,0.125
lstm_cnn,regime_routing,rmse_delta,4,-12.066329149802264,15.939350813740624,-37.42939320270712,13.296734903102593,0,4,0,0.125,0.625,0.125
lstm_cnn,regime_routing,mae_delta,4,-9.263747836907834,11.032629936134692,-26.819124025814972,8.291628351999305,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,regime_routing,balanced_accuracy_delta_pp,4,2.760034629770537,5.021483302256716,-5.230265861384821,10.750335120925897,3,1,0,0.5,1.0,0.125
lstm_cnn_attention,regime_routing,direction_accuracy_delta_pp,4,3.4455728904313103,4.635836539461055,-3.9310775430222114,10.822223323884831,3,1,0,0.25,1.0,0.125
lstm_cnn_attention,regime_routing,mcc_delta,4,0.021653726736023823,0.14010917142264429,-0.20129123072915417,0.2445986842012018,2,2,0,0.75,1.0,0.125
lstm_cnn_attention,regime_routing,rmse_delta,4,-24.278819671897192,23.91046832830876,-62.32571046641185,13.768071122617467,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,regime_routing,mae_delta,4,-19.39933376646081,18.531239019550835,-48.886670341510225,10.088002808588605,0,4,0,0.125,0.625,0.125
