model,fold,arm,test_year,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_2,Global-SHAP,2023,5,243,29.861800560876013,24.404498562958047,2.68383634916609,0.5495757720646751,0.5413223140495868,0.5587308114035088,0.14590719639533886,1.0,242,1,0,33,95,16,98,0.7975206611570248
lstm_attention,fold_2,Global-Spearman,2023,5,243,29.861800560876013,24.404498562958047,2.68383634916609,0.5495757720646751,0.5413223140495868,0.5587308114035088,0.14590719639533886,1.0,242,1,0,33,95,16,98,0.7975206611570248
lstm_attention,fold_2,Regime-All,2023,5,243,19.193725006860014,15.20619772130078,1.646087837833181,0.8139163148383142,0.5082644628099173,0.5039747807017544,0.008025545592033115,1.0,242,1,0,74,54,65,49,0.4256198347107438
lstm_attention,fold_2,Regime-SHAP,2023,5,243,19.44688229111867,15.251706991643074,1.654620032603185,0.8089752092662202,0.5041322314049587,0.5000685307017544,0.00013820265054722812,1.0,242,1,0,73,55,65,49,0.4297520661157025
lstm_attention,fold_2,Regime-Spearman,2023,5,243,18.481155958211716,14.897406802228433,1.6067497319905957,0.8274765932003744,0.49173553719008267,0.4888294956140351,-0.02241409044821488,1.0,242,1,0,69,59,64,50,0.45041322314049587
lstm_attention,fold_3,Global-All,2024,5,244,39.6232800119894,35.435487271682206,4.175022754453817,0.19039854688667956,0.4918032786885246,0.5118110236220472,0.10708858410046974,1.0,244,0,0,3,124,0,117,0.9877049180327869
lstm_attention,fold_3,Global3-All,2024,5,244,25.86973087961311,21.075582704682198,2.4741944519801335,0.6548926145267102,0.5163934426229508,0.5310586176727908,0.0885318917741143,1.0,244,0,0,22,105,13,104,0.8565573770491803
lstm_attention,fold_3,Global-SHAP,2024,5,244,39.6232800119894,35.435487271682206,4.175022754453817,0.19039854688667956,0.4918032786885246,0.5118110236220472,0.10708858410046974,1.0,244,0,0,3,124,0,117,0.9877049180327869
lstm_attention,fold_3,Global-Spearman,2024,5,244,39.6232800119894,35.435487271682206,4.175022754453817,0.19039854688667956,0.4918032786885246,0.5118110236220472,0.10708858410046974,1.0,244,0,0,3,124,0,117,0.9877049180327869
lstm_attention,fold_3,Regime-All,2024,5,244,13.766170963997087,10.893085108635871,1.2653599037500256,0.9022770093171624,0.5081967213114754,0.5151086883370348,0.03205643612557677,1.0,244,0,0,44,83,37,80,0.6680327868852459
lstm_attention,fold_3,Regime-SHAP,2024,5,244,15.111670997101921,11.96262374309048,1.3838964305417893,0.8822406468358595,0.4918032786885246,0.49633218924557504,-0.0075158269104589155,1.0,244,0,0,49,78,46,71,0.610655737704918
lstm_attention,fold_3,Regime-Spearman,2024,5,244,15.394001864258614,12.186045506061113,1.4144273234739275,0.8777993540684126,0.5122950819672131,0.5183727034120735,0.038425549098478666,1.0,244,0,0,47,80,39,78,0.6475409836065574
lstm_attention,fold_4,Global-All,2025,5,234,57.00916008203843,48.13348904787583,6.284480975046565,-0.25460782867693466,0.5085470085470085,0.5208333333333334,0.14402207496978586,1.0,234,0,0,5,115,0,114,0.9786324786324786
lstm_attention,fold_4,Global3-All,2025,5,234,34.23671940818695,26.33295821082832,3.4545524284081766,0.5475162416254049,0.5256410256410257,0.5307017543859649,0.06675952851006971,1.0,234,0,0,40,80,31,83,0.6965811965811965
lstm_attention,fold_4,Global-SHAP,2025,5,234,57.00916008203843,48.13348904787583,6.284480975046565,-0.25460782867693466,0.5085470085470085,0.5208333333333334,0.14402207496978586,1.0,234,0,0,5,115,0,114,0.9786324786324786
lstm_attention,fold_4,Global-Spearman,2025,5,234,57.00916008203843,48.13348904787583,6.284480975046565,-0.25460782867693466,0.5085470085470085,0.5208333333333334,0.14402207496978586,1.0,234,0,0,5,115,0,114,0.9786324786324786
lstm_attention,fold_4,Regime-All,2025,5,234,19.377957983667248,15.037453290039165,1.9269860314434308,0.8550444901366446,0.49145299145299143,0.4969298245614035,-0.006789543895458469,1.0,234,0,0,34,86,33,81,0.7136752136752137
lstm_attention,fold_4,Regime-SHAP,2025,5,234,18.19674739235782,14.505660243854573,1.857577141332396,0.8721778140065664,0.47863247863247865,0.48289473684210527,-0.03627381250550058,1.0,234,0,0,38,82,40,74,0.6666666666666666
lstm_attention,fold_4,Regime-Spearman,2025,5,234,17.89079891378061,14.236498929167158,1.8025320208069489,0.8764399211204716,0.5128205128205128,0.5155701754385965,0.031866066971879235,1.0,234,0,0,49,71,43,71,0.6068376068376068
lstm_cnn,fold_1,Global-All,2022,5,241,22.53640029535074,17.226160403469297,1.7541245387603825,-0.025316920258436904,0.475,0.4833813505726934,-0.033463806813098705,1.0,240,1,0,60,47,79,54,0.42083333333333334
lstm_cnn,fold_1,Global3-All,2022,5,241,23.496608188032866,18.0394255499332,1.8369077642705451,-0.11454954315555987,0.4875,0.49191904996135194,-0.0161228609309845,1.0,240,1,0,57,50,73,60,0.4583333333333333
lstm_cnn,fold_1,Global-SHAP,2022,5,241,22.53640029535074,17.226160403469297,1.7541245387603825,-0.025316920258436904,0.475,0.4833813505726934,-0.033463806813098705,1.0,240,1,0,60,47,79,54,0.42083333333333334
lstm_cnn,fold_1,Global-Spearman,2022,5,241,22.53640029535074,17.226160403469297,1.7541245387603825,-0.025316920258436904,0.475,0.4833813505726934,-0.033463806813098705,1.0,240,1,0,60,47,79,54,0.42083333333333334
lstm_cnn,fold_1,Regime-All,2022,5,241,18.153446923512952,14.26353209050761,1.4504005811796548,0.3347157718331716,0.5333333333333333,0.5195699529196823,0.0402767119345622,1.0,240,1,0,42,65,47,86,0.6291666666666667
lstm_cnn,fold_1,Regime-SHAP,2022,5,241,15.42777850467446,12.197112545306265,1.2414045209761426,0.5194973153753857,0.5458333333333333,0.5363291406085307,0.07347601927194523,1.0,240,1,0,48,59,50,83,0.5916666666666667
lstm_cnn,fold_1,Regime-Spearman,2022,5,241,13.424911926197254,10.591065699937438,1.0787253773695262,0.6361587637432407,0.55,0.548310027404961,0.09613489629768397,1.0,240,1,0,57,50,58,75,0.5208333333333334
lstm_cnn,fold_2,Global-All,2023,5,243,21.8925082682786,17.661297735877483,1.9017103586124322,0.757907794797738,0.5454545454545454,0.5458470394736843,0.09154363737115015,1.0,242,1,0,69,59,51,63,0.5041322314049587
lstm_cnn,fold_2,Global3-All,2023,5,243,21.32858428459033,17.37335047055272,1.869039799646368,0.7702191558519763,0.5578512396694215,0.5546875,0.1099301203507587,1.0,242,1,0,78,50,57,57,0.44214876033057854
