model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_2,2023,123,Global-All,20,1,1,0,5.821206499997061,0.2295253000047523,12017,243,20.949448192111007,17.006885844552457,1.8069576538732104,0.7783156994612794,0.5289256198347108,0.5153508771929824,0.0347472641152221,1.0,242,1,0,96,32,82,32,0.2644628099173554
cnn,fold_2,2023,123,Global3-All,20,3,3,0,16.51064569997834,0.568757100001676,36051,243,18.34110777524269,15.129496823665376,1.6208163509029656,0.8300814132399417,0.5454545454545454,0.5420093201754386,0.0845299618310231,1.0,242,1,0,77,51,59,55,0.4380165289256198
cnn,fold_2,2023,123,Global-SHAP,20,1,0,1,5.821206499997061,0.2295253000047523,12017,243,20.949448192111007,17.006885844552457,1.8069576538732104,0.7783156994612794,0.5289256198347108,0.5153508771929824,0.0347472641152221,1.0,242,1,0,96,32,82,32,0.2644628099173554
cnn,fold_2,2023,123,Global-Spearman,20,1,0,1,5.821206499997061,0.2295253000047523,12017,243,20.949448192111007,17.006885844552457,1.8069576538732104,0.7783156994612794,0.5289256198347108,0.5153508771929824,0.0347472641152221,1.0,242,1,0,96,32,82,32,0.2644628099173554
cnn,fold_2,2023,123,Regime-All,20,3,3,0,9.417356299993116,0.565482099991641,36051,243,18.77982914307808,14.665299644509446,1.58567635317283,0.8218552470741944,0.5082644628099173,0.5025356359649122,0.0051654057421585,1.0,242,1,0,77,51,68,46,0.4008264462809917
cnn,fold_2,2023,123,Regime-SHAP,20,3,2,1,9.34818349998386,0.5765102999721421,23187,243,20.901540718929915,15.914880627585038,1.719363517011357,0.7793284412982054,0.5330578512396694,0.5293311403508771,0.0590828479202422,1.0,242,1,0,76,52,61,53,0.4338842975206611
cnn,fold_2,2023,123,Regime-Spearman,20,3,2,1,9.195892499978072,0.5975122999952873,23187,243,21.22599719250929,16.531538006327267,1.785061692933653,0.7724242584693657,0.5330578512396694,0.5298108552631579,0.0599243137250376,1.0,242,1,0,75,53,60,54,0.4421487603305785
cnn,fold_2,2023,2025,Global-All,20,1,1,0,6.1887512000103015,0.2319936999992933,12017,243,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,242,1,0,82,46,67,47,0.384297520661157
cnn,fold_2,2023,2025,Global3-All,20,3,3,0,18.122364599985303,0.6978384999965783,36051,243,17.79131857415152,14.642968822879563,1.5712662721894657,0.8401156210924307,0.5454545454545454,0.5434484649122807,0.0869923685461596,1.0,242,1,0,74,54,56,58,0.4628099173553719
cnn,fold_2,2023,2025,Global-SHAP,20,1,0,1,6.1887512000103015,0.2319936999992933,12017,243,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,242,1,0,82,46,67,47,0.384297520661157
cnn,fold_2,2023,2025,Global-Spearman,20,1,0,1,6.1887512000103015,0.2319936999992933,12017,243,18.249248683528,15.039169916910398,1.6112213039873682,0.831779182042184,0.5330578512396694,0.526452850877193,0.0542906800073093,1.0,242,1,0,82,46,67,47,0.384297520661157
