protocol_id,market,stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,training_sequences,feature_count,roc_auc,nrmse_percent,nmae_percent,fit_seconds,inference_seconds,total_model_seconds,trainable_parameters
set100-same-exchange-robustness-v1,SET100,,cnn,,20,456,fold_2,,,2023,2578,243,58.14708451596425,48.58074318393258,2.38098688350862,0.7157746819909094,0.4897119341563786,0.5085597826086956,0.02406080828388984,1.0,243,0,0,20,108,16,99,0.8518518518518519,,2559.0,122.0,0.5546195652173913,2.798005023031549,2.3376780552760095,5.883281499998702,0.159098999996786,6.042380499995488,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,789,fold_2,,,2023,2578,243,40.966966381757615,33.343599576405495,1.619816689791969,0.8589170657036886,0.5390946502057613,0.5470448369565217,0.09824191434907008,1.0,243,0,0,51,77,35,80,0.6460905349794238,,2559.0,122.0,0.5552989130434782,1.9713073951807845,1.604475269523117,5.510091700001794,0.1713567000006151,5.6814484000024095,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,2025,fold_2,,,2023,2578,243,51.81687278939968,41.96115691006175,2.0450880566339964,0.7742907949210001,0.522633744855967,0.5358355978260869,0.08208492816325587,1.0,243,0,0,37,91,25,90,0.7448559670781894,,2559.0,122.0,0.5591711956521739,2.4933987928960026,2.019147284578535,5.619576600001892,0.16059219999806373,5.780168799999956,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,42,fold_3,,,2024,2821,244,36.15451587926878,27.8431069713489,1.4848050290491965,0.8206484185276812,0.5491803278688525,0.5499159663865547,0.09996643190149428,1.0,244,0,0,65,60,50,69,0.5286885245901639,,2802.0,122.0,0.5310252100840337,1.9054665853179857,1.4674269223381067,6.271776800000225,0.18531869999787887,6.457095499998104,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,123,fold_3,,,2024,2821,244,37.314749454850656,28.736676576530808,1.536296849948104,0.8089525834505954,0.5286885245901639,0.5321344537815127,0.06689994640165271,1.0,244,0,0,49,76,39,80,0.639344262295082,,2802.0,122.0,0.5345882352941177,1.9666148611465928,1.514521095304373,5.824583800000255,0.16616930000236607,5.990753100002621,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,456,fold_3,,,2024,2821,244,44.556589791225946,36.157363292188855,1.9248201128093632,0.7276019480271066,0.4959016393442623,0.5027563025210084,0.006637609288060954,1.0,244,0,0,28,97,26,93,0.7786885245901639,,2802.0,122.0,0.49774789915966383,2.348284603959649,1.905616653713091,5.846874899998511,0.1606778999994276,6.007552799997939,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,789,fold_3,,,2024,2821,244,41.01303265204534,31.57086460851004,1.6896521272966585,0.7692063386421033,0.5450819672131147,0.5495462184873949,0.10621054832838242,1.0,244,0,0,46,79,32,87,0.680327868852459,,2802.0,122.0,0.5189915966386555,2.161527028656439,1.6638924935960377,6.321299799998087,0.16807930000140914,6.489379099999496,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,2025,fold_3,,,2024,2821,244,46.37481067238576,36.802824243390084,1.9782667067581388,0.7049168515662029,0.5327868852459017,0.5403697478991597,0.10233695207918647,1.0,244,0,0,29,96,18,101,0.8073770491803278,,2802.0,122.0,0.5366050420168068,2.444111060199492,1.939634652425853,6.118354800000816,0.17644160000054399,6.29479640000136,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,42,fold_4,,,2025,3065,234,43.53908805380331,34.685027305496554,2.0569789695340552,0.8438409752182499,0.5170940170940171,0.517094017094017,0.03418928299756789,1.0,234,0,0,60,57,56,61,0.5042735042735043,,3046.0,122.0,0.5362699978084594,2.537022199991911,2.0210961739168423,6.318071100002271,0.1757023999998637,6.493773500002135,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,123,fold_4,,,2025,3065,234,56.9952709238855,44.70180658502005,2.6944575165255604,0.7324000201892269,0.5384615384615384,0.5384615384615384,0.08508379891382593,1.0,234,0,0,38,79,29,88,0.7136752136752137,,3046.0,122.0,0.5570896340127109,3.3211138333849357,2.6047737964974145,6.168571499998507,0.1540331000032893,6.322604600001796,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,456,fold_4,,,2025,3065,234,65.30830997877106,51.31592771685844,3.0777453170721585,0.6486456600233342,0.5683760683760684,0.5683760683760684,0.1549387023967062,1.0,234,0,0,39,78,23,94,0.7350427350427351,,3046.0,122.0,0.5727226240046753,3.805514531111588,2.9901785648327905,6.497380600001634,0.15569069999764906,6.653071299999283,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,789,fold_4,,,2025,3065,234,38.031332287805085,31.20911630631608,1.8483140014327764,0.8808506957478194,0.5299145299145299,0.5299145299145299,0.059969411162936706,1.0,234,0,0,66,51,59,58,0.4658119658119658,,3046.0,122.0,0.5546058879392212,2.2160853298120973,1.8185548767904642,6.9021193999979005,0.16567339999892283,7.067792799996823,12017.0
set100-same-exchange-robustness-v1,SET100,,cnn,,20,2025,fold_4,,,2025,3065,234,78.12142420246681,62.47278254171968,3.790977234263303,0.49725387042256863,0.5427350427350427,0.5427350427350427,0.10936965981495178,1.0,234,0,0,27,90,17,100,0.811965811965812,,3046.0,122.0,0.5747680619475491,4.552134561287176,3.6402883773713945,6.55057830000078,0.16043979999813018,6.71101809999891,12017.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,42,fold_1,,,2022,2337,241,48.03822759438728,42.99186079051745,1.9346746566815516,0.19864659630467663,0.46473029045643155,0.49941168327796237,-0.006468909964453147,1.0,241,0,0,111,1,128,1,0.008298755186721992,,2333.0,122.0,0.5622923588039868,2.155988104544065,1.9295037535356485,5.4484599999996135,0.31112260000008973,5.759582599999703,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,123,fold_1,,,2022,2337,241,54.65477358724694,48.92612715766155,2.206867580827863,-0.03730467246419056,0.46473029045643155,0.5,0.0,1.0,241,0,0,112,0,129,0,0.0,,2333.0,122.0,0.5503183831672204,2.4529431582197105,2.195837636725241,5.1492130000006,0.30822579999949085,5.457438800000091,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,456,fold_1,,,2022,2337,241,72.37390972941164,67.78370932184083,3.0517907693922948,-0.8189225363126915,0.46473029045643155,0.5,0.0,1.0,241,0,0,112,0,129,0,0.0,,2333.0,122.0,0.5545404208194906,3.2481899576617317,3.042178662662325,5.545297799999389,0.3086820999997144,5.8539798999991035,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,789,fold_1,,,2022,2337,241,36.853370773768184,32.01119108083597,1.4408857639657335,0.5283665838515077,0.46887966804979253,0.5032876522702104,0.029578124518907404,1.0,241,0,0,111,1,127,2,0.012448132780082987,,2333.0,122.0,0.5631921373200443,1.6540041749974883,1.4366838794575578,5.387828700000682,0.37560519999897224,5.763433899999654,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,2025,fold_1,,,2022,2337,241,39.83104784479206,34.6529752569749,1.5612447047575202,0.4490735817082938,0.4605809128630705,0.4955357142857143,-0.06927558836168152,1.0,241,0,0,111,1,129,0,0.004149377593360996,,2333.0,122.0,0.5414590254706534,1.7876443333835812,1.5552489378235694,5.26510000000053,0.31291029999920283,5.5780102999997325,9041.0
set100-same-exchange-robustness-v1,SET100,,lstm,,5,42,fold_2,,,2023,2578,243,45.37863025352482,37.390915332250025,1.8223008741990971,0.8268949897511619,0.4897119341563786,0.5103260869565218,0.03229396966419525,1.0,243,0,0,16,112,12,103,0.8847736625514403,,2574.0,122.0,0.5338315217391305,2.1835941809394486,1.7992298287399016,5.643145500001992,0.3142122000026575,5.95735770000465,9041.0
