protocol_id,market,model,fold,test_year,sequence_window,seeds_averaged,n_test,first_date,last_date,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,roc_auc,nrmse_percent,nmae_percent
set100-same-exchange-robustness-v1,SET50,lstm_attention,fold_1,2022,10,5,241,2022-01-04,2022-12-30,19.222542051699886,14.803504870758983,1.499292804400888,0.25404836953780263,0.4791666666666667,0.5035837256693134,0.007978768612179261,1.0,240,1,0,78,29,96,37,0.275,0.4970135619422388,1.9535969526951562,1.504487904198144
set100-same-exchange-robustness-v1,SET100,lstm_attention,fold_1,2022,10,5,241,2022-01-04,2022-12-30,82.09638982359056,74.8559071735348,3.3441975940030435,-1.3404439994653168,0.4730290456431535,0.5071636212624585,0.05593225259580312,1.0,241,0,0,111,1,126,3,0.016597510373443983,0.5319767441860466,3.684541431881512,3.3595836795579896
set100-same-exchange-robustness-v1,SET50,lstm_attention,fold_2,2023,10,5,243,2023-01-03,2023-12-28,29.861800560876013,24.404498562958047,2.68383634916609,0.5495757720646751,0.5413223140495868,0.5587308114035088,0.14590719639533886,1.0,242,1,0,33,95,16,98,0.7975206611570248,0.5877878289473685,3.202405132791488,2.617159380657476
set100-same-exchange-robustness-v1,SET100,lstm_attention,fold_2,2023,10,5,243,2023-01-03,2023-12-28,83.67808470603428,70.68903300396545,3.4858740166976974,0.4113863421143654,0.5102880658436214,0.5325067934782608,0.11552391496419849,1.0,243,0,0,15,113,6,109,0.9135802469135802,0.5799592391304348,4.026542401465763,3.401516534574242
set100-same-exchange-robustness-v1,SET50,lstm_attention,fold_3,2024,10,5,244,2024-01-02,2024-12-30,39.6232800119894,35.435487271682206,4.175022754453817,0.19039854688667956,0.4918032786885246,0.5118110236220472,0.10708858410046974,1.0,244,0,0,3,124,0,117,0.9877049180327869,0.5529981829194428,4.577888095395338,4.094050146441228
set100-same-exchange-robustness-v1,SET100,lstm_attention,fold_3,2024,10,5,244,2024-01-02,2024-12-30,104.9120948522363,98.72700855844525,5.261332897373423,-0.5101887382593717,0.48770491803278687,0.5,0.0,1.0,244,0,0,0,125,0,119,1.0,0.5518655462184874,5.529226053093825,5.203250860963401
set100-same-exchange-robustness-v1,SET50,lstm_attention,fold_4,2025,10,5,234,2025-01-02,2025-12-18,57.00916008203843,48.13348904787583,6.284480975046565,-0.25460782867693466,0.5085470085470085,0.5208333333333334,0.14402207496978586,1.0,234,0,0,5,115,0,114,0.9786324786324786,0.5711988304093567,7.131820369659013,6.021477902154798
set100-same-exchange-robustness-v1,SET100,lstm_attention,fold_4,2025,10,5,234,2025-01-02,2025-12-18,149.2130004418839,129.48268452864153,7.8539203203648,-0.8340947107691514,0.5170940170940171,0.5170940170940171,0.1318760946791574,1.0,234,0,0,4,113,0,117,0.9829059829059829,0.5619840748045876,8.694639956185162,7.544954656784937
set100-same-exchange-robustness-v1,SET50,lstm_cnn_attention,fold_1,2022,20,5,241,2022-01-04,2022-12-30,31.375187921318354,24.121148632682708,2.447674349786713,-0.9872920704092729,0.45,0.46265195699529194,-0.07652471570400234,1.0,240,1,0,62,45,87,46,0.37916666666666665,0.47628416836483733,3.1886766770217583,2.451444888900565
set100-same-exchange-robustness-v1,SET100,lstm_cnn_attention,fold_1,2022,20,5,241,2022-01-04,2022-12-30,117.96260968282122,99.31514147289275,4.443957641931258,-3.8321329942432456,0.4730290456431535,0.5059869878183831,0.03333644483550541,1.0,241,0,0,109,3,124,5,0.03319502074688797,0.500968992248062,5.294241607008253,4.457330637271169
set100-same-exchange-robustness-v1,SET50,lstm_cnn_attention,fold_2,2023,20,5,243,2023-01-03,2023-12-28,28.830151407455833,23.0743408571683,2.4998070668751553,0.5801601985573946,0.49173553719008267,0.5008223684210527,0.00172948270295839,1.0,242,1,0,44,84,39,75,0.6570247933884298,0.5476973684210527,3.0917701917597924,2.474512126157218
set100-same-exchange-robustness-v1,SET100,lstm_cnn_attention,fold_2,2023,20,5,243,2023-01-03,2023-12-28,73.90824171104192,57.02820139814058,2.780115165001411,0.5408097969748636,0.4567901234567901,0.4675951086956522,-0.07086473481734243,1.0,243,0,0,34,94,38,77,0.7037037037037037,0.526358695652174,3.5564230480747407,2.7441649963145376
set100-same-exchange-robustness-v1,SET50,lstm_cnn_attention,fold_3,2024,20,5,244,2024-01-02,2024-12-30,35.81752459274996,28.757085257635772,3.4020776188021484,0.33845168532522263,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574,0.54633555420957,4.138188948266408,3.322458873151472
set100-same-exchange-robustness-v1,SET100,lstm_cnn_attention,fold_3,2024,20,5,244,2024-01-02,2024-12-30,79.79676701498121,66.6548418800771,3.565256453967213,0.12632340459885805,0.4918032786885246,0.5019831932773109,0.007069056381864446,1.0,244,0,0,11,114,10,109,0.9139344262295082,0.5376134453781513,4.205562416357442,3.5129380345255368
set100-same-exchange-robustness-v1,SET50,lstm_cnn_attention,fold_4,2025,20,5,234,2025-01-02,2025-12-18,89.51949597934073,69.15870497155396,9.099795852559536,-2.0935273834038046,0.5384615384615384,0.5478070175438596,0.13909580152198056,1.0,234,0,0,22,98,10,104,0.8632478632478633,0.5883771929824562,11.198848816371514,8.651722988824826
set100-same-exchange-robustness-v1,SET100,lstm_cnn_attention,fold_4,2025,20,5,234,2025-01-02,2025-12-18,199.39810777667782,160.69806548702476,9.838240173413757,-2.2752955632346525,0.5256410256410257,0.5256410256410257,0.0878561118986134,1.0,234,0,0,14,103,8,109,0.905982905982906,0.5674629264372855,11.618925629325876,9.363874574785038
