model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp
lstm_attention,123,fold_2,2023,20,65.35307613958203,55.820407213733034,5.838414751894326,-1.1573560674699443,0.5596707818930041,9.377527900000132,32.06386730760746,27.085959576167173,2.967389700935342,0.48069612082624125,0.49794238683127573,9.541727300000275,-33.28920883197457,-28.73444763756586,-2.8710250509589836,1.6380521882961856,0.16419940000014321,-6.172839506172839
lstm_attention,123,fold_3,2024,20,63.45586051759133,55.58386459213786,6.600344802140308,-1.0764138053510073,0.5409836065573771,11.634767400000783,47.508043475219246,39.865716426611904,4.748377455055292,-0.16387066572714115,0.5327868852459017,11.52929740000036,-15.947817042372087,-15.718148165525953,-1.851967347085016,0.9125431396238661,-0.10547000000042317,-0.8196721311475419
lstm_attention,123,fold_4,2025,20,130.0272538275568,119.67442733418734,15.4470074340748,-5.526607395616958,0.48717948717948717,12.736940000000686,129.78243784309618,119.41897331818554,15.414706650456294,-5.502053871983373,0.48717948717948717,12.566183200000523,-0.24481598446061525,-0.2554540160018064,-0.0323007836185063,0.024553523633585428,-0.1707568000001629,0.0
lstm_attention,456,fold_1,2022,20,31.811063051973765,25.59562259323369,2.604197459142383,-1.0428919315530982,0.47717842323651455,9.128287499999715,44.3765093801612,32.832603768219116,3.332940912960313,-2.975532463952972,0.4605809128630705,9.639904800000295,12.565446328187438,7.236981174985427,0.72874345381793,-1.9326405323998737,0.5116173000005801,-1.6597510373444035
lstm_attention,456,fold_2,2023,20,33.84545732350313,28.922213212109376,3.15014440411958,0.42138387163553137,0.49794238683127573,9.366490099999282,26.996070006446914,22.637695310302213,2.4467297315035124,0.6318787797327678,0.49794238683127573,9.542536499999187,-6.84938731705622,-6.284517901807163,-0.7034146726160677,0.21049490809723648,0.17604639999990468,0.0
lstm_attention,456,fold_3,2024,20,23.43766096444439,18.70233206125557,2.152961267798103,0.7167310535420852,0.5573770491803278,11.19857630000115,27.244956342009356,21.90739041952324,2.570375243712518,0.6172257938050754,0.5081967213114754,11.692725499999142,3.807295377564966,3.2050583582676673,0.41741397591441487,-0.09950525973700985,0.4941491999979917,-4.91803278688524
lstm_attention,456,fold_4,2025,20,61.083038424584984,47.47168833631734,6.2429397280698575,-0.440323251539406,0.5213675213675214,12.72472310000012,48.364414857878934,39.75295342532488,5.1724754393347085,0.0970356929256555,0.5170940170940171,12.58364040000015,-12.71862356670605,-7.71873491099246,-1.070464288735149,0.5373589444650615,-0.14108269999996992,-0.42735042735042583
lstm_attention,789,fold_1,2022,20,35.14120110955922,29.973323372181994,3.0534153346090775,-1.4929997274897597,0.4854771784232365,8.433839099999204,31.712513338397244,24.466205210280123,2.485370384599145,-1.0302539029015825,0.4854771784232365,8.408877599999869,-3.428687771161975,-5.507118161901872,-0.5680449500099325,0.46274582458817726,-0.0249614999993355,0.0
lstm_attention,789,fold_2,2023,20,23.94803209636318,19.23396181565743,2.0805330743597668,0.710312720883727,0.48148148148148145,9.898246600001585,26.202986594121374,21.588575487475325,2.346262868116128,0.6531902081164713,0.48148148148148145,9.365732799999023,2.2549544977581952,2.3546136718178943,0.2657297937563614,-0.05712251276725566,-0.5325138000025618,0.0
lstm_attention,789,fold_3,2024,20,22.835004117314526,18.591604762287407,2.1997201040640255,0.7311112573266566,0.5409836065573771,12.531333200000518,21.051920522378055,16.35640123477235,1.9292999058966163,0.7714643927710761,0.5245901639344263,11.216200199998639,-1.7830835949364712,-2.2352035275150577,-0.27042019816740925,0.04035313544441954,-1.3151330000018788,-1.6393442622950838
lstm_attention,789,fold_4,2025,20,29.746406549896783,23.528072649990634,3.031531865755981,0.6584237026689878,0.5256410256410257,12.879361499999504,30.33568113988335,24.231772769279456,3.1101059167145175,0.6447564432708245,0.5213675213675214,12.519405600000027,0.5892745899865659,0.7037001192888219,0.07857405095853665,-0.013667259398163267,-0.35995589999947697,-0.42735042735042583
lstm_attention,2025,fold_1,2022,20,30.80737389982259,25.862133158781717,2.630659972446718,-0.9160127170329508,0.45643153526970953,9.337883199999851,33.61026448128812,27.511865821107303,2.795833634683068,-1.2805147639763592,0.4605809128630705,8.559319199999663,2.8028905814655296,1.6497326623255866,0.16517366223635,-0.3645020469434084,-0.7785640000001877,0.4149377593360981
lstm_attention,2025,fold_2,2023,20,29.002687834319087,23.697581730227395,2.576860393689098,0.5751200298290389,0.4691358024691358,9.517125500000475,31.851520084185367,26.24724912892152,2.849065289356657,0.48755166247824444,0.5020576131687243,9.450718500000221,2.8488322498662804,2.549667398694126,0.2722048956675587,-0.08756836735079443,-0.0664070000002539,3.292181069958855
lstm_attention,2025,fold_3,2024,20,26.225810157175875,21.313477622964335,2.4976557033386637,0.6453268940780451,0.5614754098360656,13.541364499998963,34.20762368211638,26.290846331886566,3.1239055308912174,0.3965848030339696,0.5409836065573771,11.661363800001709,7.9818135249405024,4.977368708922231,0.6262498275525537,-0.24874209104407552,-1.8800006999972538,-2.049180327868849
lstm_attention,2025,fold_4,2025,20,29.675307827686765,22.256211092074707,2.902695338559619,0.6600545964668864,0.5042735042735043,13.37894039999992,29.965193038246422,23.65206237503988,3.0484166787045233,0.6533805988224284,0.5427350427350427,13.256340099998852,0.28988521055965677,1.3958512829651717,0.14572134014490423,-0.006673997644457974,-0.12260030000106781,3.8461538461538436
lstm_cnn,42,fold_1,2022,20,21.927255267410338,17.10991818164888,1.7410817209987606,0.029361366351810636,0.5020746887966805,7.598579999999856,22.192723635890072,17.79664318179688,1.812956770161372,0.005716486851944147,0.48132780082987553,8.004047999999784,0.2654683684797341,0.6867250001480016,0.07187504916261145,-0.02364487949986649,0.405467999999928,-2.074688796680496
lstm_cnn,42,fold_2,2023,20,20.982796478970805,16.87980064960665,1.8091913058272884,0.7776093633639993,0.5349794238683128,7.97807290000037,18.673126536665237,14.939516392529256,1.6111137019819552,0.8238738499437154,0.5185185185185185,8.73151709999911,-2.309669942305568,-1.9402842570773942,-0.19807760384533313,0.046264486579716046,0.7534441999987394,-1.6460905349794275
lstm_cnn,42,fold_3,2024,20,23.996382497092757,20.51038178584614,2.4178799960316084,0.7030645950052004,0.5204918032786885,8.998634699999457,18.260841022116495,14.424129847185533,1.6718966426872053,0.8280461187324442,0.5491803278688525,9.122657799998706,-5.735541474976262,-6.086251938660606,-0.7459833533444031,0.1249815237272438,0.1240230999992491,2.868852459016402
lstm_cnn,42,fold_4,2025,20,33.405094472163206,25.736341549188666,3.3688616058999035,0.5692313227507197,0.5256410256410257,10.07859869999993,27.990891018419855,21.669779151270532,2.8165444236948183,0.6975509987525454,0.5128205128205128,9.93822849999924,-5.414203453743351,-4.066562397918133,-0.5523171822050852,0.1283196760018257,-0.14037020000068878,-1.2820512820512886
