stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_3,2019,2023,2024,1212,244,18.002963754255934,14.767985895539878,1.7286197098502838,0.8328684479966095,0.47950819672131145,4.19639559999996,2019
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_4,2019,2024,2025,1456,234,15.528084381190183,12.183257216325941,1.5498999030160312,0.9069204076038504,0.5341880341880342,4.596166799999992,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_1,2019,2021,2022,728,241,24.204725422469593,19.335021777761455,1.9736916746787958,-0.1827401748778863,0.5145228215767634,4.823506400000042,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_2,2019,2022,2023,969,243,17.196820557885427,12.926616812978766,1.381764100441414,0.8506221924931262,0.522633744855967,5.1285899000004065,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_3,2019,2023,2024,1212,244,14.01450996892261,11.042608569401208,1.2923146803459682,0.8987193999902625,0.47540983606557374,7.273729000000458,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_4,2019,2024,2025,1456,234,16.387551693435285,12.93874087586456,1.647247154904552,0.8963314898195982,0.5128205128205128,5.991090999999869,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_1,2019,2021,2022,728,241,29.992892342897274,26.37485770659826,2.6874219664495587,-0.8160413193600706,0.44398340248962653,4.646916000000601,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_2,2019,2022,2023,969,243,11.01551479772988,8.893979214184556,0.9538868058289534,0.9387086258877325,0.5390946502057613,5.153325600000244,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_3,2019,2023,2024,1212,244,15.579747047189864,13.141155313600267,1.5330421046327944,0.87483259850806,0.47540983606557374,6.6548676999991585,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_4,2019,2024,2025,1456,234,14.628195539957032,11.711621345188625,1.5005563417436592,0.9173961627873928,0.49145299145299143,6.504575200000545,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_1,2019,2021,2022,728,241,13.900996721425951,11.036405221243607,1.1237680056191037,0.6098955449345385,0.5103734439834025,4.527558000000681,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_2,2019,2022,2023,969,243,16.78008900954786,13.679574444024189,1.4728411138754973,0.8577742338234859,0.51440329218107,5.164023399999678,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_3,2019,2023,2024,1212,244,10.895959006261712,8.664305204255664,1.0017918899895308,0.9387788683449403,0.5327868852459017,5.508507099999406,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_4,2019,2024,2025,1456,234,12.529633270829583,10.00477470405718,1.265616576304312,0.9393968179867136,0.46153846153846156,5.997742200001085,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_1,2019,2021,2022,728,241,14.62137873031585,11.325837057734939,1.156655975547774,0.5684156565920293,0.5062240663900415,4.613090199999533,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_2,2019,2022,2023,969,243,16.717091063522922,13.449150593290613,1.4412320122572686,0.8588401533044702,0.5349794238683128,5.147057000000132,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_3,2019,2023,2024,1212,244,18.70801646615041,15.407435568908186,1.8111950456663786,0.8195213146298296,0.4918032786885246,5.609973500000706,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_4,2019,2024,2025,1456,234,17.36164743160635,13.32710545147968,1.7151545291104273,0.8836408411065847,0.452991452991453,5.891381299999921,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_1,2019,2021,2022,728,241,34.24102462137252,30.675265339227177,3.129713184630319,-1.366914292468096,0.44398340248962653,4.6318671999997605,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_2,2019,2022,2023,969,243,14.4006442117407,11.52628135689002,1.2339654057070875,0.8952501034034601,0.5432098765432098,5.61058950000006,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_3,2019,2023,2024,1212,244,19.44714788798307,16.07402759294528,1.8946584767885501,0.804978601883653,0.5245901639344263,5.570933200000582,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_4,2019,2024,2025,1456,234,18.496060905937103,14.110967426775735,1.836161475961077,0.867938203253344,0.5598290598290598,6.2404190999986895,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_1,2019,2021,2022,728,241,14.99049170674034,11.810898899116959,1.2003430092771201,0.5463501358001479,0.5228215767634855,4.561337899999671,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_2,2019,2022,2023,969,243,15.58940079672091,12.177139283428469,1.3012126641243127,0.8772423383909044,0.5637860082304527,5.166910599999937,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_3,2019,2023,2024,1212,244,14.47944116539783,11.674869803038764,1.3536700360540994,0.8918879672782378,0.5040983606557377,5.6214133000012225,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_4,2019,2024,2025,1456,234,15.916779858062855,12.755918422384177,1.614041408739917,0.902202190517813,0.5384615384615384,6.500602599999183,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_1,2019,2021,2022,728,241,16.789461645097557,13.630703524583573,1.3910367329146829,0.43093409035767916,0.5394190871369294,4.810059400000682,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_2,2019,2022,2023,969,243,16.401416513261154,13.386395419978326,1.4362097138436372,0.8641209578053881,0.5720164609053497,5.202099500000259,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_3,2019,2023,2024,1212,244,15.46593442599483,12.576572502404439,1.46760850585326,0.8766546559099806,0.5,5.580968000000212,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_4,2019,2024,2025,1456,234,16.229337729030068,12.878075756331288,1.651973170221515,0.8983235665487665,0.47435897435897434,6.411479100001088,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_1,2019,2021,2022,728,241,15.392217812732016,12.399850656837824,1.2631510459772712,0.5217098588534412,0.5435684647302904,5.636594900000091,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_2,2019,2022,2023,969,243,13.953518692536074,11.334189231224036,1.2163033599607154,0.9016538781810511,0.5390946502057613,5.065522799999599,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_3,2019,2023,2024,1212,244,10.545133429597708,8.495459058616984,0.9841175907621091,0.9426577683927445,0.5040983606557377,5.470230900000388,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_4,2019,2024,2025,1456,234,16.90388382897267,13.583903023527986,1.7429534949249974,0.8896958869563879,0.5042735042735043,5.911341099999845,2019
track_b_fusion,lstm,technical_vmd_news,5,789,fold_1,2019,2021,2022,728,241,19.842341887922853,16.739734478808014,1.7060806444837249,0.20516883926097906,0.5103734439834025,5.748500000000604,2019
track_b_fusion,lstm,technical_vmd_news,5,789,fold_2,2019,2022,2023,969,243,28.534676425301615,24.20034379886014,2.5887524372733854,0.5887218229543308,0.5432098765432098,5.090249400000175,2019
track_b_fusion,lstm,technical_vmd_news,5,789,fold_3,2019,2023,2024,1212,244,21.86971450622108,17.693616485727606,2.0723297980254483,0.7533638915730209,0.5081967213114754,5.447665499999857,2019
track_b_fusion,lstm,technical_vmd_news,5,789,fold_4,2019,2024,2025,1456,234,23.869334634763685,19.73726511194155,2.4715011047170816,0.7800624746734448,0.47863247863247865,5.848658599999908,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_1,2019,2021,2022,728,241,15.937243696267103,12.522771767387747,1.2774514028237391,0.4872384458188027,0.49377593360995853,4.998654400000305,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_2,2019,2022,2023,969,243,13.224867313188698,10.412291604045004,1.1223801831859697,0.911656946050872,0.5637860082304527,5.128437000000304,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_3,2019,2023,2024,1212,244,19.34269028884521,16.272326980882966,1.91435798474582,0.8070680348350101,0.5163934426229508,5.534454599999663,2019
track_b_fusion,lstm,technical_vmd_news,5,2025,fold_4,2019,2024,2025,1456,234,19.735110298138522,15.134231919346965,1.9696997290730454,0.8496519415963735,0.5512820512820513,6.099534199998743,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_1,2019,2021,2022,728,241,32.764982198896824,27.566385234688315,2.8061329039392637,-1.1672494476084632,0.4896265560165975,10.401524400000199,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_2,2019,2022,2023,969,243,33.05385106506197,27.683364570812902,3.016471611229008,0.4481336759110832,0.5061728395061729,9.468051599998944,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_3,2019,2023,2024,1212,244,31.740352500510962,26.506170725607475,3.103906646516427,0.48048998631469075,0.5450819672131147,11.160901100000046,2019
track_b_fusion,lstm_attention,technical_vmd,20,42,fold_4,2019,2024,2025,1456,234,33.97407340559707,27.705970496346804,3.5716601711170983,0.5544320444189408,0.5085470085470085,12.437171399998988,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_1,2019,2021,2022,728,241,138.43980765294324,136.63905630030578,13.842459246784811,-37.69109337691769,0.44398340248962653,9.94973470000059,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_2,2019,2022,2023,969,243,65.35307613958203,55.820407213733034,5.838414751894326,-1.1573560674699443,0.5596707818930041,9.377527900000132,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_3,2019,2023,2024,1212,244,63.45586051759133,55.58386459213786,6.600344802140308,-1.0764138053510073,0.5409836065573771,11.634767400000783,2019
track_b_fusion,lstm_attention,technical_vmd,20,123,fold_4,2019,2024,2025,1456,234,130.0272538275568,119.67442733418734,15.4470074340748,-5.526607395616958,0.48717948717948717,12.736940000000686,2019
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_1,2019,2021,2022,728,241,31.811063051973765,25.59562259323369,2.604197459142383,-1.0428919315530982,0.47717842323651455,9.128287499999715,2019
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_2,2019,2022,2023,969,243,33.84545732350313,28.922213212109376,3.15014440411958,0.42138387163553137,0.49794238683127573,9.366490099999282,2019
track_b_fusion,lstm_attention,technical_vmd,20,456,fold_3,2019,2023,2024,1212,244,23.43766096444439,18.70233206125557,2.152961267798103,0.7167310535420852,0.5573770491803278,11.19857630000115,2019
