model,sequence_window,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
lstm_attention,20,fold_2,2012,2022,2023,2600,243,26.097994297991114,21.02928299754736,2.2707861620206824,0.6559638924228512,0.5390946502057613,21.57132609997643
lstm_attention,20,fold_3,2012,2023,2024,2843,244,32.33786615918766,23.87615204437837,2.83380891528614,0.460746279227031,0.5368852459016393,23.304244700004347
lstm_attention,20,fold_4,2012,2024,2025,3087,234,29.17857921892309,23.078162484540908,2.976019448039076,0.6713398945060673,0.5085470085470085,24.28327050001826
lstm_cnn_attention,1,fold_1,2012,2021,2022,2359,241,9.340160837652352,7.50961170210383,0.7630649208278838,0.8238844359867882,0.5435684647302904,14.84440679999534
lstm_cnn_attention,1,fold_2,2012,2022,2023,2600,243,11.62503278670176,9.115666660222493,0.9804697441369722,0.93173813737596,0.51440329218107,13.808871799963526
lstm_cnn_attention,1,fold_3,2012,2023,2024,2843,244,13.126598210035292,10.531412939888552,1.2214102664452169,0.9111464434014844,0.4959016393442623,14.726345199975183
lstm_cnn_attention,1,fold_4,2012,2024,2025,3087,234,21.634010821526832,17.20840160688783,2.188442518436733,0.8193271924681866,0.5598290598290598,15.840609700011557
lstm_cnn_attention,3,fold_1,2012,2021,2022,2359,241,13.021364075444644,10.47162839149538,1.061121049525794,0.6577038676514763,0.4730290456431535,14.68851559999166
lstm_cnn_attention,3,fold_2,2012,2022,2023,2600,243,13.394424501799689,10.708987512510008,1.1560115091733012,0.9093771160421052,0.5637860082304527,15.958503799978644
lstm_cnn_attention,3,fold_3,2012,2023,2024,2843,244,19.910420646816533,16.656890117574935,1.931413524033098,0.7955762726161821,0.4836065573770491,16.647242100036237
lstm_cnn_attention,3,fold_4,2012,2024,2025,3087,234,29.03836334317681,22.034709474403645,2.859709445544913,0.6744910170317115,0.5470085470085471,17.809291299956385
lstm_cnn_attention,5,fold_1,2012,2021,2022,2359,241,17.524772422743297,14.00779723632384,1.4195158065487117,0.3799969840745635,0.4896265560165975,16.892918500001542
lstm_cnn_attention,5,fold_2,2012,2022,2023,2600,243,24.534802974652543,19.98417691454477,2.177644478682601,0.6959430665665339,0.5267489711934157,17.375161800009664
lstm_cnn_attention,5,fold_3,2012,2023,2024,2843,244,21.167370983869503,17.70073330787364,2.060198421141868,0.7689509034398114,0.5122950819672131,16.811063000001013
lstm_cnn_attention,5,fold_4,2012,2024,2025,3087,234,50.69550251490104,37.42828467966147,4.946754623145851,0.0078951501360067,0.5512820512820513,17.55093810003018
lstm_cnn_attention,10,fold_1,2012,2021,2022,2359,241,20.57521778487192,15.83428512383298,1.606896739180565,0.1453704404681459,0.4605809128630705,18.97194069996476
lstm_cnn_attention,10,fold_2,2012,2022,2023,2600,243,29.725048421145456,23.652986420388107,2.5767112466495736,0.5536917620749513,0.5390946502057613,20.704683999996632
lstm_cnn_attention,10,fold_3,2012,2023,2024,2843,244,26.67911446927869,22.1533100548338,2.5884159437585423,0.6329601212743348,0.4836065573770491,19.452963899995662
lstm_cnn_attention,10,fold_4,2012,2024,2025,3087,234,56.47573298748559,41.41043597393568,5.462237897553695,-0.2312392751042133,0.5384615384615384,23.11162250000052
lstm_cnn_attention,20,fold_1,2012,2021,2022,2359,241,29.761908460927383,23.307791418099303,2.370895089052504,-0.7881773164270542,0.4771784232365145,21.214379799959715
lstm_cnn_attention,20,fold_2,2012,2022,2023,2600,243,29.88451199602944,23.92558599562312,2.594117260793792,0.5488903699396037,0.4938271604938271,23.72498299996369
lstm_cnn_attention,20,fold_3,2012,2023,2024,2843,244,38.98619298641359,32.3938635224202,3.833910398743149,0.2162237697068215,0.5327868852459017,28.40273710002657
lstm_cnn_attention,20,fold_4,2012,2024,2025,3087,234,65.07600500267756,50.29705119289906,6.609474863089691,-0.634784366058011,0.5299145299145299,30.868423599982638
