worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
debate_leader,3.2648521999944933,0.0334610999998403,50,211,240,9,0.7484538555145264,leader_fit,oof_to_inner_validation,pit_tldn,0.0
cnn_trend,3.542681600010837,0.19777410000097,9993,237,1,122,0.6547510623931885,shap_mask_fit,crossfit_1,,1.4521316000027582
lstm_price,3.750300700005028,0.0594041000003926,9050,237,1,122,0.6121585965156555,shap_mask_fit,crossfit_1,,0.9590592000022298
cnn_trend,3.253455500002019,0.3060505000030389,2633,237,71,30,0.6684386730194092,worker_fit,crossfit_1,shap,
lstm_price,3.990633499997784,0.0509835000120801,3162,237,71,30,0.735569953918457,worker_fit,crossfit_1,shap,
cnn_trend,3.472860599998967,0.3035493000061251,9993,237,71,122,0.6473164558410645,worker_fit,crossfit_1,all_features,
lstm_price,3.8106413000059542,0.0499895999964792,9050,237,71,122,0.6020252704620361,worker_fit,crossfit_1,all_features,
cnn_trend,3.4486567999992985,0.1739121999999042,9993,308,1,122,0.66325843334198,shap_mask_fit,crossfit_2,,1.1890295000048354
lstm_price,4.006640599996899,0.0562056999915512,9050,308,1,122,0.6763708591461182,shap_mask_fit,crossfit_2,,0.9437673000065844
cnn_trend,3.338536199997179,0.3187127000128384,2633,308,70,30,0.6565069556236267,worker_fit,crossfit_2,shap,
lstm_price,3.9497598000016296,0.0529838999937055,3162,308,70,30,0.6971608400344849,worker_fit,crossfit_2,shap,
cnn_trend,3.538287500006845,0.2722939999948721,9993,308,70,122,0.6475574970245361,worker_fit,crossfit_2,all_features,
lstm_price,4.1284439000010025,0.04818250000244,9050,308,70,122,0.6818108558654785,worker_fit,crossfit_2,all_features,
cnn_trend,3.786909700007527,0.2073099999979604,9993,378,1,122,0.6571282148361206,shap_mask_fit,crossfit_3,,1.3816882999963127
lstm_price,4.13417489999847,0.0541859999939333,9050,378,1,122,0.5984276533126831,shap_mask_fit,crossfit_3,,0.9564895999938016
cnn_trend,3.556504699998186,0.3420822000043699,2633,378,70,30,0.6548123359680176,worker_fit,crossfit_3,shap,
lstm_price,3.9684883000009,0.0467662999872118,3162,378,70,30,0.702663779258728,worker_fit,crossfit_3,shap,
cnn_trend,3.758922299995902,0.2944278000068152,9993,378,70,122,0.6630019545555115,worker_fit,crossfit_3,all_features,
lstm_price,4.340716699996847,0.054865999991307,9050,378,70,122,0.6444268226623535,worker_fit,crossfit_3,all_features,
cnn_trend,4.050378899992211,0.1981563000008463,9993,468,1,122,0.6716222763061523,shap_mask_fit,final_train,,1.3493648000003304
