model,seed,fold,test_year,sequence_window,rmse_technical,mae_technical,mape_technical,r2_technical,direction_accuracy_technical,balanced_accuracy_technical,mcc_technical,direction_coverage_technical,runtime_seconds_technical,rmse_news,mae_news,mape_news,r2_news,direction_accuracy_news,balanced_accuracy_news,mcc_news,direction_coverage_news,runtime_seconds_news,rmse_delta_news_minus_technical,mae_delta_news_minus_technical,mape_delta_news_minus_technical,r2_delta_news_minus_technical,mcc_delta_news_minus_technical,direction_coverage_delta_news_minus_technical,runtime_seconds_delta_news_minus_technical,direction_accuracy_delta_pp,balanced_accuracy_delta_pp
lstm,123,fold_3,2024,5,15.534701033074043,13.102393049194657,1.5284767885855486,0.8755553498424749,0.4672131147540984,0.484487515983579,-0.05784130389109728,1.0,5.05185089999577,15.664710888159567,12.654815954776073,1.4769551055366765,0.8734636800995724,0.5,0.5143010969782623,0.03983897021333951,1.0,4.896038200000476,0.13000985508552354,-0.44757709441858395,-0.05152168304887206,-0.0020916697429024245,0.09768027410443679,0.0,-0.15581269999529468,3.2786885245901622,2.981358099468334
lstm,123,fold_4,2025,5,14.433829487176462,11.528664823481414,1.47678967422826,0.919576707495362,0.49572649572649574,0.49890350877192985,-0.002262874362432296,1.0,5.301183100003982,17.850274009889787,14.04192615304174,1.8065605942534178,0.8769990453171105,0.47435897435897434,0.4800438596491228,-0.04453993340830444,1.0,5.245892599996296,3.4164445227133253,2.5132613295603257,0.32977092002515773,-0.04257766217825154,-0.042277059045872145,0.0,-0.055290500007686205,-2.1367521367521403,-1.8859649122807076
lstm,456,fold_1,2022,5,13.908342509658562,11.041324081351641,1.1242601467062325,0.6094831454609326,0.5125,0.4980324643384161,-0.0040588891212288,1.0,4.219502300002205,15.392324870647068,12.398447355660146,1.2630181605267097,0.5217032055012087,0.5458333333333333,0.5253671562082777,0.05460715923922911,1.0,4.127016999998887,1.4839823609885059,1.3571232743085044,0.13875801382047714,-0.08777993995972388,0.05866604836045791,0.0,-0.09248530000331812,3.3333333333333326,2.7334691869861594
lstm,456,fold_2,2023,5,16.729288033121033,13.665369184301737,1.470541343198208,0.8586340946731379,0.5206611570247934,0.4950657894736842,-0.02109957172992824,1.0,4.5552542000004905,13.947856126928462,11.338781035505711,1.2165117303694561,0.9017336829072309,0.5454545454545454,0.528577302631579,0.07046492980367498,1.0,4.427223399994546,-2.781431906192571,-2.3265881487960254,-0.2540296128287518,0.04309958823409299,0.09156450153360322,0.0,-0.1280308000059449,2.4793388429751984,3.35115131578948
lstm,456,fold_3,2024,5,10.889637519130233,8.660824204407271,1.0012963543186755,0.9388498848255826,0.5286885245901639,0.5236893465239922,0.048838482385137896,1.0,4.839416499999061,10.538043612739918,8.493452459361222,0.9838051658364975,0.9427348483569529,0.5040983606557377,0.5004037956793862,0.0008203613831580878,1.0,4.887860399998317,-0.35159390639031507,-0.16737174504604901,-0.01749118848217801,0.0038849635313702446,-0.04801812100197981,0.0,0.048443899999256246,-2.4590163934426257,-2.328555084460604
lstm,456,fold_4,2025,5,12.684041842248963,10.130766491634594,1.2817964342636232,0.9378939312025295,0.44871794871794873,0.44956140350877194,-0.10108059326648125,1.0,5.358215300002485,16.888728682495415,13.574622785382802,1.7416302411692306,0.8898935842002321,0.5042735042735043,0.5067982456140351,0.01386251250385488,1.0,5.350890299996536,4.204686840246453,3.4438562937482082,0.4598338069056074,-0.04800034700229738,0.11494310577033613,0.0,-0.007325000005948823,5.555555555555553,5.723684210526314
lstm,789,fold_1,2022,5,15.20442487369992,11.819140033593332,1.2071945002694546,0.5333094334419314,0.5166666666666667,0.5365048134354578,0.07774253063252044,1.0,4.561655000004976,19.354039858821437,16.210078117065876,1.6533164586826428,0.24380763088370971,0.5083333333333333,0.4750895931417328,-0.06240234962198528,1.0,4.235102699996787,4.1496149851215165,4.390938083472545,0.44612195841318814,-0.28950180255822167,-0.14014488025450572,0.0,-0.32655230000818847,-0.8333333333333415,-6.141522029372492
lstm,789,fold_2,2023,5,17.248973331650863,13.852715256366235,1.4839934725584816,0.8497147828887248,0.5578512396694215,0.5407757675438596,0.10130079563036945,1.0,4.534247099996719,24.136238232683475,19.708972335543667,2.088262052601443,0.7057415593248789,0.5371900826446281,0.5193256578947368,0.04917164550352477,1.0,4.561260599999514,6.887264901032612,5.856257079177432,0.6042685800429615,-0.1439732235638459,-0.05212915012684468,0.0,0.0270135000027949,-2.066115702479343,-2.145010964912275
lstm,789,fold_3,2024,5,18.846360557614577,15.472264836826275,1.8191921059543699,0.8168421980656266,0.5081967213114754,0.5201561343293627,0.04952999549547755,1.0,4.807943700005126,21.559253063243222,17.436355531328026,2.047322089804162,0.7603166575006199,0.48770491803278687,0.4974426273638872,-0.005808882093047912,1.0,4.9648832000020775,2.712892505628645,1.9640906945017509,0.22812998384979233,-0.05652554056500669,-0.05533887758852546,0.0,0.15693949999695178,-2.0491803278688545,-2.271350696547547
lstm,789,fold_4,2025,5,17.289665320838683,13.247647154855928,1.7061515843597779,0.8846037007356508,0.45726495726495725,0.45789473684210524,-0.08429375202509805,1.0,5.385031199999503,23.96421943647636,20.079924845337604,2.530551968866007,0.778310418553566,0.4829059829059829,0.4932017543859649,-0.022827836317663216,1.0,5.34863580000092,6.674554115637676,6.832277690481677,0.8244003845062291,-0.10629328218208478,0.06146591570743483,0.0,-0.036395399998582434,2.564102564102566,3.5307017543859676
