stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd,20,456,fold_3,2019,2023,2024,1211,244,44.22593893889848,40.25649493034743,4.725805043832889,-0.008612986871374906,0.47950819672131145,0.4989905108015344,-0.006512719289250108,1.0,244,0,0,3,124,3,114,0.9754098360655737,3.8433444000038435,2019
track_b_fusion,cnn,technical_vmd,20,456,fold_4,2019,2024,2025,1455,234,20.79927570129616,16.34504472398605,2.0991119980114634,0.8330005151830188,0.5085470085470085,0.5100877192982456,0.020314763615140063,1.0,234,0,0,54,66,49,65,0.5598290598290598,4.228689500007022,2019
track_b_fusion,cnn,technical_vmd,20,789,fold_1,2019,2021,2022,727,241,32.49603304139665,27.395389839118902,2.791536875166095,-1.1318160300543871,0.5041666666666667,0.46219520764528144,-0.11707053845848076,1.0,240,1,0,8,99,20,113,0.8833333333333333,3.3087631999951554,2019
track_b_fusion,cnn,technical_vmd,20,789,fold_2,2019,2022,2023,968,243,22.775775087977294,19.178827814619222,2.0618458098439842,0.7379790043600083,0.5289256198347108,0.5422149122807017,0.09462916232627815,1.0,242,1,0,40,88,26,88,0.7272727272727273,3.5313176000054227,2019
track_b_fusion,cnn,technical_vmd,20,789,fold_3,2019,2023,2024,1211,244,29.127237375792653,25.329992590580787,2.977550475690483,0.5625091017595436,0.5,0.5180025573726361,0.07488513550283665,1.0,244,0,0,10,117,5,112,0.9385245901639344,3.969977299995662,2019
track_b_fusion,cnn,technical_vmd,20,789,fold_4,2019,2024,2025,1455,234,50.993127132116484,40.09109083587287,5.240078083749502,-0.0037879998661460856,0.5256410256410257,0.5350877192982456,0.10346639521718676,1.0,234,0,0,20,100,11,103,0.8675213675213675,4.189965099998517,2019
track_b_fusion,cnn,technical_vmd,20,2025,fold_1,2019,2021,2022,727,241,28.07476638292769,22.428613392876382,2.2826945592768455,-0.5911873973662161,0.5,0.49314875974984185,-0.013729520448667598,1.0,240,1,0,46,61,59,74,0.5625,3.2647626000034506,2019
track_b_fusion,cnn,technical_vmd,20,2025,fold_2,2019,2022,2023,968,243,20.93094089882357,17.314398660870744,1.855801762122446,0.778707209927754,0.5495867768595041,0.5463952850877193,0.09326151814218503,1.0,242,1,0,77,51,58,56,0.44214876033057854,3.562401100003626,2019
track_b_fusion,cnn,technical_vmd,20,2025,fold_3,2019,2023,2024,1211,244,31.982676834884586,26.95793077181595,3.1929272997138316,0.47252722177151163,0.5122950819672131,0.5274581061982637,0.08127415217550073,1.0,244,0,0,20,107,12,105,0.8688524590163934,3.8512341999958153,2019
track_b_fusion,cnn,technical_vmd,20,2025,fold_4,2019,2024,2025,1455,234,21.097961277670166,16.70083385456577,2.1324297355461046,0.8281697231414048,0.5384615384615384,0.5385964912280702,0.0771704213033989,1.0,234,0,0,64,56,52,62,0.5042735042735043,4.255477400001837,2019
track_b_fusion,cnn,technical_vmd_news,20,42,fold_1,2019,2021,2022,727,241,22.297839849561147,17.606126443751126,1.7920459981455619,-0.0037247011004102326,0.4625,0.46936265898390833,-0.06146284396800829,1.0,240,1,0,57,50,79,54,0.43333333333333335,3.2960088000036194,2019
track_b_fusion,cnn,technical_vmd_news,20,42,fold_2,2019,2022,2023,968,243,23.947664424111515,19.284281667250163,2.073030719146327,0.7103216159074304,0.5661157024793388,0.5687362938596492,0.13771345716359631,1.0,242,1,0,67,61,44,70,0.5413223140495868,3.559317600003851,2019
track_b_fusion,cnn,technical_vmd_news,20,42,fold_3,2019,2023,2024,1211,244,45.5624864479101,39.89245435331686,4.697940318737289,-0.07049653241856646,0.4959016393442623,0.5150750386970859,0.08458283308600123,1.0,244,0,0,6,121,2,115,0.9672131147540983,3.8620640999943134,2019
