model,objective,threshold,threshold_role,strategy,cost_bps,rows,coverage,round_trip_units,position_change_units,gross_cumulative_return,net_cumulative_return,net_mean_daily_return,net_annualized_sharpe,maximum_drawdown,active_win_rate,trade_entries,break_even_cost_bps,deflated_sharpe_probability
lstm_cnn,multitask,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_cnn,multitask,0.65,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.5,validation_selected_primary,long_flat,5.0,137,0.8540145985401459,117.0,9.0,0.12756305222518471,0.06353931436379656,0.000476051135229688,1.035625493665403,-0.07483246271144572,0.46153846153846156,117,10.574273976621138,0.2481551851985449
lstm_attention,direct,0.5,validation_selected_primary,long_flat,10.0,137,0.8540145985401459,117.0,9.0,0.12756305222518471,0.0031215700851070505,4.9043835959614877e-05,0.1067311205213523,-0.09959984293310464,0.4188034188034188,117,10.574273976621138,0.08904435371593433
lstm_attention,direct,0.5,validation_selected_primary,long_flat,20.0,137,0.8540145985401459,117.0,9.0,0.12756305222518471,-0.10769056374032282,-0.0008049707625805309,-1.749981871786843,-0.15559703369478972,0.37606837606837606,117,10.574273976621138,0.005063523981536791
lstm_attention,direct,0.5,validation_selected_primary,long_short,5.0,137,1.0,137.0,17.0,0.11037764665380445,0.036897807832786844,0.00029425033606095193,0.6021484022091907,-0.08768414954442338,0.4744525547445255,137,7.942503360609524,0.1602280263009822
lstm_attention,direct,0.5,validation_selected_primary,long_short,10.0,137,1.0,137.0,17.0,0.11037764665380445,-0.03175261250365646,-0.00020574966393904827,-0.4210422766358796,-0.1204323406683232,0.43795620437956206,137,7.942503360609524,0.043525080434900734
lstm_attention,direct,0.5,validation_selected_primary,long_short,20.0,137,1.0,137.0,17.0,0.11037764665380445,-0.1558056834725392,-0.0012057496639390477,-2.4674236343260185,-0.19575808159720676,0.36496350364963503,137,7.942503360609524,0.0012668077281158055
lstm_attention,direct,0.55,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.55,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.55,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.55,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.55,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.55,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_flat,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_flat,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_flat,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_short,5.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_short,10.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
lstm_attention,direct,0.6,registered_sensitivity,long_short,20.0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,
