stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_2,2012,2018,2019,1630,244,38.1693990178342,36.98708024263368,3.3944571409699047,-1.3832491423970643,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,6.022795400000177
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_3,2012,2019,2020,1874,243,34.58206111335201,25.81235464006108,3.03546477426832,0.850623068344725,0.4297520661157025,0.43186167304538,-0.1383340638889929,1.0,242,1,0,43,81,57,61,0.5867768595041323,5.934975299998769
window_selection,lstm_cnn,full_ta_vmd,1,42,fold_4,2012,2020,2021,2117,240,19.529545110495736,15.308146639188111,1.600108481390355,0.1683881623883686,0.4583333333333333,0.4857501219427217,-0.0845386377325976,1.0,240,0,0,108,5,125,2,0.0291666666666666,6.695937699994829
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_1,2012,2017,2018,1385,245,54.64633767083936,50.8225651696749,4.434891327330136,-0.6137836555546397,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,6.244009399997594
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_2,2012,2018,2019,1630,244,32.28656343113113,30.045109548895923,2.754930587785248,-0.705227956652273,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,6.203729799999564
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_3,2012,2019,2020,1874,243,45.33869870277424,34.94846496268752,4.063999466769656,0.7432444213736882,0.4256198347107438,0.4265992345544013,-0.1472601686684944,1.0,242,1,0,48,76,63,55,0.5413223140495868,6.884485899994616
window_selection,lstm_cnn,full_ta_vmd,3,42,fold_4,2012,2020,2021,2117,240,23.77912990161193,18.542360899448383,1.938157857582845,-0.2329013443081351,0.4666666666666667,0.4882586579332451,-0.0349490060306904,1.0,240,0,0,97,16,112,15,0.1291666666666666,7.312472400000843
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_1,2012,2017,2018,1385,245,32.17440722073038,27.460884785622863,2.3847251732611787,0.4405718727394564,0.5142857142857142,0.512594962015194,0.0449910026991003,1.0,245,0,0,114,9,110,12,0.0857142857142857,6.235855700004322
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_2,2012,2018,2019,1630,244,33.75313571712924,31.02979897527896,2.8442234302723786,-0.8636615824929388,0.4795081967213114,0.4993270072010229,-0.0052954099580715,1.0,244,0,0,2,125,2,115,0.9836065573770492,6.234707999996317
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_3,2012,2019,2020,1874,243,54.95749516360735,41.33843148805176,4.871695319110073,0.6227444416810678,0.4173553719008264,0.4191498086386003,-0.1634695554507787,1.0,242,1,0,43,81,60,58,0.5743801652892562,7.186965000000782
window_selection,lstm_cnn,full_ta_vmd,5,42,fold_4,2012,2020,2021,2117,240,28.296637687469914,21.941826852659368,2.2929759812184978,-0.7458465762554467,0.4458333333333333,0.4607692843704271,-0.0914845207907646,1.0,240,0,0,81,32,101,26,0.2416666666666666,8.050531900000351
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_1,2012,2017,2018,1385,245,42.62357084059572,37.26886357392573,3.237102446093681,0.0182004002550675,0.5142857142857142,0.5124616819938691,0.0555934290534154,1.0,245,0,0,118,5,114,8,0.0530612244897959,6.17890250000346
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_2,2012,2018,2019,1630,244,31.65136295518239,28.14190562913395,2.5836809172882083,-0.6387912396366844,0.4836065573770491,0.5029275186755502,0.0175227097897547,1.0,244,0,0,4,123,3,114,0.971311475409836,7.527233400003752
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_3,2012,2019,2020,1874,243,60.010743986497374,44.9797717876417,5.271658065228705,0.5501789153276764,0.4256198347107438,0.4272143247676326,-0.1468158095196624,1.0,242,1,0,45,79,60,58,0.5661157024793388,8.087915299998713
window_selection,lstm_cnn,full_ta_vmd,10,42,fold_4,2012,2020,2021,2117,240,31.11252914350693,24.1805838707884,2.5207893038924305,-1.110605377042702,0.4625,0.4760295449794439,-0.0541129281594369,1.0,240,0,0,80,33,96,31,0.2666666666666666,8.805105700004788
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_1,2012,2017,2018,1385,245,52.015586376622615,46.41990547542171,4.047701891800756,-0.4621441372794717,0.5183673469387755,0.516426762628282,0.106277143391474,1.0,245,0,0,122,1,117,5,0.0244897959183673,8.462994500005152
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_2,2012,2018,2019,1630,244,41.118009986053664,36.58639227036556,3.361170597570779,-1.7656866719681037,0.4754098360655737,0.4950535029275186,-0.0348849890307167,1.0,244,0,0,2,125,3,114,0.9795081967213116,8.95264209999732
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_3,2012,2019,2020,1874,243,66.77793636849066,48.98408017370341,5.789178504129379,0.4430095173268839,0.4462809917355372,0.4496309458720612,-0.1046752340896686,1.0,242,1,0,39,85,49,69,0.6363636363636364,9.706838799997058
window_selection,lstm_cnn,full_ta_vmd,20,42,fold_4,2012,2020,2021,2117,240,32.954220915332094,26.57995224797724,2.772123867520328,-1.3678735421733137,0.4625,0.4770050867535363,-0.053014049051077,1.0,240,0,0,82,31,98,29,0.25,10.806011900000158
window_selection,lstm_attention,full_ta,1,42,fold_1,2012,2017,2018,1385,245,37.81411684651832,33.90461040333814,2.949917281279629,0.2272640568940143,0.5020408163265306,0.5,0.0,1.0,245,0,0,123,0,122,0,0.0,6.838211399997817
window_selection,lstm_attention,full_ta,1,42,fold_2,2012,2018,2019,1630,244,46.857217128806624,45.82204288498529,4.198730008634527,-2.5916316140013933,0.4795081967213114,0.5,0.0,1.0,244,0,0,0,127,0,117,1.0,7.237645799999882
