stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds
outer_test,lstm,full_ta_vmd,5,42,fold_1,2012,2021,2022,2358,241,12.266725033659252,9.371475356327544,0.9567249453116736,0.6962290152619686,0.5166666666666667,0.5346778160354156,0.0729051775136264,1.0,240,1,0,75,32,84,49,0.3375,7.011045599996578
outer_test,lstm,full_ta_vmd,5,42,fold_2,2012,2022,2023,2599,243,12.796230922706329,10.471743611170922,1.126217055640103,0.9172907849358394,0.4710743801652892,0.4736156798245614,-0.052899309903855,1.0,242,1,0,55,73,55,59,0.5454545454545454,7.376271699999052
outer_test,lstm,full_ta_vmd,5,42,fold_3,2012,2023,2024,2842,244,10.65564488412106,8.527119648036408,0.9919728182752116,0.9414495942639076,0.4672131147540984,0.4703546672050609,-0.0599726098196015,1.0,244,0,0,50,77,53,64,0.5778688524590164,7.604544000001624
outer_test,lstm,full_ta_vmd,5,42,fold_4,2012,2024,2025,3086,234,14.121273472594458,11.19876308227706,1.4218140434854143,0.9230220333164482,0.5213675213675214,0.519298245614035,0.0391028472837702,1.0,234,0,0,72,48,64,50,0.4188034188034188,8.246237399995152
outer_test,lstm,full_ta_vmd,5,123,fold_1,2012,2021,2022,2358,241,10.252861830580317,7.987819438673147,0.8134882686004028,0.787783455926206,0.5833333333333334,0.6003091841753917,0.2085033760148754,1.0,240,1,0,81,26,74,59,0.3541666666666667,7.475404199998593
outer_test,lstm,full_ta_vmd,5,123,fold_2,2012,2022,2023,2599,243,14.004489507900736,11.659939022319325,1.260172029498153,0.900934068687162,0.5165289256198347,0.5338541666666667,0.0841051983889117,1.0,242,1,0,30,98,19,95,0.7975206611570248,7.444693299999926
outer_test,lstm,full_ta_vmd,5,123,fold_3,2012,2023,2024,2842,244,17.643011155759595,14.63866302070074,1.7213100722448005,0.8394849163870809,0.4918032786885246,0.5111380308230702,0.0666668613840095,1.0,244,0,0,5,122,2,115,0.971311475409836,8.124869299994316
outer_test,lstm,full_ta_vmd,5,123,fold_4,2012,2024,2025,3086,234,15.371860916602005,12.28867045604775,1.553358285423477,0.9087838787974032,0.5598290598290598,0.5600877192982456,0.1201534827292035,1.0,234,0,0,66,54,49,65,0.5085470085470085,8.209473299997626
outer_test,lstm,full_ta_vmd,5,456,fold_1,2012,2021,2022,2358,241,11.472764840774548,8.626180229285941,0.8813568297490245,0.7342794076052965,0.55,0.5373480430047081,0.0765247157040023,1.0,240,1,0,45,62,46,87,0.6208333333333333,7.158069900004193
outer_test,lstm,full_ta_vmd,5,456,fold_2,2012,2022,2023,2599,243,11.993627127219836,9.26088997795748,0.999724431206688,0.9273407606137928,0.5661157024793388,0.5629797149122807,0.1265987225593324,1.0,242,1,0,79,49,56,58,0.4421487603305785,7.517084900006012
outer_test,lstm,full_ta_vmd,5,456,fold_3,2012,2023,2024,2842,244,10.27931074656424,8.305643861782363,0.9620912769123504,0.9455123067791362,0.4713114754098361,0.4759741570765193,-0.0493280405163894,1.0,244,0,0,46,81,48,69,0.6147540983606558,7.752062300001853
outer_test,lstm,full_ta_vmd,5,456,fold_4,2012,2024,2025,3086,234,18.22315005028453,13.7483961252932,1.7920515664404673,0.871806616478403,0.5470085470085471,0.550219298245614,0.1036396457993991,1.0,234,0,0,51,69,37,77,0.6239316239316239,8.179755099998147
outer_test,lstm,full_ta_vmd,5,789,fold_1,2012,2021,2022,2358,241,15.236144700302876,11.290601180796797,1.1506238383713487,0.531360160712111,0.5083333333333333,0.5298995151429977,0.0646088759160199,1.0,240,1,0,78,29,89,44,0.3041666666666666,7.13654530000349
outer_test,lstm,full_ta_vmd,5,789,fold_2,2012,2022,2023,2599,243,11.87331454411623,9.667547569255282,1.039807586336577,0.9287911933209536,0.5247933884297521,0.5267955043859649,0.0536185747470935,1.0,242,1,0,63,65,50,64,0.5330578512396694,7.476360900000145
outer_test,lstm,full_ta_vmd,5,789,fold_3,2012,2023,2024,2842,244,10.926609447149792,8.717036016925443,1.0106781500880722,0.938433952597986,0.5204918032786885,0.5279292011575476,0.0598386732395547,1.0,244,0,0,44,83,34,83,0.680327868852459,8.17441620000318
outer_test,lstm,full_ta_vmd,5,789,fold_4,2012,2024,2025,3086,234,14.453493306978457,11.667314552955144,1.489416324226442,0.9193574300877712,0.5170940170940171,0.5175438596491229,0.0350966998660479,1.0,234,0,0,60,60,53,61,0.5170940170940171,8.122714399993129
outer_test,lstm,full_ta_vmd,5,2025,fold_1,2012,2021,2022,2358,241,10.85306395755348,8.503066194720285,0.8659985578294245,0.7622099090941674,0.55,0.5729744923055302,0.1589447766991238,1.0,240,1,0,84,23,85,48,0.2958333333333333,7.197215399995912
outer_test,lstm,full_ta_vmd,5,2025,fold_2,2012,2022,2023,2599,243,12.636924703234287,9.987611317124388,1.0779446648176043,0.9193373367370674,0.5289256198347108,0.5350191885964912,0.0714630324269476,1.0,242,1,0,55,73,41,73,0.6033057851239669,7.41326019999542
outer_test,lstm,full_ta_vmd,5,2025,fold_3,2012,2023,2024,2842,244,12.653365792633153,10.172697202748958,1.1878510295746991,0.9174375526285754,0.5163934426229508,0.5283666464768827,0.0697058200378757,1.0,244,0,0,30,97,21,96,0.7909836065573771,7.95495280000614
outer_test,lstm,full_ta_vmd,5,2025,fold_4,2012,2024,2025,3086,234,17.492100820733526,13.529618669962282,1.729102772615153,0.8818856534163177,0.5598290598290598,0.5627192982456141,0.1286131928826069,1.0,234,0,0,54,66,37,77,0.6111111111111112,8.598204599999008
outer_test,cnn,full_ta,20,42,fold_1,2012,2021,2022,2358,241,19.90262197677663,15.627411259951929,1.5890704178249222,0.2003321852814135,0.4833333333333333,0.483592157965006,-0.0326236842704675,1.0,240,1,0,52,55,69,64,0.4958333333333333,6.182995900002425
outer_test,cnn,full_ta,20,42,fold_2,2012,2022,2023,2599,243,19.78680544211801,16.409647475034614,1.75657730372101,0.8022387818197871,0.5619834710743802,0.5595531798245614,0.1194012994972727,1.0,242,1,0,77,51,55,59,0.4545454545454545,6.265430200000992
outer_test,cnn,full_ta,20,42,fold_3,2012,2023,2024,2842,244,25.960723364398675,21.91256082585604,2.580330138605834,0.6524606290805509,0.5122950819672131,0.5301500773941719,0.1216986620057064,1.0,244,0,0,12,115,4,113,0.9344262295081968,6.672259099999792
outer_test,cnn,full_ta,20,42,fold_4,2012,2024,2025,3086,234,41.82559666563503,33.699690466130924,4.3897375806329295,0.3246902837946899,0.5470085470085471,0.5532894736842106,0.1220012347085775,1.0,234,0,0,37,83,23,91,0.7435897435897436,7.288277100000414
outer_test,cnn,full_ta,20,123,fold_1,2012,2021,2022,2358,241,20.919663610005333,16.72566248798767,1.7081883643315012,0.1165165432084102,0.5208333333333334,0.4936757782306233,-0.0145192077026453,1.0,240,1,0,26,81,34,99,0.75,6.035772000002908
outer_test,cnn,full_ta,20,123,fold_2,2012,2022,2023,2599,243,20.610703583541788,17.059189244435146,1.816805213912894,0.785426840270081,0.5247933884297521,0.5128837719298246,0.0282490082121877,1.0,242,1,0,92,36,79,35,0.2933884297520661,6.286215899999661
outer_test,cnn,full_ta,20,123,fold_3,2012,2023,2024,2842,244,26.5181925729478,23.36248516766755,2.745408163216598,0.637374557241097,0.5122950819672131,0.5304865737936604,0.1309801460870276,1.0,244,0,0,11,116,3,114,0.9426229508196722,6.732587799997418
outer_test,cnn,full_ta,20,123,fold_4,2012,2024,2025,3086,234,25.95319707968129,19.798689973191344,2.5597539818802515,0.7399837818701462,0.5299145299145299,0.5342105263157895,0.0725476250110011,1.0,234,0,0,44,76,34,80,0.6666666666666666,7.021285900002113
outer_test,cnn,full_ta,20,456,fold_1,2012,2021,2022,2358,241,31.26124869113917,27.28702639785546,2.7758144584210656,-0.9728845464046876,0.5083333333333333,0.4650411074415009,-0.1137669557545522,1.0,240,1,0,7,100,18,115,0.8958333333333334,5.905675100002554
