regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank
bull,Momentum_60,0.41983471074380163,0.20373918347499664,15,48
bull,MinusDI_14,0.43526170798898073,0.23428938238036495,15,49
bull,Body_to_Range_D,0.4633608815426997,0.24782497936130707,15,50
bull,Down_Ratio_5,0.46776859504132234,0.2287288333681372,15,51
bull,Change_pct_M,0.4699724517906336,0.2099114675955401,15,52
bull,RSI_14,0.47823691460055096,0.23811462187855517,15,53
bull,Close_Position_M,0.4826446280991735,0.19964158464877718,15,54
bull,Close_Position_D,0.48319559228650133,0.1872867283672938,15,55
bull,Volatility_5,0.487603305785124,0.2004269156339607,15,56
bull,Up_Ratio_20,0.4920110192837466,0.22348713000826184,15,57
bull,Close_Position_W,0.49476584022038567,0.17494987612862603,15,58
bull,Return_20D,0.49586776859504134,0.18448193610035052,15,59
bull,Spread_M,0.4991735537190083,0.300600613235874,15,60
bull,Volatility_20,0.5079889807162534,0.21793899645334733,15,61
bull,MACD_Signal_9,0.515702479338843,0.20161127563279546,15,62
bull,Volatility_10,0.515702479338843,0.2366953031707088,15,63
bull,Volume_MA_20,0.5168044077134987,0.2201661638007905,15,64
bull,Up_Ratio_5,0.5206611570247933,0.24585908728336392,15,65
bull,Close_to_SMA_60,0.5261707988980716,0.21361601931605653,15,66
bull,Momentum_20,0.5272727272727272,0.20490916109782376,15,67
bull,ROC_20,0.5355371900826447,0.20395458047993953,15,68
bull,Down_Ratio_20,0.5377410468319559,0.22198895368933855,15,69
bull,MACD_12_26,0.5460055096418732,0.2515956797427661,15,70
bull,Down_Ratio_10,0.5515151515151515,0.2385772179507076,15,71
bull,Volume_MA_5,0.5548209366391184,0.2976660189759536,15,72
bull,VMD_IMF_2,0.5702479338842975,0.1910554645167856,15,73
bull,ROC_60,0.5768595041322314,0.2387353045732703,15,74
bull,Volume_W,0.5900826446280991,0.2521831845356653,15,75
bull,Up_Ratio_10,0.6038567493112947,0.2139309583311763,15,76
bull,Ratio_Close_D_to_M,0.609366391184573,0.21069093641324185,15,77
bull,Volume_Change_1D,0.6159779614325068,0.23314547547394687,15,78
bull,Close_to_SMA_20,0.622038567493113,0.21481850711818248,15,79
bull,MACD_Histogram,0.6286501377410468,0.1873544440191472,15,80
bull,Volume_D_lag1,0.6341597796143251,0.2250880653010522,15,81
bull,Body_abs_D,0.6380165289256199,0.17656907157509916,15,82
bull,Momentum_10,0.6738292011019283,0.2096556546870854,15,83
bull,ROC_5,0.6738292011019283,0.20428123052496916,15,84
bull,Volume_Change_5D,0.6738292011019283,0.19356359605127776,15,85
bull,Volume_Ratio_20,0.6738292011019283,0.20064262644867462,15,86
bull,Volume_D_lag5,0.6760330578512396,0.149975360705282,15,87
bull,Volume_D_lag2,0.6798898071625346,0.177595778076926,15,88
bull,Change_pct_D,0.6809917355371902,0.1869721372627474,15,89
bull,CCI_20,0.6831955922865014,0.20441969985361033,15,90
bull,Change_pct_D_lag5,0.6865013774104683,0.1784726732953853,15,91
bull,Volume_Ratio_5,0.687603305785124,0.19054919387708563,15,92
bull,Spread_W,0.6892561983471075,0.14921222194540895,15,93
bull,Return_10D,0.6914600550964188,0.17416171309521572,15,94
bull,Close_to_SMA_5,0.6931129476584023,0.19827002306397185,15,95
bull,Momentum_5,0.700275482093664,0.2254995044505131,15,96
bull,VMD_IMF_3,0.700275482093664,0.19116948837371264,15,97
bull,Body_W,0.7013774104683196,0.15054895683807806,15,98
bull,Volume_M,0.7019283746556474,0.2278669202974793,15,99
bull,Change_pct_D_lag10,0.7057851239669422,0.19227217983470277,15,100
bull,Volume_D,0.7112947658402203,0.19695167009369366,15,101
bull,Volume_D_lag3,0.7195592286501378,0.2557879690523635,15,102
