model,selection_fold,regime,feature,importance,normalized_rank,available_sequences,fallback
spearman_filter,fold_1,bull,Volume_D_lag10,0.07197240764271075,0.6363636363636364,72,none
spearman_filter,fold_1,bull,Volume_D_lag20,0.03618032299159326,0.8264462809917356,72,none
spearman_filter,fold_1,bull,Close_W_lag1,0.1201357496288154,0.4462809917355372,72,none
spearman_filter,fold_1,bull,Close_W_lag2,0.134129993883276,0.39669421487603307,72,none
spearman_filter,fold_1,bull,Close_W_lag4,0.1383321403086223,0.3884297520661157,72,none
spearman_filter,fold_1,bull,Close_M_lag1,0.19960159422169474,0.2066115702479339,72,none
spearman_filter,fold_1,bull,Close_M_lag3,0.10497648073001663,0.5041322314049587,72,none
spearman_filter,fold_1,bull,Return_1D,0.18496366325808736,0.2727272727272727,72,none
spearman_filter,fold_1,bull,Return_3D,0.03617595986880186,0.8347107438016529,72,none
spearman_filter,fold_1,bull,Return_5D,0.05289729243038138,0.7479338842975206,72,none
spearman_filter,fold_1,bull,Return_10D,0.02183420155637019,0.9049586776859504,72,none
spearman_filter,fold_1,bull,Return_20D,0.22242587947778,0.06198347107438017,72,none
spearman_filter,fold_1,bull,Return_60D,0.1042510772396939,0.5165289256198347,72,none
spearman_filter,fold_1,bull,SMA_5,0.2169271335777221,0.10743801652892562,72,none
spearman_filter,fold_1,bull,SMA_10,0.18062254807383116,0.2975206611570248,72,none
spearman_filter,fold_1,bull,SMA_20,0.1999807061547367,0.19834710743801653,72,none
spearman_filter,fold_1,bull,SMA_60,0.19673290886873754,0.2231404958677686,72,none
spearman_filter,fold_1,bull,Close_to_SMA_5,0.040581387870602614,0.8099173553719008,72,none
spearman_filter,fold_1,bull,Close_to_SMA_10,0.0350183291530002,0.8429752066115702,72,none
spearman_filter,fold_1,bull,Close_to_SMA_20,0.11200077175381054,0.4628099173553719,72,none
spearman_filter,fold_1,bull,Close_to_SMA_60,0.02408515017042897,0.8760330578512396,72,none
spearman_filter,fold_1,bull,Volatility_5,0.06801080455334749,0.6528925619834711,72,none
spearman_filter,fold_1,bull,Volatility_10,0.017686024824747577,0.9421487603305785,72,none
spearman_filter,fold_1,bull,Volatility_20,0.0955045340536369,0.5619834710743802,72,none
spearman_filter,fold_1,bull,Volatility_60,0.09794842112032928,0.5454545454545454,72,none
spearman_filter,fold_1,bull,Momentum_5,0.06125795871117115,0.7107438016528925,72,none
spearman_filter,fold_1,bull,Momentum_10,0.014293638607756625,0.9669421487603306,72,none
spearman_filter,fold_1,bull,Momentum_20,0.21184642099170367,0.15702479338842976,72,none
spearman_filter,fold_1,bull,Momentum_60,0.11356127051359398,0.45454545454545453,72,none
spearman_filter,fold_1,bull,ROC_5,0.05289729243038138,0.7479338842975206,72,none
spearman_filter,fold_1,bull,ROC_10,0.02183420155637019,0.9049586776859504,72,none
spearman_filter,fold_1,bull,ROC_20,0.22242587947778,0.06198347107438017,72,none
spearman_filter,fold_1,bull,ROC_60,0.1042510772396939,0.5165289256198347,72,none
spearman_filter,fold_1,bull,Ratio_Close_D_to_W,0.10827062833622744,0.47107438016528924,72,none
spearman_filter,fold_1,bull,Ratio_Close_D_to_M,0.24985529616052482,0.008264462809917356,72,none
spearman_filter,fold_1,bull,Ratio_Volume_D_to_W,0.1416501193862046,0.38016528925619836,72,none
spearman_filter,fold_1,bull,Spread_D,0.28429938101592644,0.0,72,none
spearman_filter,fold_1,bull,Body_D,0.06534234792117315,0.6694214876033058,72,none
spearman_filter,fold_1,bull,Body_abs_D,0.23286812244731722,0.03305785123966942,72,none
