regime,feature,consensus_normalized_rank,normalized_rank_std,contributing_cells,consensus_rank,selection_fold
sideway,Change_pct_M,0.5834710743801652,0.2061648062288235,5,70,fold_2
sideway,ROC_60,0.5851239669421487,0.1806309850573523,5,71,fold_2
sideway,MACD_12_26,0.5900826446280992,0.21745119340882876,5,72,fold_2
sideway,Volatility_20,0.6148760330578512,0.2182350298247428,5,73,fold_2
sideway,Volume_MA_5,0.6247933884297521,0.23885584340066784,5,74,fold_2
sideway,MACD_Signal_9,0.6429752066115701,0.17270552277154497,5,75,fold_2
sideway,VMD_IMF_3,0.6429752066115703,0.13622582568026143,5,76,fold_2
sideway,Volatility_10,0.6446280991735537,0.20776537338804188,5,77,fold_2
sideway,Change_pct_D,0.6512396694214877,0.18948883172509604,5,78,fold_2
sideway,Close_to_SMA_20,0.6611570247933884,0.1812538198302588,5,79,fold_2
sideway,Change_pct_D_lag2,0.6644628099173554,0.1234977346282191,5,80,fold_2
sideway,Volume_Ratio_20,0.6661157024793388,0.05311163310102354,5,81,fold_2
sideway,Momentum_10,0.6661157024793389,0.23423592992851486,5,82,fold_2
sideway,Volume_Ratio_5,0.6694214876033058,0.22075554362302616,5,83,fold_2
sideway,Volume_W,0.6727272727272727,0.2565047487968152,5,84,fold_2
sideway,CCI_20,0.6776859504132231,0.23470201357294093,5,85,fold_2
sideway,Close_to_SMA_5,0.684297520661157,0.1629378194589589,5,86,fold_2
sideway,Volume_D_lag1,0.6975206611570248,0.1743977900301681,5,87,fold_2
sideway,Volume_MA_20,0.6991735537190082,0.16730179736291118,5,88,fold_2
sideway,ROC_20,0.7008264462809917,0.21884447329141934,5,89,fold_2
sideway,Body_W,0.7123966942148761,0.08354877326347183,5,90,fold_2
sideway,Momentum_5,0.7140495867768595,0.2766805885444751,5,91,fold_2
sideway,VMD_IMF_4,0.7140495867768595,0.24366854469727023,5,92,fold_2
sideway,VMD_IMF_2,0.7223140495867769,0.17922645676857887,5,93,fold_2
sideway,Volume_D_lag3,0.7256198347107438,0.18034716727601977,5,94,fold_2
sideway,MACD_Histogram,0.7371900826446282,0.1572855599008468,5,95,fold_2
sideway,ROC_5,0.7404958677685951,0.1267726571652583,5,96,fold_2
sideway,Change_pct_D_lag1,0.7421487603305785,0.13747356949592712,5,97,fold_2
sideway,Volume_D_lag5,0.743801652892562,0.17266597037831555,5,98,fold_2
sideway,Volume_D_lag2,0.7454545454545454,0.11708151027885216,5,99,fold_2
sideway,Ratio_Close_D_to_M,0.7586776859504132,0.22605987421569224,5,100,fold_2
sideway,Volume_D,0.7586776859504132,0.1471909875100376,5,101,fold_2
sideway,Change_pct_D_lag10,0.7619834710743801,0.2098425063407938,5,102,fold_2
sideway,Spread_D,0.7619834710743801,0.09484348795335389,5,103,fold_2
sideway,Return_10D,0.7636363636363637,0.11400765788137782,5,104,fold_2
sideway,Spread_W,0.7801652892561983,0.09361123133649005,5,105,fold_2
sideway,ROC_10,0.7801652892561984,0.20130372154237403,5,106,fold_2
sideway,Upper_Shadow_D,0.7818181818181819,0.19719015191924136,5,107,fold_2
sideway,Change_pct_D_lag3,0.7900826446280992,0.19395974098123583,5,108,fold_2
sideway,Close_to_SMA_10,0.8033057851239669,0.13241206666773753,5,109,fold_2
sideway,Ratio_Volume_D_to_W,0.8082644628099175,0.1538833210504212,5,110,fold_2
sideway,Return_1D,0.8082644628099175,0.11590890676316008,5,111,fold_2
sideway,Return_3D,0.8132231404958677,0.14733013137678913,5,112,fold_2
sideway,Change_pct_D_lag20,0.8198347107438018,0.09466327975719903,5,113,fold_2
sideway,Body_D,0.8214876033057852,0.18337053309521256,5,114,fold_2
sideway,Volume_M,0.8214876033057852,0.14859954579995435,5,115,fold_2
sideway,Ratio_Close_D_to_W,0.8413223140495868,0.19137184086661,5,116,fold_2
sideway,Return_5D,0.8446280991735537,0.14776988924683307,5,117,fold_2
sideway,Volume_Change_20D,0.8661157024793388,0.0962730107003204,5,118,fold_2
sideway,Volume_D_lag20,0.8793388429752067,0.15379452512782238,5,119,fold_2
sideway,Change_pct_W,0.8826446280991735,0.04653120086036116,5,120,fold_2
sideway,Volume_D_lag10,0.912396694214876,0.06417609473823863,5,121,fold_2
sideway,Lower_Shadow_D,0.9371900826446282,0.05861363050081701,5,122,fold_2
bear,Close_D,0.0,0.0,5,1,fold_3
bear,WMA_60,0.07603305785123968,0.06517931951448051,5,2,fold_3
bear,Close_D_lag1,0.10743801652892562,0.10535164284282614,5,3,fold_3
bear,Low_D,0.11239669421487604,0.10430917670064115,5,4,fold_3
bear,SMA_60,0.15041322314049588,0.2145101780521027,5,5,fold_3
bear,Close_D_lag2,0.15867768595041323,0.05074407085292149,5,6,fold_3
bear,WMA_5,0.16694214876033056,0.20077712552889704,5,7,fold_3
bear,Low_W,0.17024793388429754,0.13612551209841,5,8,fold_3
bear,StochD_3,0.20165289256198346,0.07677503578508159,5,9,fold_3
bear,VMD_Denoised_Close,0.20165289256198346,0.19067460824420934,5,10,fold_3
bear,High_D,0.21487603305785125,0.23287607939843588,5,11,fold_3
bear,SMA_5,0.23140495867768598,0.221141953062143,5,12,fold_3
bear,High_M,0.2396694214876033,0.07345615220921975,5,13,fold_3
bear,Close_W_lag2,0.24462809917355371,0.30581862671057025,5,14,fold_3
bear,Close_W_lag1,0.24462809917355374,0.277358622504814,5,15,fold_3
bear,SMA_10,0.2528925619834711,0.31738119729631215,5,16,fold_3
bear,Close_D_lag5,0.256198347107438,0.07133337397368623,5,17,fold_3
bear,StochK_14,0.2628099173553719,0.2112213031501473,5,18,fold_3
bear,Close_M_lag3,0.26776859504132233,0.17183326708013208,5,19,fold_3
bear,Direction_lag1,0.26942148760330575,0.34298018516749057,5,20,fold_3
bear,Direction_lag2,0.26942148760330575,0.21737265431087596,5,21,fold_3
bear,Direction_lag5,0.2727272727272727,0.22618069724634726,5,22,fold_3
