track,comparison_id,comparison_label,model,metric,control_label,treatment_label,control_value,treatment_value,delta,delta_unit,better_when,improved,improved_count_within_comparison_metric,raw_pvalue,holm_adjusted_pvalue,statistical_status,evidence_class,temporal_units,seeds,source_artifact,note
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm,rmse,Regime-All,Regime-SHAP,12.479072639555746,13.377487622370024,0.8984149828142787,index_points,lower,False,2,0.25,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,cnn,balanced_accuracy,Regime-All,Regime-SHAP,0.5307027119701992,0.5452792987333088,1.4576586763109578,percentage_points,higher,True,2,0.125,0.625,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,cnn,direction_accuracy,Regime-All,Regime-SHAP,0.5280304441584247,0.5426800425729263,1.4649598414501641,percentage_points,higher,True,2,0.125,0.625,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,cnn,rmse,Regime-All,Regime-SHAP,19.100129093710393,19.668918921582787,0.5687898278723935,index_points,lower,False,2,0.875,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_cnn,balanced_accuracy,Regime-All,Regime-SHAP,0.5318006455778508,0.5323351867140959,0.05345411362450703,percentage_points,higher,True,2,1.0,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_cnn,direction_accuracy,Regime-All,Regime-SHAP,0.5311680081799307,0.5321378732006526,0.09698650207219384,percentage_points,higher,True,2,1.0,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_cnn,rmse,Regime-All,Regime-SHAP,19.85331610740851,18.890702976134172,-0.9626131312743382,index_points,lower,True,2,0.5,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_attention,balanced_accuracy,Regime-All,Regime-SHAP,0.5064803102597207,0.4961326267579658,-1.0347683501754912,percentage_points,higher,False,2,0.125,0.625,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_attention,direction_accuracy,Regime-All,Regime-SHAP,0.505103543893596,0.4957253305148238,-0.9378213378772204,percentage_points,higher,False,2,0.125,0.625,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
C,track_c_regime_shap_vs_regime_all,SHAP reduction within the same regime router,lstm_attention,rmse,Regime-All,Regime-SHAP,17.454120295668147,17.680164594912117,0.22604429924396996,index_points,lower,False,2,0.625,1.0,not_holm_significant,registered_post_hoc_robustness,4,5,outputs/track_c/outer_v2/arm_summary.csv | outputs/track_c/outer_v2/inference_holm_adjusted.csv,Registered paired contrast; Track C remains post-hoc robustness evidence.
