feature_index,feature,cnn_shap_importance,lstm_shap_importance,selected_cnn,selected_lstm
107,RSI_14,0.000463369159133209,0.00410686200127941,False,False
108,MACD_12_26,0.0006660251435132603,0.004547060169818451,True,False
109,MACD_Signal_9,0.00024236880805114934,0.0033473061042251116,False,False
110,MACD_Histogram,0.00032754381735222715,0.004613987296494315,False,False
111,WilliamsR_14,0.00022005158385942635,0.002871789021211413,False,False
112,CCI_20,0.0006264091458910492,0.004845087234656376,True,False
113,ADX_14,0.0005536631043405182,0.0035742773173694786,True,False
114,PlusDI_14,0.0004293709067476392,0.00440137862866834,False,False
115,MinusDI_14,0.0010037466166100018,0.004076107393410666,True,False
116,VMD_IMF_1,0.00017096284916792438,0.008573384237479331,False,True
117,VMD_IMF_2,0.0001958998508811871,0.004453156049483198,False,False
118,VMD_IMF_3,0.00019091842941772462,0.0022642014153614553,False,False
119,VMD_IMF_4,0.0004151542256179197,0.002730893665768974,False,False
120,VMD_Denoised_Close,0.00024265743604479084,0.006765046945179165,False,True
121,VMD_Noise_Energy_Ratio,0.0007369491037215736,0.00531953405942005,True,True
