protocol_id,variant,validation_year,seed,device,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,training_sequences,validation_sequences,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score,rmse,mae,predicted_up_share,turning_observations,turning_accuracy
tcrc-lstm-posthoc-development-v1,cnn_residual,2020,789,cpu,21420,1.283184700005222,0.0056092000158969,0.6000049114227295,224,243,243,0.5169152542372881,0.5061728395061729,0.0506822349773836,1.056740241441866,0.364539255385646,21.01118231980042,14.748060982119265,0.8724279835390947,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2020,789,cpu,21420,1.3282270999916364,0.0056789999944157,0.568771481513977,224,243,243,0.5147796610169492,0.5061728395061729,0.0368206604482986,0.9832223394040284,0.347843342376433,20.413940408368063,14.164289791912376,0.7983539094650206,241,0.5394190871369294
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2020,789,cpu,21420,1.490326900006039,0.0059125999978277,0.7831234931945801,224,243,243,0.4987796610169491,0.4897119341563786,-0.0031402746879154,0.7713358434084481,0.2824918759581281,18.99336993421411,12.41576032686594,0.8148148148148148,241,0.5020746887966805
tcrc-lstm-posthoc-development-v1,tcrc_full,2020,789,cpu,21420,1.6058886999962851,0.0068836999998893,0.8887303471565247,224,243,243,0.5126779661016949,0.5020576131687243,0.0374765302623878,0.8398378348441283,0.3103571779171432,19.303617321273453,12.961010177419332,0.8683127572016461,241,0.4605809128630705
tcrc-lstm-posthoc-development-v1,lstm_anchor,2021,123,cpu,21420,2.712275800004136,0.0067419999977573,0.3426961600780487,467,240,240,0.5021252874364155,0.4916666666666666,0.0045451643120389,0.7968939909778049,0.2935420848812141,10.052095757558895,7.777083028956211,0.3208333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,cnn_residual,2021,123,cpu,21420,2.7356689000152983,0.0063449000008404,0.3434697985649109,467,240,240,0.5390913525189882,0.5375,0.0781473177769503,0.903080248925058,0.3106424374272053,12.667838346513964,10.067934956306315,0.475,240,0.525
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2021,123,cpu,21420,2.8718962999992077,0.0060886999999638,0.4929842352867126,467,240,240,0.5332032610967877,0.5333333333333333,0.0662957445719482,0.9185310525523384,0.3128670829096905,12.857998967716403,10.131506698240129,0.5041666666666667,240,0.525
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2021,123,cpu,21420,2.9878211000177544,0.0073655000014696,0.5822919011116028,467,240,240,0.5332032610967877,0.5333333333333333,0.0662957445719482,0.9062138295135748,0.3109149528796932,12.706524471548471,9.963621145398047,0.5041666666666667,240,0.525
tcrc-lstm-posthoc-development-v1,tcrc_full,2021,123,cpu,21420,3.043677200010279,0.0059906000096816,0.744970440864563,467,240,240,0.5449446031635427,0.5375,0.0926790863627419,0.8603518959401952,0.3050989487532705,11.245458845906818,8.905649223590162,0.375,240,0.5166666666666667
tcrc-lstm-posthoc-development-v1,lstm_anchor,2021,2025,cpu,21420,2.7829441000067163,0.0064227000111714,0.5489230751991272,467,240,240,0.4765521566441363,0.4666666666666667,-0.0498135505948215,0.7371818596657916,0.2711904153453682,8.924048767920397,6.938960931926061,0.3291666666666666,240,0.475
tcrc-lstm-posthoc-development-v1,cnn_residual,2021,2025,cpu,21420,2.897166099981405,0.0063822999945841,0.392004519701004,467,240,240,0.4952964950177688,0.4916666666666666,-0.0094652295846491,0.9796856382486662,0.3386157984811664,12.969702957723907,10.406236238523965,0.4375,240,0.4791666666666667
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2021,2025,cpu,21420,2.7924701000156347,0.0071133999736048,0.3740741908550262,467,240,240,0.4579123406034423,0.4541666666666666,-0.0847890419748022,0.9623495481493696,0.341577141327942,12.415928897131757,9.963656840795178,0.4333333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2021,2025,cpu,21420,2.8595227999903727,0.0053730999934487,0.5674735903739929,467,240,240,0.459863424151627,0.4541666666666666,-0.0817889314520134,0.9387564317969538,0.3346123630559205,12.118894037656773,9.645908047340436,0.4,240,0.525
tcrc-lstm-posthoc-development-v1,tcrc_full,2021,2025,cpu,21420,3.1372039999987464,0.0069136999954935,0.762076199054718,467,240,240,0.4564141871646575,0.45,-0.0893132896338355,0.9156885138655392,0.3310431900248407,11.62877398766121,9.263048766890318,0.3875,240,0.4625
tcrc-lstm-posthoc-development-v1,lstm_anchor,2021,42,cpu,21420,3.0045631999964826,0.01192250000895,0.4290365576744079,467,240,240,0.504633823426939,0.5,0.0093700621549965,0.8276571039362679,0.3014034275085736,10.80288456160192,8.312814043691503,0.4208333333333333,240,0.4708333333333333
tcrc-lstm-posthoc-development-v1,cnn_residual,2021,42,cpu,21420,2.890006000001449,0.0073335999913979,0.3206444680690765,467,240,240,0.5174203888230786,0.5125,0.0352748279565294,0.924726633937345,0.313259778920648,12.732376341655,9.728828193542622,0.4166666666666667,240,0.5541666666666667
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2021,42,cpu,21420,2.8569027000048663,0.0080105999950319,0.3584056794643402,467,240,240,0.5317051076580029,0.5291666666666667,0.063523188837695,0.8777099982716136,0.3042050807373616,11.914236007373551,9.304797090801111,0.4583333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2021,42,cpu,21420,3.213110399985453,0.0055730000021867,0.4807024896144867,467,240,240,0.5469653682670197,0.5458333333333333,0.0938229259736486,0.8780406810120122,0.2992689975519859,11.977994480263472,9.242041619247352,0.4833333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,tcrc_full,2021,42,cpu,21420,3.0499639000045136,0.0069450000009965,0.7096526622772217,467,240,240,0.5336561912061877,0.5291666666666667,0.0679667361609979,0.8194532628239105,0.2946961131728419,10.426580009157696,8.040122504796225,0.425,240,0.5333333333333333
tcrc-lstm-posthoc-development-v1,lstm_anchor,2021,456,cpu,21420,2.7619556999998167,0.0061172999849077,0.4496746659278869,467,240,240,0.4742178245418438,0.4791666666666667,-0.0522067453756635,0.8113533245300236,0.2950984537069994,10.12197695939929,7.698284424631336,0.5833333333333334,240,0.525
tcrc-lstm-posthoc-development-v1,cnn_residual,2021,456,cpu,21420,2.737745200021891,0.005447199975606,0.3987012803554535,467,240,240,0.4653334262420737,0.4666666666666667,-0.0692752452320945,0.980564480986674,0.3387912102478125,13.346138884663096,10.369701163879702,0.5208333333333334,240,0.5375
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2021,456,cpu,21420,2.8269723000121303,0.0061363000131677,0.3321520090103149,467,240,240,0.4978050310082921,0.5,-0.0043948405470803,0.9016866227564152,0.318675689820375,12.024714134070422,9.28832152518993,0.5375,240,0.525
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2021,456,cpu,21420,3.0840070999984164,0.0055175999877974,0.4814519584178924,467,240,240,0.5056790467563236,0.5083333333333333,0.0113866933597321,0.8834322466136657,0.3143521777927421,11.75916552840822,9.165175992382729,0.5458333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,tcrc_full,2021,456,cpu,21420,3.1092035000037868,0.0061417999968398,0.7065123319625854,467,240,240,0.4874921608250296,0.4916666666666666,-0.025227514846376,0.880104763716129,0.3124527449586601,11.462396995056483,8.769074305480233,0.5708333333333333,240,0.5375
tcrc-lstm-posthoc-development-v1,lstm_anchor,2021,789,cpu,21420,2.8329517999954987,0.006497099995613,0.2575395107269287,467,240,240,0.5110445265138318,0.5083333333333333,0.0221446735891723,0.8467657508019125,0.3081578211723715,10.82566177608579,8.425174440416379,0.4541666666666666,240,0.525
tcrc-lstm-posthoc-development-v1,cnn_residual,2021,789,cpu,21420,3.068132499989588,0.0064380999829154,0.3028303980827331,467,240,240,0.5439342206118041,0.5333333333333333,0.0939582327455919,0.8999153031431091,0.3151218289889194,12.06991541564339,9.436886713842094,0.3208333333333333,240,0.525
tcrc-lstm-posthoc-development-v1,latent_turn_gate,2021,789,cpu,21420,2.850743999995757,0.0055260999943129,0.3527705073356628,467,240,240,0.5223329384711867,0.5166666666666667,0.0454321261357882,0.8508756254270023,0.3030373898132978,11.191632055105694,8.672204735550208,0.4041666666666667,240,0.525
tcrc-lstm-posthoc-development-v1,supervised_turn_gate,2021,789,cpu,21420,2.905005499982508,0.0058760999818332,0.4690065383911133,467,240,240,0.5356072747543725,0.5291666666666667,0.0728231497096215,0.8684355891767477,0.3089859047068408,11.428166779336074,8.878461684765899,0.3916666666666666,240,0.5375
tcrc-lstm-posthoc-development-v1,tcrc_full,2021,789,cpu,21420,3.053095100010978,0.0065309000201523,0.5859019160270691,467,240,240,0.5306947251062644,0.525,0.0624425945797651,0.7991484176397525,0.2899114212367221,10.288721991821484,7.964530597651094,0.4041666666666667,240,0.5125
