model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_dern,fold_2,2023,Regime-SHAP-Numeric,42,243,19.56171249924189,15.932406684599515,1.7234015942551952,0.8067126174104992,0.5165289256198347,0.5247395833333333,0.0514700169988107,1.0,242,1,0,49,79,38,76,0.640495867768595
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,42,243,20.043042323854912,15.919741925741326,1.7150845350125608,0.7970836467508209,0.4834710743801653,0.4838952850877193,-0.0321598793673087,1.0,242,1,0,61,67,58,56,0.5082644628099173
pit_dern,fold_2,2023,Global-Numeric,456,243,26.04957218995142,21.261400559278982,2.282724859306092,0.6572393543533492,0.512396694214876,0.5237116228070176,0.0513781169810021,1.0,242,1,0,42,86,32,82,0.6942148760330579
pit_dern,fold_2,2023,Global-Numeric-News,456,243,21.42718860713491,16.706059617061086,1.805108336686728,0.7680896419637816,0.4710743801652892,0.4784128289473684,-0.0445902687885722,1.0,242,1,0,45,83,45,69,0.628099173553719
pit_dern,fold_2,2023,Regime-SHAP-Numeric,456,243,23.10891543690581,17.200677089831057,1.8605505664493087,0.7302578043106259,0.5041322314049587,0.5211759868421053,0.0522150199264641,1.0,242,1,0,29,99,21,93,0.7933884297520661
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,456,243,23.152736773510167,19.066433518164686,2.048314507087489,0.7292338124116537,0.5041322314049587,0.5197368421052632,0.0467212643900421,1.0,242,1,0,32,96,24,90,0.768595041322314
pit_dern,fold_2,2023,Global-Numeric,789,243,18.51780344090467,14.881612416181332,1.60414106534887,0.8267916991088013,0.4876033057851239,0.4873218201754385,-0.0253147577184794,1.0,242,1,0,63,65,59,55,0.4958677685950413
pit_dern,fold_2,2023,Global-Numeric-News,789,243,19.832649174731333,15.158806608161584,1.630166782555302,0.8013213406492652,0.4834710743801653,0.4834155701754385,-0.033113308926626,1.0,242,1,0,62,66,59,55,0.5
pit_dern,fold_2,2023,Regime-SHAP-Numeric,789,243,20.46454233611655,15.842330592486736,1.7077782127347272,0.7884593498027765,0.5206611570247934,0.5248081140350878,0.0500293594980965,1.0,242,1,0,58,70,46,68,0.5702479338842975
pit_dern,fold_2,2023,Regime-SHAP-Numeric-News,789,243,25.466098053097426,19.86427714200708,2.137141126491924,0.6724221143317016,0.5041322314049587,0.5067845394736843,0.0136026796895627,1.0,242,1,0,59,69,51,63,0.5454545454545454
pit_dern,fold_3,2024,Global-Numeric,123,244,20.265075770627337,16.174066852364962,1.8857561257913968,0.7882288009125403,0.5491803278688525,0.556834241873612,0.122188760718417,1.0,244,0,0,47,80,30,87,0.6844262295081968
