model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_4,2025,Regime-SHAP-Numeric,5,234,21.170402069028817,16.66310479134709,2.1492542839148294,0.8269877235509543,0.5384615384615384,0.5445175438596491,0.10084263179848282,1.0,234,0,0,37,83,25,89,0.7350427350427351
lstm_attention,fold_4,2025,Regime-SHAP-Numeric-News,5,234,22.650465418988038,17.807711327740684,2.2839553743994996,0.8019508564940394,0.5299145299145299,0.5381578947368422,0.09939904010065857,1.0,234,0,0,26,94,16,98,0.8205128205128205
lstm_cnn,fold_1,2022,Global-Numeric,5,241,26.61553091758162,21.36777916923893,2.176467559746431,-0.43007658454566244,0.5083333333333333,0.5024945541423652,0.004989108284730518,1.0,240,1,0,48,59,59,74,0.5541666666666667
lstm_cnn,fold_1,2022,Global-Numeric-News,5,241,27.157895518494932,21.019467543774113,2.143385056562958,-0.4889539101882523,0.5,0.4958892558499052,-0.008196186044954768,1.0,240,1,0,49,58,62,71,0.5375
lstm_cnn,fold_1,2022,Regime-SHAP-Numeric,5,241,17.56507973667785,13.948891974528296,1.42215028642974,0.3771416664595991,0.5583333333333333,0.5521748295973579,0.10455557880139171,1.0,240,1,0,53,54,52,81,0.5625
lstm_cnn,fold_1,2022,Regime-SHAP-Numeric-News,5,241,21.524161799282215,16.909367863945956,1.725984025512721,0.06472026534808806,0.5291666666666667,0.5386480219239688,0.07793112720891594,1.0,240,1,0,67,40,73,60,0.4166666666666667
lstm_cnn,fold_2,2023,Global-Numeric,5,243,20.82115911741133,16.893794916696496,1.829695077793481,0.7810224624155232,0.5454545454545454,0.5511239035087719,0.10397217491665829,1.0,242,1,0,58,70,40,74,0.5950413223140496
lstm_cnn,fold_2,2023,Global-Numeric-News,5,243,20.056865136203943,15.864006362929747,1.7133208336838384,0.7968036651164906,0.5495867768595041,0.5526315789473684,0.10560749364557687,1.0,242,1,0,64,64,45,69,0.5495867768595041
lstm_cnn,fold_2,2023,Regime-SHAP-Numeric,5,243,24.651775674168874,18.39253035889191,1.998734571211091,0.6930368974114669,0.5661157024793388,0.563939144736842,0.12810234848817087,1.0,242,1,0,77,51,54,60,0.45867768595041325
lstm_cnn,fold_2,2023,Regime-SHAP-Numeric-News,5,243,39.62571697506459,30.144786834222295,3.2699442361569195,0.20687063759759727,0.5289256198347108,0.5239857456140351,0.04862912523480194,1.0,242,1,0,78,50,64,50,0.4132231404958678
lstm_cnn,fold_3,2024,Global-Numeric,5,244,25.334611803328354,20.620566705224917,2.445963245913827,0.6690221427278228,0.5245901639344263,0.5392691298203109,0.11193577215643705,1.0,244,0,0,23,104,12,105,0.8565573770491803
lstm_cnn,fold_3,2024,Global-Numeric-News,5,244,28.342002044317134,22.748721493136674,2.700969219041384,0.5857796016994248,0.5368852459016393,0.5504071606433811,0.1334186961337341,1.0,244,0,0,28,99,14,103,0.8278688524590164
lstm_cnn,fold_3,2024,Regime-SHAP-Numeric,5,244,24.670569579011712,20.127805688983088,2.3699510418037013,0.6861451931064892,0.5081967213114754,0.524194091123225,0.07705881922672725,1.0,244,0,0,17,110,10,107,0.889344262295082
lstm_cnn,fold_3,2024,Regime-SHAP-Numeric-News,5,244,27.61654857080032,21.900811976670216,2.5698260825515007,0.6067133237576032,0.48360655737704916,0.4982165690827108,-0.005083629755176661,1.0,244,0,0,18,109,17,100,0.8565573770491803
lstm_cnn,fold_4,2025,Global-Numeric,5,234,43.35018472842986,32.782642572336215,4.326822031413986,0.2745614790594376,0.5512820512820513,0.5581140350877193,0.13700809108126272,1.0,234,0,0,35,85,20,94,0.7649572649572649
lstm_cnn,fold_4,2025,Global-Numeric-News,5,234,42.129215571412864,32.69479580006894,4.302505328248363,0.3148503287687263,0.5384615384615384,0.5451754385964912,0.10584525837731089,1.0,234,0,0,34,86,22,92,0.7606837606837606
lstm_cnn,fold_4,2025,Regime-SHAP-Numeric,5,234,26.851931425791875,21.545218115881458,2.7897885172557744,0.7216637531182963,0.5128205128205128,0.5225877192982457,0.06957172963143703,1.0,234,0,0,17,103,11,103,0.8803418803418803
lstm_cnn,fold_4,2025,Regime-SHAP-Numeric-News,5,234,30.41051843824732,24.824588519024697,3.1966604551793907,0.6430015289350277,0.5427350427350427,0.5515350877192983,0.14120240338788947,1.0,234,0,0,25,95,12,102,0.8418803418803419
lstm_cnn_attention,fold_1,2022,Global-Numeric,5,241,36.285745376803945,29.71942924641474,3.0218320442900692,-1.6580376343887173,0.48333333333333334,0.47811116576487944,-0.04370402546279677,1.0,240,1,0,46,61,63,70,0.5458333333333333
lstm_cnn_attention,fold_1,2022,Global-Numeric-News,5,241,36.857285707153686,29.486639660456365,2.997473287604861,-1.7424311081588235,0.48333333333333334,0.48176516056496377,-0.03626637617064696,1.0,240,1,0,50,57,67,66,0.5125
lstm_cnn_attention,fold_1,2022,Regime-SHAP-Numeric,5,241,23.14115272955499,18.285440254645707,1.866902424411591,-0.08108291889746799,0.5208333333333334,0.5174267444311714,0.034725617003360666,1.0,240,1,0,52,55,60,73,0.5333333333333333
lstm_cnn_attention,fold_1,2022,Regime-SHAP-Numeric-News,5,241,22.25933139152295,18.187033602090306,1.8574290465044885,-0.0002608216564379262,0.5208333333333334,0.512859250931066,0.025859715760783126,1.0,240,1,0,47,60,55,78,0.575
lstm_cnn_attention,fold_2,2023,Global-Numeric,5,243,28.210567217786878,23.261459060196024,2.512945378111038,0.5980117134672784,0.5082644628099173,0.5169270833333333,0.03540056955355201,1.0,242,1,0,47,81,38,76,0.6487603305785123
lstm_cnn_attention,fold_2,2023,Global-Numeric-News,5,243,29.14990171189219,24.04757027201298,2.598215739498868,0.5707958119074542,0.5,0.5086348684210527,0.018058590136629773,1.0,242,1,0,46,82,39,75,0.6487603305785123
lstm_cnn_attention,fold_2,2023,Regime-SHAP-Numeric,5,243,35.13030451191766,26.268243007765875,2.859701039257107,0.3766189585043397,0.5702479338842975,0.5582510964912281,0.12825617017731653,1.0,242,1,0,98,30,74,40,0.2892561983471074
lstm_cnn_attention,fold_2,2023,Regime-SHAP-Numeric-News,5,243,34.569124594408095,25.179832252479383,2.7432816667030813,0.3963759632146756,0.5785123966942148,0.5703810307017544,0.14680184167357796,1.0,242,1,0,91,37,65,49,0.35537190082644626
lstm_cnn_attention,fold_3,2024,Global-Numeric,5,244,34.617841670874085,28.089103718912014,3.3344447934971635,0.38202571106767913,0.569672131147541,0.5795477488390874,0.18068680615743768,1.0,244,0,0,43,84,21,96,0.7377049180327869
lstm_cnn_attention,fold_3,2024,Global-Numeric-News,5,244,33.99447464390793,27.149634514478375,3.2231871020651934,0.4040811822120507,0.5327868852459017,0.5437781815734571,0.10337708314901928,1.0,244,0,0,35,92,22,95,0.7663934426229508
lstm_cnn_attention,fold_3,2024,Regime-SHAP-Numeric,5,244,30.282692549537053,23.793391155220913,2.8093891738132224,0.5271107880681309,0.5327868852459017,0.5478161383673195,0.13970150635366865,1.0,244,0,0,23,104,10,107,0.8647540983606558
lstm_cnn_attention,fold_3,2024,Regime-SHAP-Numeric-News,5,244,34.12513758467779,28.053304938007066,3.3193735899164043,0.39949136883491576,0.5163934426229508,0.531731610471768,0.0952020395954842,1.0,244,0,0,20,107,11,106,0.8729508196721312
lstm_cnn_attention,fold_4,2025,Global-Numeric,5,234,56.9096103436276,42.849509257507115,5.664440685907389,-0.25023004679052385,0.5427350427350427,0.549780701754386,0.11889315084359446,1.0,234,0,0,33,87,20,94,0.7735042735042735
lstm_cnn_attention,fold_4,2025,Global-Numeric-News,5,234,56.85990854474363,43.236134793611164,5.712146313832967,-0.24804723275702756,0.5341880341880342,0.5412280701754386,0.09846657426694166,1.0,234,0,0,32,88,21,93,0.7735042735042735
lstm_cnn_attention,fold_4,2025,Regime-SHAP-Numeric,5,234,33.479214560119644,27.918380772910044,3.574503355561424,0.5673176006213766,0.5299145299145299,0.5383771929824561,0.10190966870297054,1.0,234,0,0,25,95,15,99,0.8290598290598291
lstm_cnn_attention,fold_4,2025,Regime-SHAP-Numeric-News,5,234,36.1176027224356,29.946056040386722,3.8333984650333703,0.4964338356019147,0.5213675213675214,0.5307017543859649,0.08932757895907009,1.0,234,0,0,20,100,12,102,0.8632478632478633
