model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_1,2022,456,Global-Numeric-News,20,1,7.131452400004491,0.496814500002074,11249,241,28.20911924426672,22.160366088705924,2.2573687449755875,-0.6064532132511185,0.4791666666666667,0.4725247698685967,-0.0550026623901283,1.0,240,1,0,44,63,62,71,0.5583333333333333
lstm_cnn,fold_1,2022,456,Regime-SHAP-Numeric,20,3,13.745098900006267,1.6155788000032771,23635,241,20.27966604340433,14.902046119904622,1.518286851656502,0.1697466700101889,0.5541666666666667,0.5584639168013492,0.1164988441403067,1.0,240,1,0,64,43,64,69,0.4666666666666667
lstm_cnn,fold_1,2022,456,Regime-SHAP-Numeric-News,20,3,13.951287799995043,1.515190000005532,25171,241,25.326731433266428,18.88370702672302,1.9225120041243768,-0.294933059319107,0.5416666666666666,0.5453587239125852,0.0903373716569169,1.0,240,1,0,62,45,65,68,0.4708333333333333
lstm_cnn,fold_1,2022,789,Global-Numeric,20,1,6.766772799994214,0.4998751999955857,10737,241,24.533446810516704,19.734491577415533,2.0101402920656803,-0.2150836163487179,0.4791666666666667,0.4697842737685335,-0.0609279721815161,1.0,240,1,0,41,66,59,74,0.5833333333333334
lstm_cnn,fold_1,2022,789,Global-Numeric-News,20,1,6.755132799997227,0.5126445999921998,11249,241,34.93044612948821,30.58502813443104,3.1127486154181745,-1.4631864857972978,0.4916666666666666,0.455484505656665,-0.1175818906161117,1.0,240,1,0,13,94,28,105,0.8291666666666667
lstm_cnn,fold_1,2022,789,Regime-SHAP-Numeric,20,3,14.240298599994276,1.5486779999919236,23635,241,22.717641140923064,18.29752207575991,1.8738090550353173,-0.0418747143728626,0.5125,0.5080809500386481,0.0161228609309845,1.0,240,1,0,50,57,60,73,0.5416666666666666
lstm_cnn,fold_1,2022,789,Regime-SHAP-Numeric-News,20,3,16.152192100009415,1.7961771999980556,25171,241,18.78337399333892,14.860484328354064,1.5108452221895678,0.2877437976283284,0.5,0.517813224650411,0.0374497720358749,1.0,240,1,0,73,34,86,47,0.3375
lstm_cnn,fold_2,2023,123,Global-Numeric,20,1,7.920574699994177,0.5079287999978988,10737,243,22.24063286426937,18.64891104120285,2.015695162410529,0.7501473018402011,0.5330578512396694,0.5379660087719298,0.0768620753545387,1.0,242,1,0,58,70,43,71,0.5826446280991735
lstm_cnn,fold_2,2023,123,Global-Numeric-News,20,1,7.577040300006047,0.4338849999912781,11249,243,23.292627062273784,17.64469371958035,1.9089020582211116,0.7259519550797304,0.5495867768595041,0.5439967105263158,0.0896267699044809,1.0,242,1,0,82,46,63,51,0.4008264462809917
lstm_cnn,fold_2,2023,123,Regime-SHAP-Numeric,20,3,14.689291700007743,1.759562300008838,23635,243,22.441345121384455,17.641141748604955,1.9021794793526323,0.7456173243216625,0.5619834710743802,0.5533168859649122,0.1118108619990517,1.0,242,1,0,90,38,68,46,0.3471074380165289
lstm_cnn,fold_2,2023,123,Regime-SHAP-Numeric-News,20,3,15.989552099985303,1.5792256999848178,25171,243,33.9892465720871,24.42845198992349,2.6472601498607724,0.4164570355984621,0.5578512396694215,0.5474917763157895,0.1017931338807444,1.0,242,1,0,93,35,72,42,0.3181818181818182
lstm_cnn,fold_2,2023,2025,Global-Numeric,20,1,7.983485499993549,0.5012414999946486,10737,243,28.5950967760878,22.766488461165743,2.487469999564934,0.586978268547351,0.5165289256198347,0.5309758771929824,0.0712207946521278,1.0,242,1,0,36,92,25,89,0.7479338842975206
lstm_cnn,fold_2,2023,2025,Global-Numeric-News,20,1,7.811673099990003,0.5631715999916196,11249,243,23.51295894681165,18.725443607475537,2.017689601273372,0.7207428298561775,0.5578512396694215,0.5522889254385965,0.1065190427369453,1.0,242,1,0,83,45,62,52,0.4008264462809917
lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric,20,3,16.720957799989264,1.6997247999970568,23635,243,30.77511335283732,23.56940578987568,2.558631731900443,0.5216022988570067,0.5619834710743802,0.560032894736842,0.1201976574864919,1.0,242,1,0,76,52,54,60,0.4628099173553719
lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric-News,20,3,15.545402599993396,1.5327812999894377,25171,243,40.352522507921,28.931628065872086,3.1666382948044336,0.1775090302626503,0.5619834710743802,0.55859375,0.1179006808572998,1.0,242,1,0,79,49,57,57,0.4380165289256198
lstm_cnn,fold_2,2023,42,Global-Numeric,20,1,8.475437600005534,0.5582109999959357,10737,243,20.200076170438685,16.351173452222294,1.75605304890937,0.7938915602027719,0.5495867768595041,0.5487938596491229,0.0974775581556063,1.0,242,1,0,72,56,53,61,0.4834710743801653
lstm_cnn,fold_2,2023,42,Global-Numeric-News,20,1,7.8613630999898305,0.5150124000065261,11249,243,19.625112396516396,16.170480035558153,1.7419489584440364,0.8054576906163475,0.5165289256198347,0.5185032894736843,0.0370256142754866,1.0,242,1,0,62,66,51,63,0.5330578512396694
lstm_cnn,fold_2,2023,42,Regime-SHAP-Numeric,20,3,15.714130700012902,1.771294800011674,23635,243,33.09936409582146,26.0380387560183,2.8393532209961445,0.4466128606053478,0.5165289256198347,0.5199424342105263,0.0400872995264044,1.0,242,1,0,59,69,48,66,0.5578512396694215
lstm_cnn,fold_2,2023,42,Regime-SHAP-Numeric-News,20,3,17.151467900010175,1.7876878999813923,25171,243,115.54694037556428,88.14318637232718,9.543577748131137,-5.743830741985588,0.512396694214876,0.5102796052631579,0.0205817906654951,1.0,242,1,0,70,58,60,54,0.4628099173553719
lstm_cnn,fold_2,2023,456,Global-Numeric,20,1,8.226624699993408,0.5194050999998581,10737,243,18.930012946492663,15.476791635584918,1.665505547801719,0.8189945783089939,0.5330578512396694,0.5418037280701755,0.0874265078043187,1.0,242,1,0,50,78,35,79,0.6487603305785123
lstm_cnn,fold_2,2023,456,Global-Numeric-News,20,1,8.395619900009478,0.4829389000078663,11249,243,29.955419632565647,25.105747641952902,2.7536361661417974,0.5467471148676704,0.5,0.5215871710526316,0.0644853504520166,1.0,242,1,0,19,109,12,102,0.871900826446281
lstm_cnn,fold_2,2023,456,Regime-SHAP-Numeric,20,3,15.33282270001655,1.6174791000084952,23635,243,21.65008101966073,17.03712346387988,1.8515807483061768,0.763239737149662,0.5454545454545454,0.5487253289473684,0.0978538481060375,1.0,242,1,0,63,65,45,69,0.5537190082644629
lstm_cnn,fold_2,2023,456,Regime-SHAP-Numeric-News,20,3,15.868296700005883,1.5011104000004707,25171,243,17.36209702919124,13.5172713146141,1.463317329089101,0.8477370921318264,0.5702479338842975,0.5726425438596492,0.145444654036166,1.0,242,1,0,68,60,44,70,0.5371900826446281
lstm_cnn,fold_2,2023,789,Global-Numeric,20,1,7.988066299993079,0.550772100003087,10737,243,20.70262471665377,16.51239853369356,1.787837291601039,0.783508633961105,0.5785123966942148,0.5794956140350878,0.1587737594578316,1.0,242,1,0,72,56,46,68,0.512396694214876
lstm_cnn,fold_2,2023,789,Global-Numeric-News,20,1,8.667801699994016,0.6060430999932578,11249,243,22.560432091593476,18.184338018751923,1.954267985265888,0.7429103528860246,0.5330578512396694,0.5322094298245614,0.0643461409173243,1.0,242,1,0,70,58,55,59,0.4834710743801653
lstm_cnn,fold_2,2023,789,Regime-SHAP-Numeric,20,3,16.596224599998095,1.6177072999998927,23635,243,32.53703479135783,23.88569977769881,2.5780397121944385,0.4652562651553158,0.5785123966942148,0.5708607456140351,0.1470589387070166,1.0,242,1,0,90,38,64,50,0.3636363636363636
lstm_cnn,fold_2,2023,789,Regime-SHAP-Numeric-News,20,3,16.54000520000409,1.6414356999885058,25171,243,27.31261421499501,20.68475408054427,2.241926214703721,0.6231953076040972,0.5371900826446281,0.5394736842105263,0.0790340761555015,1.0,242,1,0,64,64,48,66,0.5371900826446281
lstm_cnn,fold_3,2024,123,Global-Numeric,20,1,8.897332000007736,0.5350332999951206,10737,244,25.332993606648923,20.62890185256472,2.4380146047335667,0.6690644224492559,0.5245901639344263,0.539942122619288,0.119835441145111,1.0,244,0,0,21,106,10,107,0.8729508196721312
lstm_cnn,fold_3,2024,123,Global-Numeric-News,20,1,8.970649000009871,0.5113716000050772,11249,244,42.744359061139264,36.280551845108846,4.297487854166532,0.0578326488656312,0.5,0.5176660609731476,0.0693309454750743,1.0,244,0,0,11,116,6,111,0.930327868852459
lstm_cnn,fold_3,2024,123,Regime-SHAP-Numeric,20,3,16.310237699988647,1.5204462000110652,23635,244,21.268848352195825,16.697760330907627,1.943714905443349,0.7667302728747961,0.5368852459016393,0.5440137290530991,0.0936798173084966,1.0,244,0,0,47,80,33,84,0.6721311475409836
lstm_cnn,fold_3,2024,123,Regime-SHAP-Numeric-News,20,3,17.072846999988542,1.492493400000967,25171,244,26.53377577542118,20.44013022876176,2.3876286154315407,0.6369482441713931,0.4713114754098361,0.4827040850662897,-0.0416288723934472,1.0,244,0,0,26,101,28,89,0.7786885245901639
lstm_cnn,fold_3,2024,2025,Global-Numeric,20,1,9.042306699993787,0.4944486000022152,10737,244,25.06735485975848,20.68225354296749,2.451582305760652,0.6759683367835355,0.5204918032786885,0.5329766471498755,0.0828862764448417,1.0,244,0,0,29,98,19,98,0.8032786885245902
lstm_cnn,fold_3,2024,2025,Global-Numeric-News,20,1,8.582671299998765,0.5073696999897948,11249,244,34.88856736179606,28.3440434999202,3.348838445490379,0.3723222927490481,0.4959016393442623,0.5083451107073155,0.0209753026105313,1.0,244,0,0,26,101,22,95,0.8032786885245902
lstm_cnn,fold_3,2024,2025,Regime-SHAP-Numeric,20,3,16.048195399998804,1.7599063999950886,23635,244,25.065606952586243,20.659080966960197,2.428200603631316,0.6760135236431015,0.5,0.5169930681741706,0.0605388975429767,1.0,244,0,0,13,114,8,109,0.9139344262295082
lstm_cnn,fold_3,2024,2025,Regime-SHAP-Numeric-News,20,3,15.943476300002658,1.5680655000032857,25171,244,29.50164714901663,24.033262268925288,2.836103751240622,0.551189549734316,0.5,0.5143010969782623,0.0398389702133395,1.0,244,0,0,21,106,16,101,0.8483606557377049
