model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,holm_adjusted_pvalue,holm_family_size,minimum_attainable_nonzero_pvalue
lstm_attention,final_integrated_effect,rmse_delta,4,-10.446779150801518,8.570737685197063,-24.08473539070951,3.1911770891064766,0,4,0,0.125,0.625,5,0.125
lstm_attention,final_integrated_effect,mae_delta,4,-9.931253553587347,6.814925477155228,-20.77532075636747,0.9128136491927776,0,4,0,0.125,0.625,5,0.125
lstm_cnn,final_integrated_effect,balanced_accuracy_delta_pp,4,-0.9654049554788616,3.3661775784612935,-6.3217446542312965,4.390934743273573,1,3,0,0.625,1.0,5,0.125
lstm_cnn,final_integrated_effect,direction_accuracy_delta_pp,4,-1.130655184772175,2.548586577389806,-5.186025153227802,2.9247147836834513,1,3,0,0.5,1.0,5,0.125
lstm_cnn,final_integrated_effect,mcc_delta,4,-0.023806530090664472,0.08129682333373817,-0.1531679176155657,0.10555485743423676,2,2,0,0.75,1.0,5,0.125
lstm_cnn,final_integrated_effect,rmse_delta,4,0.7638648041608205,13.538115046988459,-20.778297301740032,22.306026910061675,2,2,0,0.875,1.0,5,0.125
lstm_cnn,final_integrated_effect,mae_delta,4,0.5286929575916517,9.297272099247824,-14.265341663145199,15.322727578328502,2,2,0,0.875,1.0,5,0.125
lstm_cnn_attention,final_integrated_effect,balanced_accuracy_delta_pp,4,0.5326736699716784,4.6910008660411595,-6.931755517137304,7.997102857080661,2,2,0,0.875,1.0,5,0.125
lstm_cnn_attention,final_integrated_effect,direction_accuracy_delta_pp,4,0.8275430998046522,5.586376524632849,-8.061628565567624,9.716714765176928,2,2,0,0.875,1.0,5,0.125
lstm_cnn_attention,final_integrated_effect,mcc_delta,4,0.016478668724282,0.09008318338493854,-0.12686377834153917,0.15982111579010316,2,2,0,0.875,1.0,5,0.125
lstm_cnn_attention,final_integrated_effect,rmse_delta,4,-7.238142079012019,12.384924658775999,-26.945320939784835,12.4690367817608,1,3,0,0.375,1.0,5,0.125
lstm_cnn_attention,final_integrated_effect,mae_delta,4,-5.6383186125166045,7.659724633349619,-17.826649791965778,6.550012566932571,1,3,0,0.375,1.0,5,0.125
cnn,routing_news_interaction,balanced_accuracy_delta_pp,4,-1.780964215326336,4.926359620009791,-9.619901700927208,6.057973270274536,2,2,0,0.625,1.0,5,0.125
cnn,routing_news_interaction,direction_accuracy_delta_pp,4,-1.7903379634936987,5.769767900761905,-10.971326232557429,7.390650305570032,2,2,0,0.75,1.0,5,0.125
cnn,routing_news_interaction,mcc_delta,4,-0.04258891624733217,0.09585150277818526,-0.19511004668352216,0.1099322141888578,2,2,0,0.5,1.0,5,0.125
cnn,routing_news_interaction,rmse_delta,4,2.5237470704612073,4.460302106733065,-4.573588909550921,9.621083050473334,3,1,0,0.375,1.0,5,0.125
cnn,routing_news_interaction,mae_delta,4,2.3699975099367183,4.254522418908175,-4.399897066464976,9.139892086338413,3,1,0,0.375,1.0,5,0.125
lstm,routing_news_interaction,balanced_accuracy_delta_pp,4,1.7099660390725038,3.8707382032671442,-4.44924220778258,7.869174285927588,3,1,0,0.5,1.0,5,0.125
lstm,routing_news_interaction,direction_accuracy_delta_pp,4,0.33614655960036033,3.421567868901592,-5.1083314517322504,5.780624570932971,2,2,0,0.875,1.0,5,0.125
lstm,routing_news_interaction,mcc_delta,4,0.04483864844742266,0.09320056432303626,-0.10346424734270485,0.19314154423755017,3,1,0,0.5,1.0,5,0.125
lstm,routing_news_interaction,rmse_delta,4,1.696281407249534,4.066611077919035,-4.77460429272621,8.167167107225277,2,2,0,0.75,1.0,5,0.125
lstm,routing_news_interaction,mae_delta,4,1.6410028539661519,3.0716658118413602,-3.2467029030151093,6.5287086109474135,2,2,0,0.5,1.0,5,0.125
lstm_attention,routing_news_interaction,balanced_accuracy_delta_pp,4,2.928711770484541,2.515955258942354,-1.0747344885562624,6.932158029525344,4,0,0,0.125,0.625,5,0.125
lstm_attention,routing_news_interaction,direction_accuracy_delta_pp,4,2.2614438984595475,3.4564960297949074,-3.238612611165716,7.761500408084811,3,1,0,0.375,1.0,5,0.125
lstm_attention,routing_news_interaction,mcc_delta,4,0.07437317785182596,0.04879275423153994,-0.0032669823625777333,0.15201333806622963,4,0,0,0.125,0.625,5,0.125
lstm_attention,routing_news_interaction,rmse_delta,4,8.034501609959237,8.660049288247516,-5.74556932052222,21.814572540440693,3,1,0,0.25,1.0,5,0.125
lstm_attention,routing_news_interaction,mae_delta,4,7.247634675046931,7.455309416282604,-4.6154262782528415,19.110695628346704,3,1,0,0.25,1.0,5,0.125
lstm_cnn,routing_news_interaction,balanced_accuracy_delta_pp,4,-1.0903042973409034,3.839887555896596,-7.200422279825974,5.019813685144166,1,3,0,0.625,1.0,5,0.125
lstm_cnn,routing_news_interaction,direction_accuracy_delta_pp,4,-1.4076462637379163,3.888349888858025,-7.594878632462264,4.779586104986431,1,3,0,0.625,1.0,5,0.125
lstm_cnn,routing_news_interaction,mcc_delta,4,-0.023844891435968678,0.09271751727948116,-0.171379151586576,0.12368936871463862,1,3,0,0.625,1.0,5,0.125
lstm_cnn,routing_news_interaction,rmse_delta,4,5.968274416016606,6.824776882971254,-4.891468571784052,16.828017403817263,3,1,0,0.25,1.0,5,0.125
lstm_cnn,routing_news_interaction,mae_delta,4,4.775725304791374,5.614351347537892,-4.157960546478469,13.709411156061217,3,1,0,0.25,1.0,5,0.125
lstm_cnn_attention,routing_news_interaction,balanced_accuracy_delta_pp,4,0.8190723293788033,1.4195955936964781,-1.4398210466997852,3.0779657054573915,3,1,0,0.375,1.0,5,0.125
lstm_cnn_attention,routing_news_interaction,direction_accuracy_delta_pp,4,0.9255182224630787,1.0808727826992532,-0.7943915744287005,2.645428019354858,2,0,2,0.5,1.0,5,0.125
lstm_cnn_attention,routing_news_interaction,mcc_delta,4,0.015059710865360659,0.024389878854333105,-0.02375002905779092,0.05386945078851224,3,1,0,0.375,1.0,5,0.125
lstm_cnn_attention,routing_news_interaction,rmse_delta,4,1.0500064858275389,3.0068285712706797,-3.734528752804228,5.834541724459306,2,2,0,0.625,1.0,5,0.125
lstm_cnn_attention,routing_news_interaction,mae_delta,4,1.275073421222987,2.9863729465989888,-3.4769123538294275,6.027059196275402,3,1,0,0.625,1.0,5,0.125
