model,fold,test_year,arm,seeds_averaged,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_1,2022,Global-Numeric-Shuffled-News,5,241,26.20726641535771,20.521915461890426,2.089679481493532,-0.38654023160786544,0.4708333333333333,0.47962195207645275,-0.04109095798288295,1.0,240,1,0,60,47,80,53,0.4166666666666667
lstm_cnn,fold_1,2022,Global-Numeric-Lagged-News,5,241,31.003848813883945,22.721985013202026,2.3168552780241254,-0.9405294993144002,0.475,0.4970838310730096,-0.006351668977384344,1.0,240,1,0,75,32,94,39,0.29583333333333334
lstm_cnn,fold_1,2022,Global-Numeric-Random-Features,5,241,26.708756283842124,21.833413189237035,2.2257215852292336,-0.4401122964466895,0.48333333333333334,0.46532218396458436,-0.07290517751362645,1.0,240,1,0,32,75,49,84,0.6625
lstm_cnn,fold_2,2023,News-Only,5,243,48.21219269411012,37.24202652927093,4.0945049837433505,-0.17409578505581225,0.5082644628099173,0.5135690789473684,0.02755193843889919,1.0,242,1,0,54,74,45,69,0.5909090909090909
lstm_cnn,fold_2,2023,Global-Numeric-Shuffled-News,5,243,19.882835639444295,16.16731922605694,1.7439207319871313,0.8003145568144853,0.5371900826446281,0.5409128289473684,0.08232363330036024,1.0,242,1,0,61,67,45,69,0.5619834710743802
lstm_cnn,fold_2,2023,Global-Numeric-Lagged-News,5,243,20.71844109311005,16.481047416155235,1.7780449483525778,0.7831777177641647,0.5578512396694215,0.5580455043859649,0.11589658124319133,1.0,242,1,0,71,57,50,64,0.5
lstm_cnn,fold_2,2023,Global-Numeric-Random-Features,5,243,20.229212406883068,16.33849928354726,1.759305023330884,0.7932965569859924,0.5371900826446281,0.5389939692982456,0.07798793859649122,1.0,242,1,0,65,63,49,65,0.5289256198347108
lstm_cnn,fold_3,2024,News-Only,5,244,89.07992887604142,77.55574170872714,9.222829369864757,-3.0919484615830726,0.5327868852459017,0.5457971599703884,0.11798601656510806,1.0,244,0,0,29,98,16,101,0.8155737704918032
lstm_cnn,fold_3,2024,Global-Numeric-Shuffled-News,5,244,30.51332536063298,25.434364090403548,3.014364067637303,0.5198803159019232,0.5081967213114754,0.5255400767211791,0.0952311272306786,1.0,244,0,0,13,114,6,111,0.9221311475409836
lstm_cnn,fold_3,2024,Global-Numeric-Lagged-News,5,244,31.66411696789867,26.335624223610406,3.124201710841466,0.48298255849572413,0.48770491803278687,0.5045090517531462,0.015729763007618327,1.0,244,0,0,12,115,10,107,0.9098360655737705
lstm_cnn,fold_3,2024,Global-Numeric-Random-Features,5,244,26.941834734111442,21.754669138802836,2.578305744709815,0.6256957421327614,0.5245901639344263,0.5392691298203109,0.11193577215643705,1.0,244,0,0,23,104,12,105,0.8565573770491803
lstm_cnn,fold_4,2025,News-Only,5,234,123.38144877104618,108.13197512379463,14.062602732807342,-4.876495921349382,0.48717948717948717,0.5,0.0,1.0,234,0,0,0,120,0,114,1.0
lstm_cnn,fold_4,2025,Global-Numeric-Shuffled-News,5,234,38.800451330459566,29.643278068074036,3.889610084338303,0.4188446197592678,0.5512820512820513,0.5572368421052631,0.1289972283532999,1.0,234,0,0,39,81,24,90,0.7307692307692307
lstm_cnn,fold_4,2025,Global-Numeric-Lagged-News,5,234,33.563486257524595,25.64619914783778,3.3637756162857086,0.5651366192748498,0.5427350427350427,0.5482456140350878,0.1066928326429188,1.0,234,0,0,40,80,27,87,0.7136752136752137
lstm_cnn,fold_4,2025,Global-Numeric-Random-Features,5,234,36.90558922432115,28.354894005754048,3.7304482414988773,0.47422129171789673,0.5341880341880342,0.5414473684210527,0.10035970427970674,1.0,234,0,0,31,89,20,94,0.782051282051282
lstm_attention,fold_1,2022,News-Only,5,241,55.685906585252184,47.483951552645344,4.785976829480205,-5.2600761659445485,0.45,0.5010189023961773,0.006019401443071828,1.0,240,1,0,104,3,129,4,0.029166666666666667
lstm_attention,fold_1,2022,Global-Numeric-Shuffled-News,5,241,22.749613395759976,18.118092755079267,1.8424967785494462,-0.04480939621534308,0.44583333333333336,0.4570655610990092,-0.08744060259609504,1.0,240,1,0,60,47,86,47,0.39166666666666666
lstm_attention,fold_1,2022,Global-Numeric-Lagged-News,5,241,25.247542342827806,19.660274995535765,1.998900932655516,-0.28684798459382455,0.44166666666666665,0.4660951444030637,-0.07584621300076291,1.0,240,1,0,74,33,101,32,0.2708333333333333
lstm_attention,fold_1,2022,Global-Numeric-Random-Features,5,241,22.269950359691702,17.575273075311507,1.787885538991973,-0.0012154120010923197,0.42916666666666664,0.4402009697140046,-0.12178715680732714,1.0,240,1,0,58,49,88,45,0.39166666666666666
lstm_attention,fold_2,2023,News-Only,5,243,45.06162286461607,36.500607790740936,3.9671135603166796,-0.02565999982714784,0.5537190082644629,0.5498218201754386,0.10047332694783485,1.0,242,1,0,79,49,59,55,0.4297520661157025
lstm_attention,fold_2,2023,Global-Numeric-Shuffled-News,5,243,20.144491516383578,16.06635055982526,1.737860482522473,0.7950242988933216,0.5413223140495868,0.5515350877192983,0.10971931256560039,1.0,242,1,0,48,80,31,83,0.6735537190082644
lstm_attention,fold_2,2023,Global-Numeric-Lagged-News,5,243,21.288276040501955,16.595655481455243,1.7975555159874683,0.7710868468514369,0.5537190082644629,0.5603755482456141,0.12366696685114714,1.0,242,1,0,57,71,37,77,0.6115702479338843
lstm_attention,fold_2,2023,Global-Numeric-Random-Features,5,243,20.996461100603135,16.771621546599096,1.8172253338807751,0.7773196142437544,0.5330578512396694,0.5432428728070176,0.0920650082831035,1.0,242,1,0,47,81,32,82,0.6735537190082644
lstm_attention,fold_3,2024,News-Only,5,244,83.36900955767342,73.36909714300025,8.712238481035536,-2.5840966782595816,0.5286885245901639,0.5418601520963726,0.10878881669618548,1.0,244,0,0,28,99,16,101,0.819672131147541
lstm_attention,fold_3,2024,Global-Numeric-Shuffled-News,5,244,21.9670798075078,17.91371625878087,2.1071571945345045,0.7511629250769674,0.5409836065573771,0.5519886937209771,0.12276525247135649,1.0,244,0,0,36,91,21,96,0.7663934426229508
lstm_attention,fold_3,2024,Global-Numeric-Lagged-News,5,244,24.203732094835097,19.53567000840529,2.30400897170747,0.6979108645620739,0.5368852459016393,0.5500706642438926,0.1301268161124791,1.0,244,0,0,29,98,15,102,0.819672131147541
lstm_attention,fold_3,2024,Global-Numeric-Random-Features,5,244,21.485935787289076,17.39583546214905,2.0467027525936836,0.7619440839505032,0.5286885245901639,0.5381586917019988,0.08582944302967507,1.0,244,0,0,39,88,27,90,0.7295081967213115
lstm_attention,fold_4,2025,News-Only,5,234,125.53769768577072,111.48426920826412,14.466439861474278,-5.0836893155442855,0.49145299145299143,0.5039473684210526,0.03507632533162006,1.0,234,0,0,2,118,1,113,0.9871794871794872
lstm_attention,fold_4,2025,Global-Numeric-Shuffled-News,5,234,23.21056327477388,18.263680131674832,2.35517360494618,0.7920350872810386,0.5,0.5030701754385966,0.006322039906912637,1.0,234,0,0,46,74,43,71,0.6196581196581197
lstm_attention,fold_4,2025,Global-Numeric-Lagged-News,5,234,24.063639273123396,18.97530424211295,2.44223543026631,0.7764671654339471,0.49145299145299143,0.49451754385964913,-0.011289356976629708,1.0,234,0,0,45,75,44,70,0.6196581196581197
