model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
cnn,observed_vs_lagged,balanced_accuracy_delta_pp,4,0.36142944251881803,3.193034748886335,-4.719401377099086,5.442260262136722,2,2,0,0.875,1.0,0.125
cnn,observed_vs_lagged,direction_accuracy_delta_pp,4,0.43722975774019013,2.7173217771585807,-3.886635567252452,4.761095082732832,2,2,0,0.75,1.0,0.125
cnn,observed_vs_lagged,mcc_delta,4,0.014613119071828218,0.06991304382211963,-0.09663413492959307,0.1258603730732495,2,2,0,0.875,1.0,0.125
cnn,observed_vs_lagged,rmse_delta,4,2.2515658107054035,2.011178091171997,-0.9486673320535277,5.451798953464335,3,1,0,0.25,1.0,0.125
cnn,observed_vs_lagged,mae_delta,4,1.7900118242148544,1.5840542056648015,-0.7305719028786788,4.310595551308388,3,1,0,0.25,1.0,0.125
lstm,observed_vs_lagged,balanced_accuracy_delta_pp,4,-1.588885473161365,0.829791586156889,-2.909269056921614,-0.26850188940111575,0,4,0,0.125,0.625,0.125
lstm,observed_vs_lagged,direction_accuracy_delta_pp,4,-1.0439004715271483,1.5816886763617057,-3.5607201136253424,1.4729191705710458,1,3,0,0.375,1.0,0.125
lstm,observed_vs_lagged,mcc_delta,4,-0.044325455373724176,0.033874222133201314,-0.09822690190980723,0.009575991162358882,0,4,0,0.125,0.625,0.125
lstm,observed_vs_lagged,rmse_delta,4,-0.13140771443097776,1.0453274033358586,-1.7947568807099854,1.5319414518480299,3,1,0,1.0,1.0,0.125
lstm,observed_vs_lagged,mae_delta,4,-0.001357081245639602,0.9329796376786289,-1.485935881663282,1.4832217191720027,3,1,0,1.0,1.0,0.125
lstm_attention,observed_vs_lagged,balanced_accuracy_delta_pp,4,-0.05737097595345103,2.4173681260108535,-3.9039431065203716,3.7892011546134694,2,2,0,0.875,1.0,0.125
lstm_attention,observed_vs_lagged,direction_accuracy_delta_pp,4,0.011601093475160973,2.556925175231629,-4.0570374449262365,4.080239631876558,3,1,0,1.0,1.0,0.125
lstm_attention,observed_vs_lagged,mcc_delta,4,0.001533454557717185,0.0503053070441996,-0.07851351471177057,0.08158042382720493,3,1,0,0.875,1.0,0.125
lstm_attention,observed_vs_lagged,rmse_delta,4,-0.9180512071436713,0.9453839747882633,-2.4223680759633384,0.586265661675996,1,3,0,0.25,1.0,0.125
lstm_attention,observed_vs_lagged,mae_delta,4,-0.5955884593528893,0.8873798610676581,-2.0076078394718584,0.8164309207660798,1,3,0,0.375,1.0,0.125
lstm_cnn,observed_vs_lagged,balanced_accuracy_delta_pp,4,0.905485819748436,2.4622741166353808,-3.0125417627925506,4.823513402289422,1,3,0,1.0,1.0,0.125
lstm_cnn,observed_vs_lagged,direction_accuracy_delta_pp,4,1.5410590196357696,2.695875660337281,-2.748680747736558,5.8307987870080975,2,2,0,0.5,1.0,0.125
lstm_cnn,observed_vs_lagged,mcc_delta,4,0.026176938548830745,0.061154837590458234,-0.07113405492115876,0.12348793201882025,1,3,0,1.0,1.0,0.125
lstm_cnn,observed_vs_lagged,rmse_delta,4,0.18402128450290345,5.759101504249813,-8.979994367473928,9.348036936479733,1,3,0,1.0,1.0,0.125
lstm_cnn,observed_vs_lagged,mae_delta,4,0.2855338497760078,4.672678498153759,-7.149740361338019,7.720808060890034,1,3,0,1.0,1.0,0.125
lstm_cnn_attention,observed_vs_lagged,balanced_accuracy_delta_pp,4,-1.299062032852921,0.9822760156464122,-2.862082371234284,0.263958305528442,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,observed_vs_lagged,direction_accuracy_delta_pp,4,-1.3413240075870483,0.971917990168388,-2.887862416012125,0.20521440083802833,0,3,1,0.25,1.0,0.125
lstm_cnn_attention,observed_vs_lagged,mcc_delta,4,-0.0298599571025921,0.023539068237816242,-0.06731586747422179,0.007595953269037586,0,4,0,0.125,0.625,0.125
lstm_cnn_attention,observed_vs_lagged,rmse_delta,4,-0.3760194215847221,1.6478416293779032,-2.9981031741379187,2.2460643309684745,1,3,0,0.625,1.0,0.125
lstm_cnn_attention,observed_vs_lagged,mae_delta,4,-0.38210923498493354,1.021151966820622,-2.0069898869556733,1.2427714169858062,2,2,0,0.75,1.0,0.125
cnn,observed_vs_random,balanced_accuracy_delta_pp,4,1.0676357308723379,1.9424425313550933,-2.023223797696137,4.158495259440812,2,2,0,0.5,1.0,0.125
cnn,observed_vs_random,direction_accuracy_delta_pp,4,1.0509782277666053,1.9529916786493315,-2.0566673482170903,4.1586238037503005,2,2,0,0.5,1.0,0.125
