model,fold,test_year,quarter,balanced_accuracy_treatment,balanced_accuracy_control,contrast,balanced_accuracy_delta_pp
lstm,fold_3,2024,2024Q1,0.5107142857142857,0.49642857142857144,observed_vs_random,1.4285714285714235
lstm,fold_3,2024,2024Q2,0.47962962962962963,0.5,observed_vs_random,-2.037037037037037
lstm,fold_3,2024,2024Q3,0.5192307692307693,0.5,observed_vs_random,1.9230769230769273
lstm,fold_3,2024,2024Q4,0.4716666666666667,0.5366666666666666,observed_vs_random,-6.499999999999995
lstm,fold_4,2025,2025Q1,0.47459459459459463,0.5578378378378378,observed_vs_random,-8.324324324324317
lstm,fold_4,2025,2025Q2,0.5357142857142857,0.5615763546798029,observed_vs_random,-2.5862068965517238
lstm,fold_4,2025,2025Q3,0.4883597883597884,0.5343915343915344,observed_vs_random,-4.603174603174604
lstm,fold_4,2025,2025Q4,0.3892857142857143,0.52,observed_vs_random,-13.071428571428573
lstm_attention,fold_1,2022,2022Q1,0.48494983277591974,0.41973244147157196,observed_vs_random,6.521739130434778
lstm_attention,fold_1,2022,2022Q2,0.5,0.49479166666666663,observed_vs_random,0.520833333333337
lstm_attention,fold_1,2022,2022Q3,0.4059561128526646,0.3996865203761756,observed_vs_random,0.6269592476489005
lstm_attention,fold_1,2022,2022Q4,0.4747356051703878,0.4582843713278496,observed_vs_random,1.6451233842538215
lstm_attention,fold_2,2023,2023Q1,0.5644490644490645,0.5431392931392931,observed_vs_random,2.130977130977141
lstm_attention,fold_2,2023,2023Q2,0.5335403726708075,0.5763975155279503,observed_vs_random,-4.285714285714281
lstm_attention,fold_2,2023,2023Q3,0.4885057471264368,0.4885057471264368,observed_vs_random,0.0
lstm_attention,fold_2,2023,2023Q4,0.4861111111111111,0.5329861111111112,observed_vs_random,-4.687500000000005
lstm_attention,fold_3,2024,2024Q1,0.5357142857142857,0.5035714285714286,observed_vs_random,3.214285714285714
lstm_attention,fold_3,2024,2024Q2,0.48148148148148145,0.47962962962962963,observed_vs_random,0.18518518518518268
lstm_attention,fold_3,2024,2024Q3,0.5769230769230769,0.5400207900207901,observed_vs_random,3.6902286902286807
lstm_attention,fold_3,2024,2024Q4,0.5994444444444444,0.575,observed_vs_random,2.444444444444449
lstm_attention,fold_4,2025,2025Q1,0.46270270270270275,0.46270270270270275,observed_vs_random,0.0
lstm_attention,fold_4,2025,2025Q2,0.4846059113300492,0.4673645320197044,observed_vs_random,1.7241379310344807
lstm_attention,fold_4,2025,2025Q3,0.5507936507936508,0.5137566137566137,observed_vs_random,3.703703703703709
lstm_attention,fold_4,2025,2025Q4,0.5235714285714286,0.5392857142857144,observed_vs_random,-1.5714285714285792
lstm_cnn,fold_1,2022,2022Q1,0.6505016722408027,0.5969899665551839,observed_vs_random,5.35117056856188
lstm_cnn,fold_1,2022,2022Q2,0.47916666666666663,0.46354166666666663,observed_vs_random,1.5625
lstm_cnn,fold_1,2022,2022Q3,0.36520376175548586,0.3568443051201672,observed_vs_random,0.8359456635318674
lstm_cnn,fold_1,2022,2022Q4,0.48237367802585196,0.3924794359576968,observed_vs_random,8.989424206815515
lstm_cnn,fold_2,2023,2023Q1,0.5145530145530146,0.49324324324324326,observed_vs_random,2.1309771309771355
lstm_cnn,fold_2,2023,2023Q2,0.5459627329192547,0.5167701863354037,observed_vs_random,2.9192546583850953
lstm_cnn,fold_2,2023,2023Q3,0.5318704284221525,0.5188087774294671,observed_vs_random,1.3061650992685414
lstm_cnn,fold_2,2023,2023Q4,0.5503472222222222,0.5717592592592593,observed_vs_random,-2.141203703703709
lstm_cnn,fold_3,2024,2024Q1,0.4821428571428571,0.4857142857142857,observed_vs_random,-0.3571428571428614
lstm_cnn,fold_3,2024,2024Q2,0.5,0.5,observed_vs_random,0.0
lstm_cnn,fold_3,2024,2024Q3,0.6211018711018711,0.6211018711018711,observed_vs_random,0.0
lstm_cnn,fold_3,2024,2024Q4,0.5622222222222222,0.5266666666666666,observed_vs_random,3.5555555555555562
lstm_cnn,fold_4,2025,2025Q1,0.5091891891891892,0.5156756756756757,observed_vs_random,-0.6486486486486531
lstm_cnn,fold_4,2025,2025Q2,0.5,0.5,observed_vs_random,0.0
