model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm,fold_3,2024,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5172286156538125,0.5040983606557377,0.04477481844730464,13.512984206228388,10.847737938862828,0.5409516118177535,0.5245901639344263,0.13492851018624583,15.18381845009948,12.225876074367354,-2.3722996163941024,-2.0491803278688603,-0.0901536917389412,-1.6708342438710915,-1.3781381355045266
lstm,fold_4,2025,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.47850877192982455,0.4700854700854701,-0.0570694144736635,13.472887995121775,10.61668931781128,0.4951754385964912,0.49145299145299143,-0.010080994149016231,13.224945221649058,10.374168335244988,-1.6666666666666663,-2.1367521367521345,-0.04698842032464727,0.2479427734727171,0.24252098256629218
lstm_attention,fold_1,2022,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.4652870493991989,0.44583333333333336,-0.0741840458334847,23.627278652752253,18.379724005687297,0.4660951444030637,0.44166666666666665,-0.07584621300076291,25.247542342827806,19.660274995535765,-0.0808095003864806,0.41666666666667074,0.0016621671672782112,-1.6202636900755536,-1.280550989848468
lstm_attention,fold_2,2023,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5256990131578947,0.5165289256198347,0.054046334467449685,21.453524426368617,17.078808661713982,0.5603755482456141,0.5537190082644629,0.12366696685114714,21.288276040501955,16.595655481455243,-3.4676535087719396,-3.7190082644628197,-0.06962063238369745,0.16524838586666135,0.4831531802587392
lstm_attention,fold_3,2024,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5661551921394441,0.5532786885245902,0.16899630579268238,22.408843478962805,18.172253789921253,0.5500706642438926,0.5368852459016393,0.1301268161124791,24.203732094835097,19.53567000840529,1.6084527895551481,1.6393442622950838,0.03886948968020329,-1.794888615872292,-1.363416218484037
lstm_attention,fold_4,2025,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5116228070175438,0.5085470085470085,0.02393343679045498,23.641338364629895,18.75376443277516,0.49451754385964913,0.49145299145299143,-0.011289356976629708,24.063639273123396,18.97530424211295,1.710526315789468,1.7094017094017089,0.03522279376708469,-0.42230090849350077,-0.22153980933779138
lstm_cnn,fold_1,2022,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.4958892558499052,0.5,-0.008196186044954768,27.157895518494936,21.01946754377412,0.4970838310730096,0.475,-0.006351668977384344,31.003848813883945,22.721985013202026,-0.11945752231043993,2.500000000000002,-0.0018445170675704245,-3.845953295389009,-1.7025174694279066
lstm_cnn,fold_2,2023,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5526315789473684,0.5495867768595041,0.10560749364557687,20.056865136203943,15.864006362929747,0.5580455043859649,0.5578512396694215,0.11589658124319133,20.71844109311005,16.481047416155235,-0.5413925438596534,-0.8264462809917439,-0.01028908759761446,-0.661575956906109,-0.6170410532254884
lstm_cnn,fold_3,2024,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5504071606433811,0.5368852459016393,0.1334186961337341,28.342002044317134,22.748721493136674,0.5045090517531462,0.48770491803278687,0.015729763007618327,31.66411696789867,26.335624223610406,4.589810889023493,4.918032786885246,0.11768893312611578,-3.3221149235815375,-3.5869027304737315
lstm_cnn,fold_4,2025,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5451754385964912,0.5384615384615384,0.10584525837731089,42.129215571412864,32.69479580006894,0.5482456140350878,0.5427350427350427,0.1066928326429188,33.563486257524595,25.64619914783778,-0.30701754385965563,-0.42735042735042583,-0.0008475742656079144,8.56572931388827,7.048596652231158
lstm_cnn_attention,fold_1,2022,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.48176516056496377,0.48333333333333334,-0.03626637617064696,36.85728570715368,29.486639660456365,0.49212985735366455,0.49583333333333335,-0.01568253671119514,37.05457306375547,29.379695938501122,-1.0364696788700778,-1.250000000000001,-0.020583839459451816,-0.19728735660179098,0.10694372195524338
lstm_cnn_attention,fold_2,2023,observed_vs_lagged,Observed-News,Global-Numeric-Lagged-News,0.5086348684210527,0.5,0.018058590136629773,29.149901711892195,24.047570272012987,0.5286458333333333,0.5206611570247934,0.05944935820070887,29.61352447029947,24.318013216079493,-2.0010964912280604,-2.066115702479343,-0.0413907680640791,-0.4636227584072756,-0.27044294406650593
